q,cached,total_kv,link_GBps_one_way,pim_mode,gpu_qk_us,gpu_softmax_us,gpu_pv_us,gpu_attention_us,pim_scan_us,pim_softmax_us,q_input_us,output_us,new_kv_transfer_us,cached_kv_readback_us,pim_kv_overlap_window_us,pim_new_kv_hidden_us,pim_new_kv_exposed_us,gpu_new_kv_hidden_us,gpu_new_kv_exposed_us,gpu_service_us,pim_service_us,gpu_over_pim_latency_ratio,signed_faster_side_latency_reduction,winner,shape_data_source,link_pricing
1,1024,1025,32.0,mq,10.033780710374844,0.15541204548645235,10.033780710374844,20.22297346623614,1.54569,0.04892601431980907,0.256,0.256,0.512,524.288,0.736702,0.512,0,0.512,0,544.5109734662361,2.106616014319809,258.4766135664499,0.9961311780350182,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
2,1024,1026,32.0,mq,10.131045907623193,0.311127333988488,10.131045907623193,20.573219149234873,1.849445,0.09794749403341288,0.512,0.512,1.024,524.288,0.856666,0.856666,0.16733399999999998,1.024,0,544.8612191492349,3.138726494033413,173.59308629948902,0.9942394019179153,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
4,1024,1028,32.0,mq,10.326031166643268,0.6234676400393093,10.326031166643268,21.275529973325845,2.0924490000000002,0.19627684964200476,1.024,1.024,2.048,524.288,0.9058820000000001,0.9058820000000001,1.142118,2.048,0,545.5635299733259,5.478843849642005,99.57639694531059,0.9899574594916382,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
8,1024,1032,32.0,mq,10.71782114277692,1.2517871683279518,10.71782114277692,22.68742945388179,2.8406860000000003,0.39408114558472557,2.048,2.048,4.096,524.288,1.0996700000000001,1.0996700000000001,2.99633,4.096,0,546.9754294538818,10.327097145584725,52.96507060435054,0.9811196324560765,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
12,1024,1036,32.0,mq,11.112037063035238,1.8849585848659274,11.112037063035238,24.109032710936404,4.933135,0.5934128878281623,3.072,3.072,6.144,524.288,1.0996700000000001,1.0996700000000001,5.04433,6.144,0,548.3970327109364,16.714877887828163,32.80891648692697,0.969520480799832,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
16,1024,1040,32.0,mq,11.508678927418224,2.522981889653236,11.508678927418224,25.540339744489685,5.6813720000000005,0.794272076372315,4.096,4.096,8.192,524.288,1.0996700000000001,1.0996700000000001,7.0923300000000005,8.192,0,549.8283397444897,21.759974076372316,25.267876598323298,0.9604240587407984,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
24,1024,1048,32.0,mq,12.309240488558192,3.813584163975853,12.309240488558192,28.432065141092238,8.554356,1.2005727923627685,6.144,6.144,12.288,524.288,1.0996700000000001,1.0996700000000001,11.18833,12.288,0,552.7200651410923,33.23125879236277,16.632534704587197,0.9398768727821021,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
32,1024,1056,32.0,mq,13.119505826196828,5.123593991295802,13.119505826196828,31.36260564368946,11.405808,1.612983293556086,8.192,8.192,16.384,524.288,1.0996700000000001,1.0996700000000001,15.28433,16.384,0,555.6506056436895,44.68712129355609,12.434244801618371,0.9195769412654764,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
48,1024,1072,32.0,mq,14.769147830970098,7.801836304927699,14.769147830970098,37.340131966867894,17.21022,2.456133651551313,12.288,12.288,24.576,524.288,1.0996700000000001,1.0996700000000001,23.47633,24.576,0,561.628131966868,67.71868365155132,8.293547684074069,0.8794243382816403,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
51,1024,1075,32.0,mq,15.082776919837148,8.312649164677804,15.082776919837148,38.478203004352096,19.300361999999996,2.616945107398568,13.056,13.056,26.112,524.288,1.0996700000000001,1.0996700000000001,25.01233,26.112,0,562.7662030043521,73.04163710739857,7.704731510561229,0.8702096239655782,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
52,1024,1076,32.0,mq,15.187623192475083,8.483526603959007,15.187623192475083,38.85877298890917,19.414942999999997,2.670739856801909,13.312,13.312,26.624,524.288,1.0996700000000001,1.0996700000000001,25.52433,26.624,0,563.1467729889092,74.23401285680191,7.586101725030337,0.8681799906926504,PIM,supplement,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
53,1024,1077,32.0,mq,15.292621086620805,8.654707286255793,15.292621086620805,39.2399494594974,19.5326,2.7246300715990457,13.568,13.568,27.136,524.288,1.0996700000000001,1.0996700000000001,26.03633,27.136,0,563.5279494594974,75.42956007159904,7.470916560093775,0.866147614960453,PIM,integer-crossing refinement,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
54,1024,1078,32.0,mq,15.397770602274326,8.82619121156816,15.397770602274326,39.621732416116814,19.854810999999998,2.778615751789976,13.824,13.824,27.648,524.288,1.0996700000000001,1.0996700000000001,26.54833,27.648,0,563.9097324161169,76.82975675178997,7.339730805577215,0.8637552212078222,PIM,integer-crossing refinement,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
55,1024,1079,32.0,mq,15.503071739435631,8.997978379896113,15.503071739435631,40.00412185876738,20.008611,2.8326968973747015,14.08,14.08,28.16,524.288,1.0996700000000001,1.0996700000000001,27.06033,28.16,0,564.2921218587674,78.06163789737471,7.228801970573885,0.8616644910082367,PIM,integer-crossing refinement,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
56,1024,1080,32.0,mq,15.608524498104732,9.170068791239647,15.608524498104732,40.387117787449114,20.153951999999997,2.8868735083532218,14.336,14.336,28.672,524.288,1.0996700000000001,1.0996700000000001,27.57233,28.672,0,564.6751177874492,79.28515550835323,7.122078706498303,0.8595915544870933,PIM,supplement,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
60,1024,1084,32.0,mq,16.03185174785905,9.861462866769621,16.03185174785905,41.92516636248772,22.294078999999996,3.1045346062052506,15.36,15.36,30.72,524.288,1.0996700000000001,1.0996700000000001,29.62033,30.72,0,566.2131663624878,85.73894360620524,6.603920488723037,0.848574797090968,PIM,supplement,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
64,1024,1088,32.0,mq,16.457604941738033,10.557708830548926,16.457604941738033,43.47291871402499,23.033087999999996,3.323723150357995,16.384,16.384,32.768,524.288,1.0996700000000001,1.0996700000000001,31.66833,32.768,0,567.760918714025,90.79314115035798,6.253345919311069,0.8400856097034578,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
96,1024,1120,32.0,mq,19.9509644812579,16.302344517759373,19.9509644812579,56.20427348027517,34.844928,5.132219570405728,24.576,24.576,49.152,524.288,1.0996700000000001,1.0996700000000001,48.05233,49.152,0,580.4922734802752,137.18147757040572,4.231564521400849,0.7636807863988442,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
128,1024,1152,32.0,mq,23.599584444756424,22.357501052927137,23.599584444756424,69.55666994243998,47.23505599999999,7.038472553699283,32.768,32.768,65.536,524.288,1.0996700000000001,1.0996700000000001,64.43633,65.536,0,593.84466994244,184.24585855369926,3.22311000423036,0.6897406546200747,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
160,1024,1184,32.0,mq,27.403464832233613,28.72317843605223,27.403464832233613,83.53010810051946,59.98199999999998,9.042482100238663,40.96,40.96,81.92,524.288,1.0996700000000001,1.0996700000000001,80.82033,81.92,0,607.8181081005195,231.76481210023866,2.6225642391202904,0.6186938016300265,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
192,1024,1216,32.0,mq,31.36260564368946,35.39937666713463,31.36260564368946,98.12458795451356,73.15958400000001,11.144248210023866,49.152,49.152,98.304,524.288,1.0996700000000001,1.0996700000000001,97.20433,98.304,0,622.4125879545136,279.81216221002387,2.224394333107428,0.5504394229403459,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
