panel,cached,link_GBps_one_way,pim_mode,direction,integer_switch_q,q_lower,q_upper,lower_pim_us,lower_gpu_us,upper_pim_us,upper_gpu_us
b,1024,300,plain,PIM_to_GPU,55,54,55,94.39728575178994,95.54578574945015,96.16165156404134,95.92817519210072
c,1024,450,mq,PIM_to_GPU,513,512,513,313.3050405086186,330.747643222449,333.0344085823386,331.5122479996064
c,1024,450,mq,GPU_to_PIM,518,517,518,334.60758453115864,334.57813030762276,335.237007931848,335.34646668447346
c,1024,450,mq,PIM_to_GPU,521,520,521,335.9609171294084,336.8853783979909,338.4162329262793,337.65595373465754
c,1024,450,mq,GPU_to_PIM,524,523,524,339.3237369162023,339.199343367807,339.6469021092546,339.9721576642897
c,1024,450,mq,PIM_to_GPU,529,528,529,341.34808753540153,343.07087804960696,344.5331790554232,343.84742394578296
c,1024,450,mq,GPU_to_PIM,532,531,532,345.44067249164704,345.4027546979509,345.7599874078497,346.1815395539429
c,1024,450,mq,PIM_to_GPU,545,544,545,352.87284570299676,355.585170781062,381.0950286693186,356.37365779625657
e,1024,300,mq,PIM_to_GPU,513,512,513,331.94639161972975,349.38899433356016,351.7121685823386,350.15359911071755
e,1024,300,mq,GPU_to_PIM,519,518,519,354.0968123762925,353.9878177955846,354.4812861312646,354.756900492374
e,1024,300,mq,PIM_to_GPU,521,520,521,354.89353935163064,355.52672950910204,357.3852640373904,356.2973048457687
e,1024,300,mq,GPU_to_PIM,525,524,525,358.72515988703236,358.6135087754008,359.1071304343673,359.38706939182214
e,1024,300,mq,PIM_to_GPU,529,528,529,360.5719808687349,361.7122291607181,363.7934812776454,362.4887750568941
e,1024,300,mq,GPU_to_PIM,533,532,533,365.12951629673853,364.82289066505405,365.5107125672238,365.6024218409846
e,1024,300,mq,PIM_to_GPU,537,536,537,366.9778541710424,367.9454932884085,369.4895623031029,368.72800974409375
e,1024,300,mq,GPU_to_PIM,540,539,540,370.47140096340513,370.29528161528026,370.827888491647,371.08003703078157
e,1024,300,mq,PIM_to_GPU,545,544,545,372.67928125855235,374.22652189217314,400.9378731137631,375.0150089073677
f,1024,32,mq,PIM_to_GPU,513,512,513,800.3103382863965,817.7529410002269,820.9908885823387,818.5175457773842
