q,cached,total_kv,link_GBps_one_way,pim_mode,gpu_qk_us,gpu_softmax_us,gpu_pv_us,gpu_attention_us,pim_scan_us,pim_softmax_us,q_input_us,output_us,new_kv_transfer_us,cached_kv_readback_us,pim_kv_overlap_window_us,pim_new_kv_hidden_us,pim_new_kv_exposed_us,gpu_new_kv_hidden_us,gpu_new_kv_exposed_us,gpu_service_us,pim_service_us,gpu_over_pim_latency_ratio,signed_faster_side_latency_reduction,winner,shape_data_source,link_pricing,heatmap
64,0,64,300,mq,1.5526042397866069,0.6210416959146428,1.5526042397866069,3.7262501754878565,5.25996,0.19551312649164676,1.7476266666666669,1.7476266666666669,3.4952533333333338,0.0,0.0,0.0,3.4952533333333338,3.4952533333333338,0,3.7262501754878565,12.445979793158315,0.29939387958320607,-0.700606120416794,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,cache_Q
96,0,96,300,mq,2.561796995647901,1.397343815807946,2.561796995647901,6.520937807103748,8.332884,0.4399045346062052,2.62144,2.62144,5.24288,0.0,0.0,0.0,5.24288,5.24288,0,6.520937807103748,19.258548534606206,0.3385996507154264,-0.6614003492845736,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,cache_Q
128,0,128,300,mq,3.7262501754878565,2.484166783658571,3.7262501754878565,9.936667134634284,11.701103999999996,0.782052505966587,3.4952533333333338,3.4952533333333338,6.9905066666666675,0.0,0.0,0.0,6.9905066666666675,6.9905066666666675,0,9.936667134634284,26.464169839299917,0.3754762456171249,-0.6245237543828751,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,cache_Q
192,0,192,300,mq,6.520937807103749,5.589375263231784,6.520937807103749,18.63125087743928,19.47108,1.7596181384248208,5.24288,5.24288,10.48576,0.0,0.0,0.0,10.48576,10.48576,0,18.63125087743928,42.20221813842482,0.44147563088575337,-0.5585243691142466,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,cache_Q
256,0,256,300,mq,9.936667134634284,9.936667134634284,9.936667134634284,29.810001403902852,28.865184000000003,3.128210023866348,6.9905066666666675,6.9905066666666675,13.981013333333335,0.0,0.0,0.0,13.981013333333335,13.981013333333335,0,29.810001403902852,59.95542069053302,0.4972027726695588,-0.5027972273304412,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,cache_Q
384,0,384,300,mq,18.63125087743928,22.357501052927137,18.63125087743928,59.620002807805704,59.46523199999997,7.038472553699283,10.48576,10.48576,20.97152,0.0,0.0,0.0,20.97152,20.97152,0,59.620002807805704,108.44674455369925,0.5497629555701771,-0.4502370444298229,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,cache_Q
512,0,512,300,mq,29.810001403902852,39.746668538537136,29.810001403902852,99.36667134634283,94.44550400000001,12.512840095465393,13.981013333333335,13.981013333333335,27.96202666666667,0.0,0.0,0.0,27.96202666666667,27.96202666666667,0,99.36667134634283,162.88239742879875,0.6100516256815244,-0.3899483743184756,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,cache_Q
768,0,768,300,mq,65.33435076923078,89.43000421170855,65.33435076923078,220.09870575017013,194.5262400000002,28.153890214797133,20.97152,20.97152,41.94304,0.0,0.0,0.0,41.94304,41.94304,0,220.09870575017013,306.5662102147973,0.7179483531337545,-0.28205164686624545,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,cache_Q
1024,0,1024,300,mq,116.14995692307694,158.98667415414855,116.14995692307694,391.28658800030246,331.8142720000005,50.05136038186157,27.96202666666667,27.96202666666667,55.92405333333334,0.0,0.0,0.0,55.92405333333334,55.92405333333334,0,391.28658800030246,493.7137390485288,0.7925373694367488,-0.2074626305632512,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,cache_Q
1536,0,1536,300,mq,261.3374030769231,357.7200168468342,261.3374030769231,880.3948230006805,718.7504639999975,112.61556085918853,41.94304,41.94304,83.88608,0.0,0.0,0.0,83.88608,83.88608,0,880.3948230006805,999.138184859186,0.881154215044598,-0.118845784955402,GPU,supplement,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,cache_Q
