q,cached,total_kv,link_GBps_one_way,pim_mode,gpu_qk_us,gpu_softmax_us,gpu_pv_us,gpu_attention_us,pim_scan_us,pim_softmax_us,q_input_us,output_us,new_kv_transfer_us,cached_kv_readback_us,pim_kv_overlap_window_us,pim_new_kv_hidden_us,pim_new_kv_exposed_us,gpu_new_kv_hidden_us,gpu_new_kv_exposed_us,gpu_service_us,pim_service_us,gpu_over_pim_latency_ratio,signed_faster_side_latency_reduction,winner,shape_data_source,link_pricing,heatmap
128,1024,1152,32,mq,23.599584444756424,22.357501052927137,23.599584444756424,69.55666994243998,47.23505599999999,7.038472553699283,32.768,32.768,65.536,524.288,1.0996700000000001,1.0996700000000001,64.43633,65.536,0,593.84466994244,184.24585855369926,3.22311000423036,0.6897406546200747,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
192,1024,1216,32,mq,31.36260564368946,35.39937666713463,31.36260564368946,98.12458795451356,73.15958400000001,11.144248210023866,49.152,49.152,98.304,524.288,1.0996700000000001,1.0996700000000001,97.20433,98.304,0,622.4125879545136,279.81216221002387,2.224394333107428,0.5504394229403459,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
256,1024,1280,32,mq,39.746668538537136,49.68333567317142,39.746668538537136,129.1766727502457,101.38495999999998,15.64105011933174,65.536,65.536,131.072,524.288,1.0996700000000001,1.0996700000000001,129.97233,131.072,0,653.4646727502457,378.0703401193317,1.7284208873512539,0.4214372162948887,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
384,1024,1408,32,mq,59.88982153846154,81.97750386073284,59.88982153846154,201.75714693765593,169.31534400000004,25.807732696897375,98.304,98.304,196.608,524.288,1.0996700000000001,1.0996700000000001,195.50833,196.608,0,726.045146937656,587.2394066968974,1.236369934745205,0.19118059094013554,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
512,1024,1536,32,mq,87.1124676923077,119.24000561561141,87.1124676923077,293.4649410002268,239.5834880000002,37.53852028639618,131.072,131.072,262.144,524.288,1.0996700000000001,1.0996700000000001,261.04433,262.144,0,817.7529410002269,800.3103382863965,1.02179479869169,0.02132991743508211,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
768,1024,1792,32,mq,152.4468184615385,208.67000982731997,152.4468184615385,513.563646750397,451.8767039999996,65.69241050119332,196.608,196.608,393.216,524.288,1.0996700000000001,1.0996700000000001,392.11633,393.216,0,1037.8516467503969,1302.901444501193,0.7965695725724913,-0.2034304274275087,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
1024,1024,2048,32,mq,232.29991384615388,317.9733483082971,232.29991384615388,782.5731760006049,684.102400000002,100.10272076372314,262.144,262.144,524.288,524.288,1.0996700000000001,1.0996700000000001,523.1883300000001,524.288,0,1306.861176000605,1831.681450763725,0.7134762299720321,-0.28652377002796786,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
1536,1024,2560,32,mq,435.5623384615385,596.200028078057,435.5623384615385,1467.324705001134,1269.3298559999976,187.6926014319809,393.216,393.216,786.432,524.288,1.0996700000000001,1.0996700000000001,785.3323300000001,786.432,0,1991.612705001134,3028.7867874319786,0.6575612100744025,-0.3424387899255975,GPU,supplement,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
2048,1024,3072,32,mq,696.8997415384616,953.9200449248913,696.8997415384616,2347.7195280018145,1939.1104000000041,300.3081622911694,524.288,524.288,1048.576,524.288,1.0996700000000001,1.0996700000000001,1047.47633,1048.576,0,2872.0075280018145,4335.470892291174,0.662444195648616,-0.33755580435138394,GPU,supplement,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
128,1024,1152,48,mq,23.599584444756424,22.357501052927137,23.599584444756424,69.55666994243998,47.23505599999999,7.038472553699283,21.845333333333333,21.845333333333333,43.690666666666665,349.5253333333333,1.0996700000000001,1.0996700000000001,42.59099666666666,43.690666666666665,0,419.08200327577333,140.5551918870326,2.981618805035669,0.6646117208842741,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
192,1024,1216,48,mq,31.36260564368946,35.39937666713463,31.36260564368946,98.12458795451356,73.15958400000001,11.144248210023866,32.768,32.768,65.536,349.5253333333333,1.0996700000000001,1.0996700000000001,64.43633,65.536,0,447.6499212878469,214.27616221002387,2.089126091632538,0.5213309507715953,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
256,1024,1280,48,mq,39.746668538537136,49.68333567317142,39.746668538537136,129.1766727502457,101.38495999999998,15.64105011933174,43.690666666666665,43.690666666666665,87.38133333333333,349.5253333333333,1.0996700000000001,1.0996700000000001,86.28166333333333,87.38133333333333,0,478.702006083579,290.68900678599834,1.646784002519894,0.3927558207574224,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
384,1024,1408,48,mq,59.88982153846154,81.97750386073284,59.88982153846154,201.75714693765593,169.31534400000004,25.807732696897375,65.536,65.536,131.072,349.5253333333333,1.0996700000000001,1.0996700000000001,129.97233,131.072,0,551.2824802709893,456.16740669689744,1.2085091397976433,0.1725341852462587,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
512,1024,1536,48,mq,87.1124676923077,119.24000561561141,87.1124676923077,293.4649410002268,239.5834880000002,37.53852028639618,87.38133333333333,87.38133333333333,174.76266666666666,349.5253333333333,1.0996700000000001,1.0996700000000001,173.66299666666666,174.76266666666666,0,642.9902743335601,625.5476716197297,1.0278837305375406,0.027127319665774318,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
768,1024,1792,48,mq,152.4468184615385,208.67000982731997,152.4468184615385,513.563646750397,451.8767039999996,65.69241050119332,131.072,131.072,262.144,349.5253333333333,1.0996700000000001,1.0996700000000001,261.04433,262.144,0,863.0889800837303,1040.7574445011928,0.829289268737718,-0.17071073126228198,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
1024,1024,2048,48,mq,232.29991384615388,317.9733483082971,232.29991384615388,782.5731760006049,684.102400000002,100.10272076372314,174.76266666666666,174.76266666666666,349.5253333333333,349.5253333333333,1.0996700000000001,1.0996700000000001,348.4256633333333,349.5253333333333,0,1132.0985093339382,1482.156117430392,0.7638186666170179,-0.2361813333829821,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
1536,1024,2560,48,mq,435.5623384615385,596.200028078057,435.5623384615385,1467.324705001134,1269.3298559999976,187.6926014319809,262.144,262.144,524.288,349.5253333333333,1.0996700000000001,1.0996700000000001,523.1883300000001,524.288,0,1816.8500383344672,2504.4987874319786,0.725434584936413,-0.27456541506358695,GPU,supplement,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
2048,1024,3072,48,mq,696.8997415384616,953.9200449248913,696.8997415384616,2347.7195280018145,1939.1104000000041,300.3081622911694,349.5253333333333,349.5253333333333,699.0506666666666,349.5253333333333,1.0996700000000001,1.0996700000000001,697.9509966666667,699.0506666666666,0,2697.244861335148,3636.420225624507,0.7417307940178811,-0.2582692059821189,GPU,supplement,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
128,1024,1152,64,mq,23.599584444756424,22.357501052927137,23.599584444756424,69.55666994243998,47.23505599999999,7.038472553699283,16.384,16.384,32.768,262.144,1.0996700000000001,1.0996700000000001,31.66833,32.768,0,331.70066994243996,118.70985855369926,2.794213336480329,0.6421175194662736,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
192,1024,1216,64,mq,31.36260564368946,35.39937666713463,31.36260564368946,98.12458795451356,73.15958400000001,11.144248210023866,24.576,24.576,49.152,262.144,1.0996700000000001,1.0996700000000001,48.05233,49.152,0,360.2685879545136,181.5081622100239,1.984861636897878,0.4961865444873574,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
256,1024,1280,64,mq,39.746668538537136,49.68333567317142,39.746668538537136,129.1766727502457,101.38495999999998,15.64105011933174,32.768,32.768,65.536,262.144,1.0996700000000001,1.0996700000000001,64.43633,65.536,0,391.3206727502457,246.99834011933171,1.584304868450484,0.3688083525375759,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
384,1024,1408,64,mq,59.88982153846154,81.97750386073284,59.88982153846154,201.75714693765593,169.31534400000004,25.807732696897375,49.152,49.152,98.304,262.144,1.0996700000000001,1.0996700000000001,97.20433,98.304,0,463.90114693765594,390.63140669689744,1.1875674586954312,0.15794257186996194,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
512,1024,1536,64,mq,87.1124676923077,119.24000561561141,87.1124676923077,293.4649410002268,239.5834880000002,37.53852028639618,65.536,65.536,131.072,262.144,1.0996700000000001,1.0996700000000001,129.97233,131.072,0,555.6089410002269,538.1663382863965,1.0324111737820139,0.031393668148013636,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
768,1024,1792,64,mq,152.4468184615385,208.67000982731997,152.4468184615385,513.563646750397,451.8767039999996,65.69241050119332,98.304,98.304,196.608,262.144,1.0996700000000001,1.0996700000000001,195.50833,196.608,0,775.707646750397,909.6854445011929,0.8527207414819528,-0.1472792585180473,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
1024,1024,2048,64,mq,232.29991384615388,317.9733483082971,232.29991384615388,782.5731760006049,684.102400000002,100.10272076372314,131.072,131.072,262.144,262.144,1.0996700000000001,1.0996700000000001,261.04433,262.144,0,1044.717176000605,1307.3934507637252,0.7990839906612078,-0.20091600933879214,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
1536,1024,2560,64,mq,435.5623384615385,596.200028078057,435.5623384615385,1467.324705001134,1269.3298559999976,187.6926014319809,196.608,196.608,393.216,262.144,1.0996700000000001,1.0996700000000001,392.11633,393.216,0,1729.468705001134,2242.3547874319784,0.77127344642093,-0.22872655357906996,GPU,supplement,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
2048,1024,3072,64,mq,696.8997415384616,953.9200449248913,696.8997415384616,2347.7195280018145,1939.1104000000041,300.3081622911694,262.144,262.144,524.288,262.144,1.0996700000000001,1.0996700000000001,523.1883300000001,524.288,0,2609.8635280018143,3286.8948922911736,0.7940209874440416,-0.20597901255595844,GPU,supplement,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
128,1024,1152,96,mq,23.599584444756424,22.357501052927137,23.599584444756424,69.55666994243998,47.23505599999999,7.038472553699283,10.922666666666666,10.922666666666666,21.845333333333333,174.76266666666666,1.0996700000000001,1.0996700000000001,20.745663333333333,21.845333333333333,0,244.31933660910664,96.86452522036595,2.522278781145959,0.6035331195445156,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
192,1024,1216,96,mq,31.36260564368946,35.39937666713463,31.36260564368946,98.12458795451356,73.15958400000001,11.144248210023866,16.384,16.384,32.768,174.76266666666666,1.0996700000000001,1.0996700000000001,31.66833,32.768,0,272.8872546211802,148.74016221002387,1.8346575031689043,0.4549391380828551,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
256,1024,1280,96,mq,39.746668538537136,49.68333567317142,39.746668538537136,129.1766727502457,101.38495999999998,15.64105011933174,21.845333333333333,21.845333333333333,43.690666666666665,174.76266666666666,1.0996700000000001,1.0996700000000001,42.59099666666666,43.690666666666665,0,303.9393394169124,203.30767345266503,1.4949722962014853,0.3310912834031376,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
384,1024,1408,96,mq,59.88982153846154,81.97750386073284,59.88982153846154,201.75714693765593,169.31534400000004,25.807732696897375,32.768,32.768,65.536,174.76266666666666,1.0996700000000001,1.0996700000000001,64.43633,65.536,0,376.5198136043226,325.0954066968974,1.1581825084208919,0.1365782225778592,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
512,1024,1536,96,mq,87.1124676923077,119.24000561561141,87.1124676923077,293.4649410002268,239.5834880000002,37.53852028639618,43.690666666666665,43.690666666666665,87.38133333333333,174.76266666666666,1.0996700000000001,1.0996700000000001,86.28166333333333,87.38133333333333,0,468.2276076668935,450.78500495306304,1.0386938396845002,0.03725240124294312,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
768,1024,1792,96,mq,152.4468184615385,208.67000982731997,152.4468184615385,513.563646750397,451.8767039999996,65.69241050119332,65.536,65.536,131.072,174.76266666666666,1.0996700000000001,1.0996700000000001,129.97233,131.072,0,688.3263134170636,778.613444501193,0.8840411352748082,-0.11595886472519175,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
1024,1024,2048,96,mq,232.29991384615388,317.9733483082971,232.29991384615388,782.5731760006049,684.102400000002,100.10272076372314,87.38133333333333,87.38133333333333,174.76266666666666,174.76266666666666,1.0996700000000001,1.0996700000000001,173.66299666666666,174.76266666666666,0,957.3358426672715,1132.6307840970585,0.8452320527650735,-0.15476794723492648,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
1536,1024,2560,96,mq,435.5623384615385,596.200028078057,435.5623384615385,1467.324705001134,1269.3298559999976,187.6926014319809,131.072,131.072,262.144,174.76266666666666,1.0996700000000001,1.0996700000000001,261.04433,262.144,0,1642.0873716678007,1980.2107874319784,0.8292487759837575,-0.17075122401624251,GPU,supplement,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
2048,1024,3072,96,mq,696.8997415384616,953.9200449248913,696.8997415384616,2347.7195280018145,1939.1104000000041,300.3081622911694,174.76266666666666,174.76266666666666,349.5253333333333,174.76266666666666,1.0996700000000001,1.0996700000000001,348.4256633333333,349.5253333333333,0,2522.482194668481,2937.3695589578406,0.8587554762988152,-0.14124452370118482,GPU,supplement,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
128,1024,1152,128,mq,23.599584444756424,22.357501052927137,23.599584444756424,69.55666994243998,47.23505599999999,7.038472553699283,8.192,8.192,16.384,131.072,1.0996700000000001,1.0996700000000001,15.28433,16.384,0,200.62866994243998,85.94185855369928,2.3344697603564235,0.5716372013114783,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
192,1024,1216,128,mq,31.36260564368946,35.39937666713463,31.36260564368946,98.12458795451356,73.15958400000001,11.144248210023866,12.288,12.288,24.576,131.072,1.0996700000000001,1.0996700000000001,23.47633,24.576,0,229.19658795451357,132.35616221002388,1.7316654104160445,0.4225212365016039,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
256,1024,1280,128,mq,39.746668538537136,49.68333567317142,39.746668538537136,129.1766727502457,101.38495999999998,15.64105011933174,16.384,16.384,32.768,131.072,1.0996700000000001,1.0996700000000001,31.66833,32.768,0,260.2486727502457,181.4623401193317,1.434174565251959,0.3027348105114961,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
384,1024,1408,128,mq,59.88982153846154,81.97750386073284,59.88982153846154,201.75714693765593,169.31534400000004,25.807732696897375,24.576,24.576,49.152,131.072,1.0996700000000001,1.0996700000000001,48.05233,49.152,0,332.82914693765593,292.3274066968974,1.1385492407242992,0.12168928296518793,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
