device,name,kind,m,n,k,numOp,time_us,energy_J,energy_offchip_pJ,energy_L2_pJ,energy_L1_pJ,energy_reg_pJ,energy_alu_pJ,energy_link_pJ
GPU,qkv,FC,4,12288,4096,1,39.798422013196685,0.0034105720831999996,2894814248.96,249377587.2,161187102.72,40768634.88,64424509.44,0
GPU,proj,FC,4,4096,4096,1,12.445093359539522,0.00117523349504,965565480.9599999,120874598.39999999,53729034.24,13589544.96,21474836.48,0
GPU,comm_g2g,G2G,4,4096,1,1,0.0,3.4078720000000003e-07,0,0,0,0,0,340787.2
GPU,norm1,NORM,4,4096,1,1,6.942965498806682,3.2047923200000003e-06,2823290.88,235929.59999999998,125829.12,6635.52,13107.2,0
GPU,ff1,FC,4,10922.666666666666,4096,1,34.80803828317686,0.003078740596053332,2573272787.626666,268671385.59999996,143291405.65333334,36238786.56,57266230.61333333,0
GPU,ff2,FC,4,10922.666666666666,4096,1,34.80803828317686,0.003078740596053332,2573272787.626666,268671385.59999996,143291405.65333334,36238786.56,57266230.61333333,0
GPU,glu,ACT,4,10922.666666666666,1,1,8.344359296610977,8.57407488e-06,7528775.68,629145.6,335544.32,17694.72,62914.56,0
GPU,ff3,FC,4,4096,10922.666666666666,1,33.16669942439982,0.0031321865147733324,2573272787.626666,322201190.4,143207519.57333332,36238786.56,57266230.61333333,0
GPU,norm2,NORM,4,4096,1,1,6.942965498806682,3.2047923200000003e-06,2823290.88,235929.59999999998,125829.12,6635.52,13107.2,0
GPU,score,MATMUL,4,4,128,32,0.07884318405166363,2.1779302400000004e-06,1911603.2,159744.0,85196.8,414.72,20971.52,0
GPU,softmax,SOFTMAX,4,4,1,32,0.0024259441246665733,6.690304000000001e-08,58818.56,4915.2,2621.44,138.24,409.6,0
GPU,context,MATMUL,4,128,4,32,0.07884318405166363,2.1871052800000003e-06,1911603.2,159744.0,94371.84,414.72,20971.52,0
GPU,comm_x2g,X2G,4,8192,1,1,0.21845333333333333,6.815744000000001e-07,0,0,0,0,0,681574.4
GPU,qkv,FC,605,12288,4096,1,274.4950153846154,0.030680000757760003,3460413521.92,1521726259.2,9787397898.24,6166256025.6,9744207052.800001,0
GPU,proj,FC,605,4096,4096,1,91.49833846153847,0.01044843855872,1248365117.44,634119782.4,3262465966.08,2055418675.2,3248069017.6,0
GPU,comm_g2g,G2G,605,4096,1,1,0.0,5.1544064e-05,0,0,0,0,0,51544064.0
GPU,norm1,NORM,605,4096,1,1,17.906031694510734,0.0004847248383999999,427022745.59999996,35684352.0,19031654.400000002,1003622.4,1982464.0,0
GPU,ff1,FC,605,10922.666666666666,4096,1,217.89371763864042,0.02755333346645333,3091738787.8399997,1616936959.9999998,8702023871.146666,5481116467.200001,8661517380.266666,0
GPU,ff2,FC,605,10922.666666666666,4096,1,217.89371763864042,0.02755333346645333,3091738787.8399997,1616936959.9999998,8702023871.146666,5481116467.200001,8661517380.266666,0
GPU,glu,ACT,605,10922.666666666666,1,1,25.733907692307696,0.0012968288256000001,1138727321.6,95158272.0,50751078.4,2676326.4000000004,9515827.200000001,0
GPU,ff3,FC,605,4096,10922.666666666666,1,243.99556923076923,0.027594870183253333,3091738787.8399997,1671161446.3999999,8689336101.546667,5481116467.200001,8661517380.266666,0
GPU,norm2,NORM,605,4096,1,1,17.906031694510734,0.0004847248383999999,427022745.59999996,35684352.0,19031654.400000002,1003622.4,1982464.0,0
GPU,score,MATMUL,605,605,128,32,40.5443076923077,0.0020864188752,957465062.4,127590144.0,512120012.8,9487368.0,479756288.0,0
GPU,softmax,SOFTMAX,605,605,1,32,55.49726238944265,0.0015305115759999999,1345566464.0,112442880.0,59969536.0,3162456.0,9370240.0,0
GPU,context,MATMUL,605,128,605,32,40.5443076923077,0.0020259041615999997,957465062.4,91905792.0,487289651.2,9487368.0,479756288.0,0
GPU,comm_x2g,X2G,605,8192,1,1,33.041066666666666,0.000103088128,0,0,0,0,0,103088128.0
GPU,qkv,FC,713,12288,4096,1,323.49577846153846,0.03553919107072,3562051993.6,1663991808.0,11562469294.08,7267009167.360001,11483668807.68,0
GPU,proj,FC,713,4096,4096,1,107.83192615384617,0.01210775764992,1299184353.28,704190873.6,3854156431.36,2422336389.1200004,3827889602.56,0
GPU,comm_g2g,G2G,713,4096,1,1,0.0,6.07453184e-05,0,0,0,0,0,60745318.4
GPU,norm1,NORM,713,4096,1,1,19.876100162291166,0.00057125423104,503251599.35999995,42054451.199999996,22429040.64,1182781.4400000002,2336358.4,0
GPU,ff1,FC,713,10922.666666666666,4096,1,262.9045056703297,0.03194892648448,3184907386.8799996,1816507187.1999998,10280242599.253334,6459563704.320001,10207705606.826666,0
GPU,ff2,FC,713,10922.666666666666,4096,1,262.9045056703297,0.03194892648448,3184907386.8799996,1816507187.1999998,10280242599.253334,6459563704.320001,10207705606.826666,0
GPU,glu,ACT,713,10922.666666666666,1,1,30.327729230769233,0.00152832884736,1342004264.96,112145203.2,59810775.04,3154083.8400000003,11214520.32,0
GPU,ff3,FC,713,4096,10922.666666666666,1,287.5518030769231,0.03197194534911999,3184907386.8799996,1854478745.5999997,10265289905.493332,6459563704.320001,10207705606.826666,0
GPU,norm2,NORM,713,4096,1,1,19.876100162291166,0.00057125423104,503251599.35999995,42054451.199999996,22429040.64,1182781.4400000002,2336358.4,0
GPU,score,MATMUL,713,713,128,32,56.31164307692308,0.0028261414863999996,1269923957.76,162194380.79999998,714516807.6800001,13176924.48,666329415.6800001,0
GPU,softmax,SOFTMAX,713,713,1,32,77.07967429453882,0.00212571447136,1868845783.04,156170956.79999998,83291176.96000001,4392308.16,13014246.4,0
GPU,context,MATMUL,713,128,713,32,56.31164307692308,0.00274664689184,1269923957.76,120139929.6,677076664.32,13176924.48,666329415.6800001,0
GPU,comm_x2g,X2G,713,8192,1,1,38.93930666666667,0.0001214906368,0,0,0,0,0,121490636.8
GPU,qkv,FC,656,12288,4096,1,297.6342646153846,0.032935247872,3508409466.8799996,1588907212.8,10586255523.84,6686056120.320001,10565619548.16,0
GPU,proj,FC,656,4096,4096,1,99.21142153846155,0.01121888239616,1272363089.9199998,667208908.8,3528751841.28,2228685373.44,3521873182.7200003,0
GPU,comm_g2g,G2G,656,4096,1,1,0.0,5.5889100800000006e-05,0,0,0,0,0,55889100.800000004
GPU,norm1,NORM,656,4096,1,1,18.83634180429594,0.0005255859404799999,463019704.32,38692454.4,20635975.68,1088225.28,2149580.8,0
GPU,ff1,FC,656,10922.666666666666,4096,1,241.88689441758243,0.029657151133013333,3135735070.72,1774295449.6,9412297796.266666,5943160995.84,9391661820.586666,0
GPU,ff2,FC,656,10922.666666666666,4096,1,241.88689441758243,0.029657151133013333,3135735070.72,1774295449.6,9412297796.266666,5943160995.84,9391661820.586666,0
GPU,glu,ACT,656,10922.666666666666,1,1,27.90321230769231,0.00140614828032,1234719211.52,103179878.39999999,55029268.480000004,2901934.08,10317987.84,0
GPU,ff3,FC,656,4096,10922.666666666666,1,264.56379076923076,0.02962682631509333,3135735070.72,1757727948.7999997,9398540479.146666,5943160995.84,9391661820.586666,0
GPU,norm2,NORM,656,4096,1,1,18.83634180429594,0.0005255859404799999,463019704.32,38692454.4,20635975.68,1088225.28,2149580.8,0
GPU,score,MATMUL,656,656,128,32,47.6679876923077,0.00241766375424,1099671797.76,143484518.4,599303127.04,11154309.120000001,564050001.92,0
GPU,softmax,SOFTMAX,656,656,1,32,65.24819317703216,0.00179942416384,1581983989.76,132199219.19999999,70506250.24,3718103.04,11016601.6,0
GPU,context,MATMUL,656,128,656,32,47.6679876923077,0.0023505968332799996,1099671797.76,104792064.0,570928660.48,11154309.120000001,564050001.92,0
GPU,comm_x2g,X2G,656,8192,1,1,35.826346666666666,0.00011177820160000001,0,0,0,0,0,111778201.60000001
GPU,qkv,FC,677,12288,4096,1,307.1621907692308,0.03396241063936,3528172503.04,1616569958.3999999,11013728501.76,6900091453.440001,10903848222.72,0
GPU,proj,FC,677,4096,4096,1,102.38739692307693,0.011568967843839999,1282244608.0,680833843.1999999,3671242833.92,2300030484.48,3634616074.2400002,0
GPU,comm_g2g,G2G,677,4096,1,1,0.0,5.76782336e-05,0,0,0,0,0,57678233.6
GPU,norm1,NORM,677,4096,1,1,19.219410673031025,0.00054241110016,477841981.44,39931084.8,21296578.56,1123061.76,2218393.6,0
GPU,ff1,FC,677,10922.666666666666,4096,1,249.6302248791209,0.030561769663146672,3153851187.2,1789847142.3999999,9792347176.960001,6133414625.280001,9692309531.306667,0
GPU,ff2,FC,677,10922.666666666666,4096,1,249.6302248791209,0.030561769663146672,3153851187.2,1789847142.3999999,9792347176.960001,6133414625.280001,9692309531.306667,0
GPU,glu,ACT,677,10922.666666666666,1,1,28.79645538461539,0.0014511621734399998,1274245283.84,106482892.8,56790876.160000004,2994831.3600000003,10648289.28,0
GPU,ff3,FC,677,4096,10922.666666666666,1,273.0330584615385,0.030551097780906665,3153851187.2,1793372979.1999998,9778149457.92,6133414625.280001,9692309531.306667,0
GPU,norm2,NORM,677,4096,1,1,19.219410673031025,0.00054241110016,477841981.44,39931084.8,21296578.56,1123061.76,2218393.6,0
GPU,score,MATMUL,677,677,128,32,50.76875076923077,0.00257193729824,1161006689.28,150261504.0,648048230.4,11879887.680000002,600740986.88,0
GPU,softmax,SOFTMAX,677,677,1,32,69.49253404464412,0.0019164752137599997,1684890736.6399999,140798668.79999998,75092623.36,3959962.56,11733222.4,0
GPU,context,MATMUL,677,128,677,32,50.76875076923077,0.00249667829536,1161006689.28,110330419.2,612720312.32,11879887.680000002,600740986.88,0
GPU,comm_x2g,X2G,677,8192,1,1,36.97322666666666,0.0001153564672,0,0,0,0,0,115356467.2
GPU,qkv,FC,707,12288,4096,1,320.7735138461539,0.03531934400512,3556405411.8399997,1656088166.3999999,11513962168.32,7205856215.040001,11387032043.52,0
GPU,proj,FC,707,4096,4096,1,106.92450461538462,0.012032275906560001,1296361062.3999999,700298035.1999999,3837987389.44,2401952071.6800003,3795677347.84,0
GPU,comm_g2g,G2G,707,4096,1,1,0.0,6.02341376e-05,0,0,0,0,0,60234137.6
GPU,norm1,NORM,707,4096,1,1,19.76665191408114,0.0005664470425599999,499016663.03999996,41700556.8,22240296.96,1172828.1600000001,2316697.6,0
GPU,ff1,FC,707,10922.666666666666,4096,1,260.69212553846154,0.031755911168,3179731353.6,1812063846.3999999,10237104182.613335,6405205524.4800005,10121806260.906666,0
GPU,ff2,FC,707,10922.666666666666,4096,1,260.69212553846154,0.031755911168,3179731353.6,1812063846.3999999,10237104182.613335,6405205524.4800005,10121806260.906666,0
GPU,glu,ACT,707,10922.666666666666,1,1,30.072516923076925,0.00151546773504,1330711101.44,111201484.8,59307458.56,3127541.7600000002,11120148.48,0
GPU,ff3,FC,707,4096,10922.666666666666,1,285.1320123076923,0.03177331490816,3179731353.6,1844294451.1999998,10222277317.973333,6405205524.4800005,10121806260.906666,0
GPU,norm2,NORM,707,4096,1,1,19.76665191408114,0.0005664470425599999,499016663.03999996,41700556.8,22240296.96,1172828.1600000001,2316697.6,0
GPU,score,MATMUL,707,707,128,32,55.36788923076924,0.0027878928515199996,1251440225.28,160177920.0,708156538.88,12956086.08,655162081.28,0
GPU,softmax,SOFTMAX,707,707,1,32,75.78785904815388,0.00209008860256,1837524899.84,153553612.79999998,81895260.16,4318695.36,12796134.4,0
GPU,context,MATMUL,707,128,707,32,55.36788923076924,0.0027066346832,1251440225.28,118477363.2,668598927.36,12956086.08,655162081.28,0
GPU,comm_x2g,X2G,707,8192,1,1,38.611626666666666,0.0001204682752,0,0,0,0,0,120468275.2
GPU,qkv,FC,661,12288,4096,1,299.90281846153846,0.033247302778879995,3513114951.68,1595493580.8,10755527147.52,6737016913.92,10646150184.960001,0
GPU,proj,FC,661,4096,4096,1,99.96760615384616,0.01132473352192,1274715832.32,670452940.8,3585175715.84,2245672304.6400003,3548716728.32,0
