model,cached,link_GBps,mode,q_low,q_high,color
LLAMA-7B,1024,300,plain,48,64,#26749A
LLAMA-7B,1024,300,mq,512,768,#36886B
LLAMA-7B,1024,32,plain,192,256,#26749A
LLAMA-7B,1024,32,mq,512,768,#36886B
LLAMA-7B,1024,450,plain,32,48,#26749A
LLAMA-7B,1024,450,mq,512,768,#36886B
GPT-13B,1024,300,plain,48,64,#26749A
GPT-13B,1024,300,mq,512,768,#36886B
GPT-13B,1024,32,plain,192,256,#26749A
GPT-13B,1024,32,mq,512,768,#36886B
GPT-13B,1024,450,plain,48,64,#26749A
GPT-13B,1024,450,mq,512,768,#36886B
LLAMA-65B,0,300,mq,1024,1536,#36886B
LLAMA-65B,0,300,mq,1536,2048,#36886B
LLAMA-65B,1024,300,plain,32,48,#26749A
LLAMA-65B,1024,32,plain,128,192,#26749A
LLAMA-65B,1024,32,mq,512,768,#36886B
LLAMA-65B,1024,450,plain,24,32,#26749A
LLAMA3.1-8B,1024,300,plain,4,8,#26749A
LLAMA3.1-8B,1024,300,mq,48,64,#36886B
LLAMA3.1-8B,1024,32,plain,24,32,#26749A
LLAMA3.1-8B,1024,32,mq,128,192,#36886B
LLAMA3.1-8B,1024,450,plain,4,8,#26749A
LLAMA3.1-8B,1024,450,mq,48,64,#36886B
