model,GPUs,Q_heads,KV_heads,gqa_size,q,cached,total_kv,link_GBps,gpu_attention_us,pim_softmax_us,q_input_us,output_us,q_input_bytes,new_kv_bytes,cached_kv_bytes,cached_kv_readback_us,new_kv_transfer_us,gpu_service_us,plain_scan_us,plain_service_us,plain_new_kv_exposed_us,plain_overlap_window_us,plain_speedup_over_GPU,plain_profile_repeats,mq_scan_us,mq_service_us,mq_new_kv_exposed_us,mq_overlap_window_us,mq_speedup_over_GPU,mq_profile_repeats
LLAMA-7B,1,32,32,1,1,0,1,32,0.03911834901024849,4.77326968973747e-05,0.256,0.256,8192,16384,0,0.0,0.512,0.512,0.088435,1.1124827326968973,0.512,0.0,0.4602318624387112,"{""scan-N1-H7-Q1"": 1}",0.088435,1.1124827326968973,0.512,0.0,0.4602318624387112,"{""scan-N1-H7-Q1"": 1}"
LLAMA-7B,1,32,32,1,1,0,1,48,0.03911834901024849,4.77326968973747e-05,0.17066666666666666,0.17066666666666666,8192,16384,0,0.0,0.3413333333333333,0.3413333333333333,0.088435,0.7711493993635641,0.3413333333333333,0.0,0.4426293188000127,"{""scan-N1-H7-Q1"": 1}",0.088435,0.7711493993635641,0.3413333333333333,0.0,0.4426293188000127,"{""scan-N1-H7-Q1"": 1}"
LLAMA-7B,1,32,32,1,1,0,1,64,0.03911834901024849,4.77326968973747e-05,0.128,0.128,8192,16384,0,0.0,0.256,0.256,0.088435,0.6004827326968973,0.256,0.0,0.4263236660448983,"{""scan-N1-H7-Q1"": 1}",0.088435,0.6004827326968973,0.256,0.0,0.4263236660448983,"{""scan-N1-H7-Q1"": 1}"
LLAMA-7B,1,32,32,1,1,0,1,96,0.03911834901024849,4.77326968973747e-05,0.08533333333333333,0.08533333333333333,8192,16384,0,0.0,0.17066666666666666,0.17066666666666666,0.088435,0.4298160660302307,0.17066666666666666,0.0,0.39706907245915507,"{""scan-N1-H7-Q1"": 1}",0.088435,0.4298160660302307,0.17066666666666666,0.0,0.39706907245915507,"{""scan-N1-H7-Q1"": 1}"
LLAMA-7B,1,32,32,1,1,0,1,128,0.03911834901024849,4.77326968973747e-05,0.064,0.064,8192,16384,0,0.0,0.128,0.128,0.088435,0.34448273269689733,0.128,0.0,0.3715715995339144,"{""scan-N1-H7-Q1"": 1}",0.088435,0.34448273269689733,0.128,0.0,0.3715715995339144,"{""scan-N1-H7-Q1"": 1}"
LLAMA-7B,1,32,32,1,1,0,1,150,0.03911834901024849,4.77326968973747e-05,0.05461333333333334,0.05461333333333334,8192,16384,0,0.0,0.10922666666666668,0.10922666666666668,0.088435,0.3069360660302307,0.10922666666666668,0.0,0.3558612973683866,"{""scan-N1-H7-Q1"": 1}",0.088435,0.3069360660302307,0.10922666666666668,0.0,0.3558612973683866,"{""scan-N1-H7-Q1"": 1}"
LLAMA-7B,1,32,32,1,1,0,1,192,0.03911834901024849,4.77326968973747e-05,0.042666666666666665,0.042666666666666665,8192,16384,0,0.0,0.08533333333333333,0.08533333333333333,0.088435,0.259149399363564,0.08533333333333333,0.0,0.3292823890115142,"{""scan-N1-H7-Q1"": 1}",0.088435,0.259149399363564,0.08533333333333333,0.0,0.3292823890115142,"{""scan-N1-H7-Q1"": 1}"
LLAMA-7B,1,32,32,1,1,0,1,225,0.03911834901024849,4.77326968973747e-05,0.036408888888888886,0.036408888888888886,8192,16384,0,0.0,0.07281777777777777,0.07281777777777777,0.088435,0.2341182882524529,0.07281777777777777,0.0,0.31102985726282684,"{""scan-N1-H7-Q1"": 1}",0.088435,0.2341182882524529,0.07281777777777777,0.0,0.31102985726282684,"{""scan-N1-H7-Q1"": 1}"
LLAMA-7B,1,32,32,1,1,0,1,256,0.03911834901024849,4.77326968973747e-05,0.032,0.032,8192,16384,0,0.0,0.064,0.064,0.088435,0.21648273269689736,0.064,0.0,0.29563558812613444,"{""scan-N1-H7-Q1"": 1}",0.088435,0.21648273269689736,0.064,0.0,0.29563558812613444,"{""scan-N1-H7-Q1"": 1}"
LLAMA-7B,1,32,32,1,1,0,1,300,0.03911834901024849,4.77326968973747e-05,0.02730666666666667,0.02730666666666667,8192,16384,0,0.0,0.05461333333333334,0.05461333333333334,0.088435,0.19770939936356405,0.05461333333333334,0.0,0.276230333555897,"{""scan-N1-H7-Q1"": 1}",0.088435,0.19770939936356405,0.05461333333333334,0.0,0.276230333555897,"{""scan-N1-H7-Q1"": 1}"
LLAMA-7B,1,32,32,1,1,0,1,350,0.03911834901024849,4.77326968973747e-05,0.023405714285714287,0.023405714285714287,8192,16384,0,0.0,0.04681142857142857,0.04681142857142857,0.088435,0.1821055898397545,0.04681142857142857,0.0,0.25705651656613465,"{""scan-N1-H7-Q1"": 1}",0.088435,0.1821055898397545,0.04681142857142857,0.0,0.25705651656613465,"{""scan-N1-H7-Q1"": 1}"
LLAMA-7B,1,32,32,1,1,0,1,400,0.03911834901024849,4.77326968973747e-05,0.02048,0.02048,8192,16384,0,0.0,0.04096,0.04096,0.088435,0.17040273269689737,0.04096,0.0,0.24037173202414133,"{""scan-N1-H7-Q1"": 1}",0.088435,0.17040273269689737,0.04096,0.0,0.24037173202414133,"{""scan-N1-H7-Q1"": 1}"
LLAMA-7B,1,32,32,1,1,0,1,450,0.03911834901024849,4.77326968973747e-05,0.018204444444444443,0.018204444444444443,8192,16384,0,0.0,0.036408888888888886,0.03911834901024849,0.088435,0.16130051047467514,0.036408888888888886,0.0,0.24251844519977658,"{""scan-N1-H7-Q1"": 1}",0.088435,0.16130051047467514,0.036408888888888886,0.0,0.24251844519977658,"{""scan-N1-H7-Q1"": 1}"
