model,GPUs,Q_heads,KV_heads,gqa_size,q,cached,total_kv,link_GBps,gpu_attention_us,pim_softmax_us,q_input_us,output_us,q_input_bytes,new_kv_bytes,cached_kv_bytes,cached_kv_readback_us,new_kv_transfer_us,gpu_service_us,plain_scan_us,plain_service_us,plain_new_kv_exposed_us,plain_overlap_window_us,plain_speedup_over_GPU,plain_profile_repeats,mq_scan_us,mq_service_us,mq_new_kv_exposed_us,mq_overlap_window_us,mq_speedup_over_GPU,mq_profile_repeats
GPT-13B,1,40,40,1,1,1024,1025,450,20.22297346623614,0.061157517899761336,0.022755555555555557,0.022755555555555557,10240,20480,20971520,46.60337777777778,0.04551111111111111,66.82635124401392,1.54569,1.6523586290108725,0,0.736702,40.44300678480265,"{""scan-N1025-H8-Q1"": 1}",1.54569,1.6523586290108725,0,0.736702,40.44300678480265,"{""scan-N1025-H8-Q1"": 1}"
GPT-13B,1,40,40,1,2,1024,1026,450,20.573219149234877,0.12243436754176612,0.04551111111111111,0.04551111111111111,20480,40960,20971520,46.60337777777778,0.09102222222222223,67.17659692701265,3.09138,3.304836589763988,0,0.736702,20.326752958097092,"{""scan-N1026-H8-Q1"": 2}",1.849445,2.0629015897639884,0,0.856666,32.56413066931523,"{""scan-N1026-H8-Q2"": 1}"
GPT-13B,1,40,40,1,4,1024,1028,450,21.275529973325845,0.24534606205250595,0.09102222222222223,0.09102222222222223,40960,81920,20971520,46.60337777777778,0.18204444444444445,67.87890775110363,6.18276,6.61015050649695,0,0.736702,10.268889896589672,"{""scan-N1028-H8-Q1"": 4}",2.0924490000000002,2.5198395064969503,0,0.9058820000000001,26.93779011563639,"{""scan-N1028-H8-Q4"": 1}"
GPT-13B,1,40,40,1,8,1024,1032,450,22.68742945388179,0.4926014319809069,0.18204444444444445,0.18204444444444445,81920,163840,20971520,46.60337777777778,0.3640888888888889,69.29080723165957,12.365520000000002,13.222210320869797,0,0.736702,5.2404859361745055,"{""scan-N1032-H8-Q1"": 8}",2.8406860000000003,3.697376320869796,0,1.0996700000000001,18.74053415676096,"{""scan-N1032-H8-Q8"": 1}"
GPT-13B,1,40,40,1,12,1024,1036,450,24.109032710936404,0.7417661097852029,0.2730666666666667,0.2730666666666667,122880,245760,20971520,46.60337777777778,0.5461333333333334,70.71241048871418,18.548280000000002,19.83617944311854,0,0.736702,3.5648200648459727,"{""scan-N1036-H8-Q1"": 12}",4.933135,6.221034443118537,0,1.0996700000000001,11.366664360287134,"{""scan-N1036-H8-Q4"": 1, ""scan-N1036-H8-Q8"": 1}"
GPT-13B,1,40,40,1,16,1024,1040,450,25.540339744489685,0.9928400954653936,0.3640888888888889,0.3640888888888889,163840,327680,20971520,46.60337777777778,0.7281777777777778,72.14371752226747,24.731040000000004,26.452057873243174,0,0.736702,2.7273385635241025,"{""scan-N1040-H8-Q1"": 16}",5.6813720000000005,7.402389873243172,0,1.0996700000000001,9.746003487743817,"{""scan-N1040-H8-Q8"": 2}"
GPT-13B,1,40,40,1,24,1024,1048,450,28.432065141092238,1.5007159904534606,0.5461333333333334,0.5461333333333334,245760,491520,20971520,46.60337777777778,1.0922666666666667,75.03544291887002,37.539504000000015,40.488051323786806,0.35556466666666675,0.736702,1.8532737552322394,"{""scan-N1048-H8-Q1"": 24}",8.561277,11.154259657120129,0,1.0996700000000001,6.727066181480941,"{""scan-N1048-H8-Q8"": 3}"
GPT-13B,1,40,40,1,32,1024,1056,450,31.36260564368946,2.0162291169451074,0.7281777777777778,0.7281777777777778,327680,655360,20971520,46.60337777777778,1.4563555555555556,77.96598342146724,50.05267200000002,54.244910228056234,0.7196535555555557,0.736702,1.437295832801326,"{""scan-N1056-H8-Q1"": 32}",11.415036,15.24430622805622,0.3566855555555555,1.0996700000000001,5.1144330384793495,"{""scan-N1056-H8-Q8"": 4}"
GPT-13B,1,40,40,1,48,1024,1072,450,37.340131966867894,3.070167064439141,1.0922666666666667,1.0922666666666667,491520,983040,20971520,46.60337777777778,2.1845333333333334,83.94350974464567,75.964896,82.66742773110582,1.4478313333333335,0.736702,1.0154363338567953,"{""scan-N1072-H8-Q1"": 48}",17.205606,23.54516973110581,1.0848633333333333,1.0996700000000001,3.565211493623122,"{""scan-N1072-H8-Q8"": 6}"
GPT-13B,1,40,40,1,64,1024,1088,450,43.47291871402499,4.154653937947494,1.4563555555555556,1.4563555555555556,655360,1310720,20971520,46.60337777777778,2.9127111111111113,90.07629649180276,102.46771199999992,111.71108616016963,2.176009111111111,0.736702,0.8063326531679476,"{""scan-N1088-H8-Q1"": 64}",23.026936000000003,31.90734216016972,1.813041111111111,1.0996700000000001,2.823058593838191,"{""scan-N1088-H8-Q8"": 8}"
