model,GPUs,Q_heads,KV_heads,gqa_size,q,cached,total_kv,link_GBps,gpu_attention_us,pim_softmax_us,q_input_us,output_us,q_input_bytes,new_kv_bytes,cached_kv_bytes,cached_kv_readback_us,new_kv_transfer_us,gpu_service_us,plain_scan_us,plain_service_us,plain_new_kv_exposed_us,plain_overlap_window_us,plain_speedup_over_GPU,plain_profile_repeats,mq_scan_us,mq_service_us,mq_new_kv_exposed_us,mq_overlap_window_us,mq_speedup_over_GPU,mq_profile_repeats
GPT-13B,1,40,40,1,1,0,1,300,0.03911834901024849,5.966587112171837e-05,0.034133333333333335,0.034133333333333335,10240,20480,0,0.0,0.06826666666666667,0.06826666666666667,0.088435,0.22502799920445507,0.06826666666666667,0.0,0.3033696558117695,"{""scan-N1-H8-Q1"": 1}",0.088435,0.22502799920445507,0.06826666666666667,0.0,0.3033696558117695,"{""scan-N1-H8-Q1"": 1}"
GPT-13B,1,40,40,1,2,0,2,300,0.07884318405166363,0.0002386634844868735,0.06826666666666667,0.06826666666666667,20480,40960,0,0.0,0.13653333333333334,0.13653333333333334,0.17687,0.4501753301511536,0.13653333333333334,0.0,0.3032892390782278,"{""scan-N2-H8-Q1"": 2}",0.153031,0.4263363301511535,0.13653333333333334,0.0,0.3202479443516501,"{""scan-N2-H8-Q2"": 1}"
GPT-13B,1,40,40,1,4,0,4,300,0.16011231222799382,0.000954653937947494,0.13653333333333334,0.13653333333333334,40960,81920,0,0.0,0.2730666666666667,0.2730666666666667,0.35374,0.9008279872712809,0.2730666666666667,0.0,0.3031285334437924,"{""scan-N4-H8-Q1"": 4}",0.30221699999999996,0.8493049872712808,0.2730666666666667,0.0,0.3215177948548241,"{""scan-N4-H8-Q4"": 1}"
GPT-13B,1,40,40,1,8,0,8,300,0.3299284009546539,0.003818615751789976,0.2730666666666667,0.2730666666666667,81920,163840,0,0.0,0.5461333333333334,0.5461333333333334,0.7074800000000001,1.8035652824184567,0.5461333333333334,0.0,0.3028076325582217,"{""scan-N8-H8-Q1"": 8}",0.6021270000000001,1.6982122824184567,0.5461333333333334,0.0,0.32159308879545634,"{""scan-N8-H8-Q8"": 1}"
GPT-13B,1,40,40,1,12,0,12,300,0.5094482661799804,0.008591885441527447,0.4096,0.4096,122880,245760,0,0.0,0.8192,0.8192,1.0612200000000003,2.708211885441528,0.8192,0.0,0.302487410384599,"{""scan-N12-H8-Q1"": 12}",0.904344,2.5513358854415276,0.8192,0.0,0.3210866921421565,"{""scan-N12-H8-Q4"": 1, ""scan-N12-H8-Q8"": 1}"
GPT-13B,1,40,40,1,16,0,16,300,0.698671907903973,0.015274463007159903,0.5461333333333334,0.5461333333333334,163840,327680,0,0.0,1.0922666666666667,1.0922666666666667,1.4149600000000004,3.6147677963404936,1.0922666666666667,0.0,0.3021678647719646,"{""scan-N16-H8-Q1"": 16}",1.2042540000000002,3.4040617963404936,1.0922666666666667,0.0,0.32087157402397876,"{""scan-N16-H8-Q8"": 2}"
GPT-13B,1,40,40,1,24,0,24,300,1.1062305208479575,0.03436754176610979,0.8192,0.8192,245760,491520,0,0.0,1.6384,1.6384,2.4177359999999988,5.728903541766108,1.6384,0.0,0.28598840738989184,"{""scan-N24-H8-Q1"": 24}",1.861749,5.17291654176611,1.6384,0.0,0.3167265481226237,"{""scan-N24-H8-Q8"": 3}"
GPT-13B,1,40,40,1,32,0,32,300,1.5526042397866067,0.06109785202863961,1.0922666666666667,1.0922666666666667,327680,655360,0,0.0,2.1845333333333334,2.1845333333333334,3.223647999999998,7.653812518695305,2.1845333333333334,0.0,0.28541766969041416,"{""scan-N32-H8-Q1"": 32}",2.482332,6.912496518695307,2.1845333333333334,0.0,0.3160266811600002,"{""scan-N32-H8-Q8"": 4}"
GPT-13B,1,40,40,1,48,0,48,300,2.561796995647901,0.13747016706443915,1.6384,1.6384,491520,983040,0,0.0,3.2768,3.2768,5.647536000000002,12.338606167064441,3.2768,0.0,0.26557294686548905,"{""scan-N48-H8-Q1"": 48}",3.834234,10.525304167064439,3.2768,0.0,0.3113259197063106,"{""scan-N48-H8-Q8"": 6}"
GPT-13B,1,40,40,1,64,0,64,300,3.7262501754878565,0.24439140811455845,2.1845333333333334,2.1845333333333334,655360,1310720,0,0.0,4.369066666666667,4.369066666666667,8.711231999999997,17.693756741447892,4.369066666666667,0.0,0.24692702236784245,"{""scan-N64-H8-Q1"": 64}",5.25996,14.242484741447894,4.369066666666667,0.0,0.30676295225031824,"{""scan-N64-H8-Q8"": 8}"
GPT-13B,1,40,40,1,96,0,96,300,6.520937807103748,0.5498806682577566,3.2768,3.2768,983040,1966080,0,0.0,6.5536,6.5536,16.610400000000038,30.267480668257793,6.5536,0.0,0.21652281112623,"{""scan-N96-H8-Q1"": 96}",8.332884,21.989964668257755,6.5536,0.0,0.29802685447057775,"{""scan-N96-H8-Q8"": 12}"
GPT-13B,1,40,40,1,128,0,128,300,9.936667134634284,0.9775656324582338,4.369066666666667,4.369066666666667,1310720,2621440,0,0.0,8.738133333333334,9.936667134634284,26.871936,45.3257682991249,8.738133333333334,0.0,0.21922777059304982,"{""scan-N128-H8-Q1"": 128}",11.701103999999996,30.1549362991249,8.738133333333334,0.0,0.3295204153663773,"{""scan-N128-H8-Q8"": 16}"
GPT-13B,1,40,40,1,192,0,192,300,18.63125087743928,2.1995226730310264,6.5536,6.5536,1966080,3932160,0,0.0,13.1072,18.63125087743928,54.48211199999979,82.89603467303083,13.1072,0.0,0.22475442825374037,"{""scan-N192-H8-Q1"": 192}",19.47108,47.885002673031025,13.1072,0.0,0.3890832168196256,"{""scan-N192-H8-Q8"": 24}"
GPT-13B,1,40,40,1,256,0,256,300,29.81000140390286,3.910262529832935,8.738133333333334,8.738133333333334,2621440,5242880,0,0.0,17.476266666666668,29.81000140390286,91.54176000000005,130.4045558631663,17.476266666666668,0.0,0.22859631863769037,"{""scan-N256-H8-Q1"": 256}",28.865184000000003,67.72797986316627,17.476266666666668,0.0,0.44014307623126037,"{""scan-N256-H8-Q8"": 32}"
GPT-13B,1,40,40,1,384,0,384,300,59.620002807805704,8.798090692124106,13.1072,13.1072,3932160,7864320,0,0.0,26.2144,59.620002807805704,217.92844799999895,279.15533869212305,26.2144,0.0,0.21357285548301788,"{""scan-N384-H8-Q1"": 384}",59.46523199999997,120.69212269212407,26.2144,0.0,0.49398420939112614,"{""scan-N384-H8-Q8"": 48}"
GPT-13B,1,40,40,1,512,0,512,300,99.36667134634286,15.64105011933174,17.476266666666668,17.476266666666668,5242880,10485760,0,0.0,34.952533333333335,99.36667134634286,366.1670400000002,451.71315678599865,34.952533333333335,0.0,0.21997736805664553,"{""scan-N512-H8-Q1"": 512}",94.44550400000001,179.9916207859984,34.952533333333335,0.0,0.5520627622131653,"{""scan-N512-H8-Q8"": 64}"
GPT-13B,1,40,40,1,768,0,768,300,220.0987057501701,35.19236276849642,26.2144,26.2144,7864320,15728640,0,0.0,52.4288,220.0987057501701,832.7347200000063,972.7846827685028,52.4288,0.0,0.2262563439257481,"{""scan-N768-H8-Q1"": 768}",194.5262400000002,334.5762027684966,52.4288,0.0,0.6578432773428989,"{""scan-N768-H8-Q8"": 96}"
GPT-13B,1,40,40,1,1024,0,1024,300,391.28658800030246,62.56420047732696,34.952533333333335,34.952533333333335,10485760,20971520,0,0.0,69.90506666666667,391.28658800030246,1488.291840000014,1690.6661738106743,69.90506666666667,0.0,0.23143929538636399,"{""scan-N1024-H8-Q1"": 1024}",331.8142720000005,534.1886058106609,69.90506666666667,0.0,0.732487708917908,"{""scan-N1024-H8-Q8"": 128}"
GPT-13B,1,40,40,1,1536,0,1536,300,880.3948230006804,140.7694510739857,52.4288,52.4288,15728640,31457280,0,0.0,104.8576,880.3948230006804,3366.374400000111,3716.8590510740964,104.8576,0.0,0.23686527008503705,"{""scan-N1536-H8-Q1"": 1536}",718.7504639999975,1069.2351150739833,104.8576,0.0,0.823387495031683,"{""scan-N1536-H8-Q8"": 192}"
GPT-13B,1,40,40,1,2048,0,2048,300,1565.1463520012098,250.25680190930785,69.90506666666667,69.90506666666667,20971520,41943040,0,0.0,139.81013333333334,1565.1463520012098,6000.4147200001025,6530.291788576077,139.81013333333334,0.0,0.23967479596229319,"{""scan-N2048-H8-Q1"": 2048}",1369.3859839999946,1899.2630525759691,139.81013333333334,0.0,0.8240808717246423,"{""scan-N2048-H8-Q8"": 256}"
GPT-13B,1,40,40,1,1,1024,1025,32,20.22297346623614,0.061157517899761336,0.32,0.32,10240,20480,20971520,655.36,0.64,675.5829734662361,1.54569,2.2468475178997616,0,0.736702,300.6803835525682,"{""scan-N1025-H8-Q1"": 1}",1.54569,2.2468475178997616,0,0.736702,300.6803835525682,"{""scan-N1025-H8-Q1"": 1}"
GPT-13B,1,40,40,1,1,1024,1025,300,20.22297346623614,0.061157517899761336,0.034133333333333335,0.034133333333333335,10240,20480,20971520,69.90506666666667,0.06826666666666667,90.12804013290281,1.54569,1.6751141845664281,0,0.736702,53.80411733318989,"{""scan-N1025-H8-Q1"": 1}",1.54569,1.6751141845664281,0,0.736702,53.80411733318989,"{""scan-N1025-H8-Q1"": 1}"
GPT-13B,1,40,40,1,1,1024,1025,450,20.22297346623614,0.061157517899761336,0.022755555555555557,0.022755555555555557,10240,20480,20971520,46.60337777777778,0.04551111111111111,66.82635124401392,1.54569,1.6523586290108725,0,0.736702,40.44300678480265,"{""scan-N1025-H8-Q1"": 1}",1.54569,1.6523586290108725,0,0.736702,40.44300678480265,"{""scan-N1025-H8-Q1"": 1}"
GPT-13B,1,40,40,1,2,1024,1026,32,20.573219149234877,0.12243436754176612,0.64,0.64,20480,40960,20971520,655.36,1.28,675.9332191492349,3.09138,5.037112367541766,0.5432980000000001,0.736702,134.19061752618927,"{""scan-N1026-H8-Q1"": 2}",1.849445,3.675213367541766,0.423334,0.856666,183.91672851400875,"{""scan-N1026-H8-Q2"": 1}"
GPT-13B,1,40,40,1,2,1024,1026,300,20.573219149234877,0.12243436754176612,0.06826666666666667,0.06826666666666667,20480,40960,20971520,69.90506666666667,0.13653333333333334,90.47828581590154,3.09138,3.3503477008750995,0,0.736702,27.00564057643,"{""scan-N1026-H8-Q1"": 2}",1.849445,2.1084127008750997,0,0.856666,42.91298652220621,"{""scan-N1026-H8-Q2"": 1}"
GPT-13B,1,40,40,1,2,1024,1026,450,20.573219149234877,0.12243436754176612,0.04551111111111111,0.04551111111111111,20480,40960,20971520,46.60337777777778,0.09102222222222223,67.17659692701265,3.09138,3.304836589763988,0,0.736702,20.326752958097092,"{""scan-N1026-H8-Q1"": 2}",1.849445,2.0629015897639884,0,0.856666,32.56413066931523,"{""scan-N1026-H8-Q2"": 1}"
GPT-13B,1,40,40,1,4,1024,1028,32,21.275529973325845,0.24534606205250595,1.28,1.28,40960,81920,20971520,655.36,2.56,676.6355299733259,6.18276,10.811404062052507,1.823298,0.736702,62.58535210503168,"{""scan-N1028-H8-Q1"": 4}",2.0924490000000002,6.551913062052506,1.654118,0.9058820000000001,103.27297135431732,"{""scan-N1028-H8-Q4"": 1}"
GPT-13B,1,40,40,1,4,1024,1028,300,21.275529973325845,0.24534606205250595,0.13653333333333334,0.13653333333333334,40960,81920,20971520,69.90506666666667,0.2730666666666667,91.18059663999252,6.18276,6.701172728719173,0,0.736702,13.606662644169791,"{""scan-N1028-H8-Q1"": 4}",2.0924490000000002,2.610861728719173,0,0.9058820000000001,34.92356398541395,"{""scan-N1028-H8-Q4"": 1}"
