model,GPUs,Q_heads,KV_heads,gqa_size,q,cached,total_kv,link_GBps,gpu_attention_us,pim_softmax_us,q_input_us,output_us,q_input_bytes,new_kv_bytes,cached_kv_bytes,cached_kv_readback_us,new_kv_transfer_us,gpu_service_us,plain_scan_us,plain_service_us,plain_new_kv_exposed_us,plain_overlap_window_us,plain_speedup_over_GPU,plain_profile_repeats,mq_scan_us,mq_service_us,mq_new_kv_exposed_us,mq_overlap_window_us,mq_speedup_over_GPU,mq_profile_repeats
LLAMA-7B,1,32,32,1,1,1024,1025,32,20.22297346623614,0.04892601431980907,0.256,0.256,8192,16384,16777216,524.288,0.512,544.5109734662361,1.54569,2.106616014319809,0,0.736702,258.4766135664499,"{""scan-N1025-H7-Q1"": 1}",1.54569,2.106616014319809,0,0.736702,258.4766135664499,"{""scan-N1025-H7-Q1"": 1}"
LLAMA-7B,1,32,32,1,2,1024,1026,32,20.573219149234873,0.09794749403341288,0.512,0.512,16384,32768,16777216,524.288,1.024,544.8612191492349,3.09138,4.500625494033413,0.28729800000000005,0.736702,121.06344326395754,"{""scan-N1026-H7-Q1"": 2}",1.849445,3.138726494033413,0.16733399999999998,0.856666,173.59308629948902,"{""scan-N1026-H7-Q2"": 1}"
LLAMA-7B,1,32,32,1,4,1024,1028,32,21.275529973325845,0.19627684964200476,1.024,1.024,32768,65536,16777216,524.288,2.048,545.5635299733259,6.18276,9.738334849642005,1.311298,0.736702,56.022260314183136,"{""scan-N1028-H7-Q1"": 4}",2.0924490000000002,5.478843849642005,1.142118,0.9058820000000001,99.57639694531059,"{""scan-N1028-H7-Q4"": 1}"
LLAMA-7B,1,32,32,1,8,1024,1032,32,22.68742945388179,0.39408114558472557,2.048,2.048,65536,131072,16777216,524.288,4.096,546.9754294538818,12.365520000000002,20.214899145584724,3.359298,0.736702,27.05803405273731,"{""scan-N1032-H7-Q1"": 8}",2.8406860000000003,10.327097145584725,2.99633,1.0996700000000001,52.96507060435054,"{""scan-N1032-H7-Q8"": 1}"
LLAMA-7B,1,32,32,1,12,1024,1036,32,24.109032710936404,0.5934128878281623,3.072,3.072,98304,196608,16777216,524.288,6.144,548.3970327109364,18.548280000000002,30.692990887828167,5.407298,0.736702,17.867174779907575,"{""scan-N1036-H7-Q1"": 12}",4.933135,16.714877887828163,5.04433,1.0996700000000001,32.80891648692697,"{""scan-N1036-H7-Q4"": 1, ""scan-N1036-H7-Q8"": 1}"
LLAMA-7B,1,32,32,1,16,1024,1040,32,25.540339744489685,0.794272076372315,4.096,4.096,131072,262144,16777216,524.288,8.192,549.8283397444897,24.731040000000004,41.172610076372315,7.455298,0.736702,13.354225994528802,"{""scan-N1040-H7-Q1"": 16}",5.6813720000000005,21.759974076372316,7.0923300000000005,1.0996700000000001,25.267876598323298,"{""scan-N1040-H7-Q8"": 2}"
LLAMA-7B,1,32,32,1,24,1024,1048,32,28.432065141092238,1.2005727923627685,6.144,6.144,196608,393216,16777216,524.288,12.288,552.7200651410923,37.539504000000015,62.57937479236279,11.551298000000001,0.736702,8.83230404546238,"{""scan-N1048-H7-Q1"": 24}",8.554356,33.23125879236277,11.18833,1.0996700000000001,16.632534704587197,"{""scan-N1048-H7-Q8"": 3}"
LLAMA-7B,1,32,32,1,32,1024,1056,32,31.36260564368946,1.612983293556086,8.192,8.192,262144,524288,16777216,524.288,16.384,555.6506056436895,50.05267200000002,83.6969532935561,15.647298000000001,0.736702,6.63883909483321,"{""scan-N1056-H7-Q1"": 32}",11.405808,44.68712129355609,15.28433,1.0996700000000001,12.434244801618371,"{""scan-N1056-H7-Q8"": 4}"
LLAMA-7B,1,32,32,1,48,1024,1072,32,37.340131966867894,2.456133651551313,12.288,12.288,393216,786432,16777216,524.288,24.576,561.628131966868,75.964896,126.83632765155131,23.839298,0.736702,4.427975347171752,"{""scan-N1072-H7-Q1"": 48}",17.21022,67.71868365155132,23.47633,1.0996700000000001,8.293547684074069,"{""scan-N1072-H7-Q8"": 6}"
LLAMA-7B,1,32,32,1,64,1024,1088,32,43.47291871402499,3.323723150357995,16.384,16.384,524288,1048576,16777216,524.288,32.768,567.760918714025,102.46771199999992,170.59073315035792,32.031298,0.736702,3.3282049278351074,"{""scan-N1088-H7-Q1"": 64}",23.033087999999996,90.79314115035798,31.66833,1.0996700000000001,6.253345919311069,"{""scan-N1088-H7-Q8"": 8}"
LLAMA-7B,1,32,32,1,96,1024,1120,32,56.20427348027517,5.132219570405728,24.576,24.576,786432,1572864,16777216,524.288,49.152,580.4922734802752,157.24511999999982,259.9446375704055,48.415298,0.736702,2.2331380978115,"{""scan-N1120-H7-Q1"": 96}",34.844928,137.18147757040572,48.05233,1.0996700000000001,4.231564521400849,"{""scan-N1120-H7-Q8"": 12}"
LLAMA-7B,1,32,32,1,128,1024,1152,32,69.55666994243998,7.038472553699283,32.768,32.768,1048576,2097152,16777216,524.288,65.536,593.84466994244,214.38489599999966,351.75866655369896,64.79929800000001,0.736702,1.6882161732091525,"{""scan-N1152-H7-Q1"": 128}",47.23505599999999,184.24585855369926,64.43633,1.0996700000000001,3.22311000423036,"{""scan-N1152-H7-Q8"": 16}"
LLAMA-7B,1,32,32,1,192,1024,1216,32,98.12458795451356,11.144248210023866,49.152,49.152,1572864,3145728,16777216,524.288,98.304,622.4125879545136,335.751552000001,542.767098210025,97.56729800000001,0.736702,1.1467397158139265,"{""scan-N1216-H7-Q1"": 192}",73.15958400000001,279.81216221002387,97.20433,1.0996700000000001,2.224394333107428,"{""scan-N1216-H7-Q8"": 24}"
LLAMA-7B,1,32,32,1,256,1024,1280,32,129.1766727502457,15.64105011933174,65.536,65.536,2097152,4194304,16777216,524.288,131.072,653.4646727502457,466.5676799999968,743.6160281193286,130.335298,0.736702,0.8787662557555628,"{""scan-N1280-H7-Q1"": 256}",101.38495999999998,378.0703401193317,129.97233,1.0996700000000001,1.7284208873512539,"{""scan-N1280-H7-Q8"": 32}"
LLAMA-7B,1,32,32,1,384,1024,1408,32,201.75714693765593,25.807732696897375,98.304,98.304,3145728,6291456,16777216,524.288,196.608,726.045146937656,784.8967679999948,1203.1837986968922,195.871298,0.736702,0.6034366052169244,"{""scan-N1408-H7-Q1"": 384}",169.31534400000004,587.2394066968974,195.50833,1.0996700000000001,1.236369934745205,"{""scan-N1408-H7-Q8"": 48}"
LLAMA-7B,1,32,32,1,512,1024,1536,32,293.4649410002268,37.53852028639618,131.072,131.072,4194304,8388608,16777216,524.288,262.144,817.7529410002269,1122.1247999999932,1683.2146182863894,261.407298,0.736702,0.48582808877500544,"{""scan-N1536-H7-Q1"": 512}",239.5834880000002,800.3103382863965,261.04433,1.0996700000000001,1.02179479869169,"{""scan-N1536-H7-Q8"": 64}"
LLAMA-7B,1,32,32,1,768,1024,1792,32,513.563646750397,65.69241050119332,196.608,196.608,6291456,12582912,16777216,524.288,393.216,1037.8516467503969,1966.6713600000257,2818.0590685012194,392.47929800000003,0.736702,0.36828598035823884,"{""scan-N1792-H7-Q1"": 768}",451.8767039999996,1302.901444501193,392.11633,1.0996700000000001,0.7965695725724913,"{""scan-N1792-H7-Q8"": 96}"
LLAMA-7B,1,32,32,1,1024,1024,2048,32,782.5731760006049,100.10272076372314,262.144,262.144,8388608,16777216,16777216,524.288,524.288,1306.861176000605,3000.2073599999235,4148.149378763646,523.551298,0.736702,0.31504679717925543,"{""scan-N2048-H7-Q1"": 1024}",684.102400000002,1831.681450763725,523.1883300000001,1.0996700000000001,0.7134762299720321,"{""scan-N2048-H7-Q8"": 128}"
LLAMA-7B,1,32,32,1,1536,1024,2560,32,1467.324705001134,187.6926014319809,393.216,393.216,12582912,25165824,16777216,524.288,786.432,1991.612705001134,5634.247680000028,7394.067579432008,785.695298,0.736702,0.26935278635282967,"{""scan-N2560-H7-Q1"": 1536}",1269.3298559999976,3028.7867874319786,785.3323300000001,1.0996700000000001,0.6575612100744025,"{""scan-N2560-H7-Q8"": 192}"
LLAMA-7B,1,32,32,1,2048,1024,3072,32,2347.7195280018145,300.3081622911694,524.288,524.288,16777216,33554432,16777216,524.288,1048.576,2872.0075280018145,9714.057215999836,12110.780676291004,1047.839298,0.736702,0.2371447064204769,"{""scan-N3072-H7-Q1"": 2048}",1939.1104000000041,4335.470892291174,1047.47633,1.0996700000000001,0.662444195648616,"{""scan-N3072-H7-Q8"": 256}"
