profile,cycles,scan_us,nCCDAB,mac_commands,represented_column_MACs,dram_read_bytes_per_attacc,memory_energy_pJ_per_attacc,query_movement_commands,softmax_commands,trace_sha256,path
scan-N1024-H7-Q8,3371,2.592299,8,1792,14336,18350080,82922291.20000002,4928,56,ea3b79ab1d23d8f5bcc8fd706fd75a649d934bd1594ad241a6a32a13c8c16016,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N1024-H7-Q8
scan-N4096-H7-Q8,13683,10.522227,8,7168,57344,73400320,329857024.00000006,15680,56,422de3c72c568673715ff558322f364734e17388832293bb7dfaf36db921c287,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N4096-H7-Q8
scan-N1024-H8-Q8,3371,2.592299,8,2048,16384,20971520,94768332.80000001,5632,64,9a51a8e06ffb32656c508cfbd2281108fcf155d9f5a9d12fe5c8430de52d76d6,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N1024-H8-Q8
scan-N4096-H8-Q8,13670,10.512229999999999,8,8192,65536,83886080,376979456.0,17920,64,fa6b508ac124533b6a4131b7f52669b56c290c06609852edd932ba34cd006136,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N4096-H8-Q8
scan-N1024-H4-Q8,3371,2.592299,8,1024,8192,10485760,47384166.400000006,2816,32,fd2c4371ff4fa5fe35f70170c7d285232f6350a78774222123d16e3167a88004,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N1024-H4-Q8
scan-N4096-H4-Q8,13672,10.513768,8,4096,32768,41943040,188489728.0,8960,32,4c534dbd954f84d416009b18a15df7a0940a2979ac83f0713feb0114999878b2,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N4096-H4-Q8
scan-N1024-H2-Q8,3361,2.584609,8,512,4096,5242880,23692083.200000003,1408,16,56ca74c73288259a6a3a83d212465f8865ba566ea00c3886b0a49a118a63853c,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N1024-H2-Q8
scan-N4096-H2-Q8,13602,10.459938,8,2048,16384,20971520,94244864.0,4480,16,839f689611239c8531d385a48537de6821d50ed5ade9e57c2e9207e4c1414945,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N4096-H2-Q8
scan-N1-H2-Q4,393,0.30221699999999996,7,8,32,81920,503808.0,320,8,b302d3a208c182f0e497aaa5f0c5e1b31471ede032b43915cc5f0eb0be72f8be,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N1-H2-Q4
scan-N1-H8-Q1,115,0.088435,6,32,32,327680,1585152.0,320,8,d9d5680ce5440ed711b6fd4ab783899bccb1205c98ab9bc5fcfbc51ab25f990d,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N1-H8-Q1
scan-N1-H7-Q1,115,0.088435,6,28,28,286720,1387008.0000000002,280,7,a6661bb282a2e1ec5548d42cf5ffad9a9415f024ec56fbdae13f7b712d32ce12,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N1-H7-Q1
scan-N2-H4-Q1,115,0.088435,6,16,16,163840,792576.0,160,4,49e401c458494888e45b5017ca4e2b131c49530fd734ad3c8a73c1d37180715b,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N2-H4-Q1
scan-N2-H2-Q8,781,0.600589,8,8,64,81920,647168.0,640,16,ca840d404efc7d9cf1fe3387a662493b375735626efc2b274a89b3ea86e61300,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N2-H2-Q8
scan-N1-H4-Q1,115,0.088435,6,16,16,163840,792576.0,160,4,49e401c458494888e45b5017ca4e2b131c49530fd734ad3c8a73c1d37180715b,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N1-H4-Q1
scan-N1-H2-Q1,115,0.088435,6,8,8,81920,396288.0,80,2,5a685f3c0653a683e3e780ccb23105b2c43183a00729893e003831777974e267,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N1-H2-Q1
scan-N2-H2-Q1,115,0.088435,6,8,8,81920,396288.0,80,2,5a685f3c0653a683e3e780ccb23105b2c43183a00729893e003831777974e267,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N2-H2-Q1
scan-N2-H4-Q2,199,0.153031,7,16,32,163840,864256.0,320,8,19582df62c650e4da302349fe7383a7008b4f370fb4c604410835fa95f147f5a,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N2-H4-Q2
scan-N4-H2-Q1,115,0.088435,6,8,8,81920,396288.0,80,2,5a685f3c0653a683e3e780ccb23105b2c43183a00729893e003831777974e267,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N4-H2-Q1
scan-N2-H8-Q1,115,0.088435,6,32,32,327680,1585152.0,320,8,d9d5680ce5440ed711b6fd4ab783899bccb1205c98ab9bc5fcfbc51ab25f990d,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N2-H8-Q1
scan-N2-H7-Q1,115,0.088435,6,28,28,286720,1387008.0000000002,280,7,a6661bb282a2e1ec5548d42cf5ffad9a9415f024ec56fbdae13f7b712d32ce12,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N2-H7-Q1
scan-N2-H7-Q2,199,0.153031,7,28,56,286720,1512448.0000000002,560,14,1aa73af703ddbfafc46809d3ef59305d01d99bf26afcb6ead1e5c804977855b2,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N2-H7-Q2
scan-N4-H2-Q8,781,0.600589,8,8,64,81920,647168.0,640,16,ca840d404efc7d9cf1fe3387a662493b375735626efc2b274a89b3ea86e61300,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N4-H2-Q8
scan-N4-H4-Q1,115,0.088435,6,16,16,163840,792576.0,160,4,49e401c458494888e45b5017ca4e2b131c49530fd734ad3c8a73c1d37180715b,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N4-H4-Q1
scan-N2-H8-Q2,199,0.153031,7,32,64,327680,1728512.0,640,16,13c8aa488aeaf54cce6f36dcb26b555b3beeb1afcb43fb1bd6f5ff0cb35a7b02,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N2-H8-Q2
scan-N4-H4-Q4,393,0.30221699999999996,7,16,64,163840,1007616.0,640,16,6f9a5de966ad8b6c5374210ff09c7440c35f761ec3fb8b34a73443f1d423f612,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N4-H4-Q4
scan-N4-H7-Q1,115,0.088435,6,28,28,286720,1387008.0000000002,280,7,a6661bb282a2e1ec5548d42cf5ffad9a9415f024ec56fbdae13f7b712d32ce12,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/model-sweep/Fugue-asplos-raw/profiles/scan-N4-H7-Q1
