model,GPUs,Q_heads,KV_heads,gqa_size,q,cached,total_kv,link_GBps,gpu_attention_us,pim_softmax_us,q_input_us,output_us,q_input_bytes,new_kv_bytes,cached_kv_bytes,cached_kv_readback_us,new_kv_transfer_us,gpu_service_us,plain_scan_us,plain_service_us,plain_new_kv_exposed_us,plain_overlap_window_us,plain_speedup_over_GPU,plain_profile_repeats,mq_scan_us,mq_service_us,mq_new_kv_exposed_us,mq_overlap_window_us,mq_speedup_over_GPU,mq_profile_repeats
LLAMA-7B,1,32,32,1,8,0,8,300,0.3299284009546539,0.0030548926014319806,0.21845333333333336,0.21845333333333336,65536,131072,0,0.0,0.4369066666666667,0.4369066666666667,0.7074800000000001,1.5843482259347657,0.4369066666666667,0.0,0.27576429191183127,"{""scan-N8-H7-Q1"": 8}",0.6021270000000001,1.4789952259347656,0.4369066666666667,0.0,0.29540775994765617,"{""scan-N8-H7-Q8"": 1}"
LLAMA-7B,1,32,32,1,32,0,32,300,1.5526042397866067,0.04887828162291169,0.8738133333333334,0.8738133333333334,262144,524288,0,0.0,1.7476266666666669,1.7476266666666669,3.223647999999998,6.767779614956244,1.7476266666666669,0.0,0.2582274787442182,"{""scan-N32-H7-Q1"": 32}",2.482332,6.026463614956246,1.7476266666666669,0.0,0.28999207135831273,"{""scan-N32-H7-Q8"": 4}"
LLAMA-7B,1,32,32,1,128,0,128,300,9.936667134634284,0.782052505966587,3.4952533333333338,3.4952533333333338,1048576,2097152,0,0.0,6.9905066666666675,9.936667134634284,26.871936,41.635001839299925,6.9905066666666675,0.0,0.23866138334729,"{""scan-N128-H7-Q1"": 128}",11.701103999999996,26.464169839299917,6.9905066666666675,0.0,0.3754762456171249,"{""scan-N128-H7-Q8"": 16}"
LLAMA-7B,1,32,32,1,512,0,512,300,99.36667134634283,12.512840095465393,13.981013333333335,13.981013333333335,4194304,8388608,0,0.0,27.96202666666667,99.36667134634283,366.1670400000002,434.6039334287989,27.96202666666667,0.0,0.22863730330830534,"{""scan-N512-H7-Q1"": 512}",94.44550400000001,162.88239742879875,27.96202666666667,0.0,0.6100516256815244,"{""scan-N512-H7-Q8"": 64}"
LLAMA-7B,1,32,32,1,1024,0,1024,300,391.28658800030246,50.05136038186157,27.96202666666667,27.96202666666667,8388608,16777216,0,0.0,55.92405333333334,391.28658800030246,1488.291840000014,1650.1913070485423,55.92405333333334,0.0,0.2371158945808168,"{""scan-N1024-H7-Q1"": 1024}",331.8142720000005,493.7137390485288,55.92405333333334,0.0,0.7925373694367488,"{""scan-N1024-H7-Q8"": 128}"
LLAMA-7B,1,32,32,1,8,1024,1032,300,22.68742945388179,0.39408114558472557,0.21845333333333336,0.21845333333333336,65536,131072,16777216,55.92405333333334,0.4369066666666667,78.61148278721512,12.365520000000002,13.196507812251395,0,0.736702,5.9569913423787515,"{""scan-N1032-H7-Q1"": 8}",2.8406860000000003,3.6716738122513926,0,1.0996700000000001,21.410257775325697,"{""scan-N1032-H7-Q8"": 1}"
LLAMA-7B,1,32,32,1,32,1024,1056,300,31.36260564368946,1.612983293556086,0.8738133333333334,0.8738133333333334,262144,524288,16777216,55.92405333333334,1.7476266666666669,87.2866589770228,50.05267200000002,54.42420662688944,1.010924666666667,0.736702,1.6038205127256178,"{""scan-N1056-H7-Q1"": 32}",11.405808,15.41437462688942,0.6479566666666667,1.0996700000000001,5.662679225711605,"{""scan-N1056-H7-Q8"": 4}"
LLAMA-7B,1,32,32,1,128,1024,1152,300,69.55666994243998,7.038472553699283,3.4952533333333338,3.4952533333333338,1048576,2097152,16777216,55.92405333333334,6.9905066666666675,125.48072327577333,214.38489599999966,234.66767988703228,6.253804666666667,0.736702,0.5347166824855432,"{""scan-N1152-H7-Q1"": 128}",47.23505599999999,67.15487188703261,5.890836666666667,1.0996700000000001,1.868527476113066,"{""scan-N1152-H7-Q8"": 16}"
LLAMA-7B,1,32,32,1,512,1024,1536,300,293.4649410002268,37.53852028639618,13.981013333333335,13.981013333333335,4194304,8388608,16777216,55.92405333333334,27.96202666666667,349.38899433356016,1122.1247999999932,1214.8506716197226,27.22532466666667,0.736702,0.28759830528613917,"{""scan-N1536-H7-Q1"": 512}",239.5834880000002,331.94639161972975,26.86235666666667,1.0996700000000001,1.0525464447096995,"{""scan-N1536-H7-Q8"": 64}"
LLAMA-7B,1,32,32,1,1024,1024,2048,300,782.5731760006049,100.10272076372314,27.96202666666667,27.96202666666667,8388608,16777216,16777216,55.92405333333334,55.92405333333334,838.4972293339382,3000.2073599999235,3211.421485430313,55.18735133333334,0.736702,0.26109846780874485,"{""scan-N2048-H7-Q1"": 1024}",684.102400000002,894.9535574303918,54.82438333333334,1.0996700000000001,0.9369170303556845,"{""scan-N2048-H7-Q8"": 128}"
LLAMA-7B,1,32,32,1,8,4096,4104,300,89.75993261266322,1.567159904534606,0.21845333333333336,0.21845333333333336,65536,131072,67108864,223.69621333333336,0.4369066666666667,313.4561459459966,50.49561599999999,52.49968257120126,0,2.877598,5.970629356108587,"{""scan-N4104-H7-Q1"": 8}",10.85828,12.862346571201273,0,3.8127020000000003,24.370059087649157,"{""scan-N4104-H7-Q8"": 1}"
