case_id,layer_class,q,n,batch,GPU_us,PIM_us,estimated_PIM_us,choice,oracle,regret_us,Q_variant_bytes,descriptor_bytes,pim_scan_us,softmax_us,KV_write_us,KV_exposed_us,first_private_K_us,query_and_descriptor_input_us,output_us
LLAMA-7B--KVChime-CB-3,0,3420,3420,1,4364.628265272843,4769.729159657094,4687.45883313759,GPU,GPU,0.0,28016640,13712,3838.0228629999738,558.3007159904535,186.77759999999998,186.58227399999998,0.195326,93.43450666666666,93.38879999999999
LLAMA-7B--KVChime-CB-3,1,595,3420,1,759.3432215898661,986.6468469164685,973.6445879073533,GPU,GPU,0.0,4874240,13712,670.3926680000006,97.13126491646779,186.77759999999998,186.58227399999998,0.195326,16.293173333333336,16.247466666666668
LLAMA-7B--KVChime-CB-3,2,595,3420,1,913.6258882565328,1166.6777609164665,984.4829883848925,GPU,GPU,0.0,29245440,2604,928.4798339999985,97.13126491646779,32.494933333333336,27.325715333333335,5.169218,97.49348,16.247466666666668
LLAMA-7B--KVChime-CB-2,0,3458,3458,1,4462.158847496841,4862.648378248994,4790.433093706688,GPU,GPU,0.0,28327936,13864,3914.315352999988,570.7763245823389,188.85290666666668,188.6575806666667,0.195326,94.47266666666667,94.42645333333334
LLAMA-7B--KVChime-CB-2,1,604,3458,1,779.3938530619123,1006.6229605194908,994.9966212427983,GPU,GPU,0.0,4947968,13864,685.2366749999999,99.69603818615751,188.85290666666668,188.6575806666667,0.195326,16.53944,16.49322666666667
LLAMA-7B--KVChime-CB-2,2,604,3458,1,935.2603063952456,1203.3033981861586,1007.7756225491131,GPU,GPU,0.0,29687808,2640,960.4933040000011,99.69603818615751,32.98645333333334,27.652669333333336,5.3337840000000005,98.96816,16.49322666666667
LLAMA-7B--KVChime-EPIC-long-4000,2,106,4028,1,423.8993813018859,236.52304912887826,191.61420171514132,PIM,PIM,0.0,6078464,680,192.98439499999998,20.38033412887828,5.789013333333334,0,6.393466,20.26381333333333,2.894506666666667
LLAMA-7B--KVChime-EPIC-long-8000,2,186,8033,1,1041.1484175693763,756.1403149435164,638.0128446817976,PIM,PIM,0.0,18284544,1160,618.7896920000001,71.31923627684965,10.15808,0,12.647743,60.95234666666667,5.07904
LLAMA-7B--KVChime-EPIC-long-16000,2,346,16045,1,2928.9984109340276,2720.207202114558,2305.754456744767,PIM,PIM,0.0,62357504,2120,2237.9022739999996,264.9914081145585,18.896213333333332,0,23.759024,207.86541333333332,9.448106666666666
LLAMA-7B--KVChime-EPIC-shared-readers-B1,2,188,8035,1,1046.2119694435864,759.9721269459028,639.7401521366581,PIM,PIM,0.0,18481152,1168,621.126683,72.10405727923627,10.267306666666666,0,12.647743,61.60773333333333,5.133653333333333
LLAMA-7B--KVChime-EPIC-shared-readers-B2,2,188,8035,2,1474.7627961102532,1527.831124225138,1264.3936387225351,PIM,GPU,53.06832811488471,36962304,2336,1242.253365999999,144.20811455847254,20.534613333333333,7.8868703333333325,12.647743,123.21546666666666,10.267306666666666
LLAMA-7B--KVChime-EPIC-shared-readers-B4,2,188,8035,4,2949.5255922205065,3068.309991450275,2528.7872774450702,PIM,GPU,118.7843992297685,73924608,4672,2484.506731999997,288.4162291169451,41.069226666666665,28.421483666666667,12.647743,246.43093333333331,20.534613333333333
GPT-13B--KVChime-CB-3,0,3420,3420,1,4364.628265272843,5004.663316654778,4917.086611147409,GPU,GPU,0.0,35020800,13712,3839.9930410000447,697.8758949880669,233.472,233.276674,0.195326,116.78170666666666,116.736
GPT-13B--KVChime-CB-3,1,595,3420,1,759.3432215898661,1066.0892324789181,1052.161726663,GPU,GPU,0.0,6092800,13712,670.734104,121.41408114558473,233.472,233.276674,0.195326,20.35504,20.30933333333333
GPT-13B--KVChime-CB-3,2,595,3420,1,952.1965549231994,1227.5173771455834,1045.8564649970253,GPU,GPU,0.0,36556800,2604,928.4798339999985,121.41408114558473,40.61866666666666,35.44944866666666,5.169218,121.86468,20.30933333333333
