case_id,variant,layer_class,profile,cycles,scan_us,nCCDAB,mac_commands,represented_column_MACs,dram_read_bytes_per_attacc,memory_energy_pJ_per_attacc,query_movement_commands,softmax_commands,trace_sha256,path,first_private_k_us,logical_tokens,object_tokens,scan_kind,Q_variant_bytes,descriptor_bytes
LLAMA-7B--KVChime-CB-3,F3,0,shared-b1d0ec75ea31594fcb19,6888,5.2968720000000005,6,5992,5992,61358080,270739302.40000004,1736,7,02793b765db8dd6c5e792f955831bc94f8887edf79e07bc0e2d7b03a3d8020f4,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-b1d0ec75ea31594fcb19,0.02307,3421,3421,shared_single_query,8192,13716
LLAMA-7B--KVChime-CB-3,F4,0,shared-b1d0ec75ea31594fcb19,6888,5.2968720000000005,6,5992,5992,61358080,270739302.40000004,1736,7,02793b765db8dd6c5e792f955831bc94f8887edf79e07bc0e2d7b03a3d8020f4,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-b1d0ec75ea31594fcb19,0.02307,3421,3421,shared_single_query,8192,13716
LLAMA-7B--KVChime-CB-3,F3,2,shared-06e214be7079585765c3,8083,6.215827,6,7028,7028,71966720,318120857.6,3304,7,5870dbd195b82c5d0fb3a02d6ee0d699b00cf244dcb4ad6763c1473461c23efb,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-06e214be7079585765c3,2.482332,3421,3958,shared_single_query,49152,2608
LLAMA-7B--KVChime-CB-3,F4,2,shared-06e214be7079585765c3,8083,6.215827,6,7028,7028,71966720,318120857.6,3304,7,5870dbd195b82c5d0fb3a02d6ee0d699b00cf244dcb4ad6763c1473461c23efb,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-06e214be7079585765c3,2.482332,3421,3958,shared_single_query,49152,2608
LLAMA-7B--KVChime-CB-2,F3,0,shared-963d689c342ed0ae5d15,6960,5.35224,6,6076,6076,62218240,274524006.4,1736,7,f8499b646676d26516c5645a2f92db1a99849464dced9ac0ec6389f4c844a0dd,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-963d689c342ed0ae5d15,0.02307,3459,3459,shared_single_query,8192,13868
LLAMA-7B--KVChime-CB-2,F4,0,shared-963d689c342ed0ae5d15,6960,5.35224,6,6076,6076,62218240,274524006.4,1736,7,f8499b646676d26516c5645a2f92db1a99849464dced9ac0ec6389f4c844a0dd,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-963d689c342ed0ae5d15,0.02307,3459,3459,shared_single_query,8192,13868
LLAMA-7B--KVChime-CB-2,F3,2,shared-bbfc553d874c898ccb2e,8155,6.271195,6,7112,7112,72826880,321905561.6,3304,7,a881c067419f78af8e681bbc3c19a71eff623b90075687da1b4a861e6fa8ae8e,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-bbfc553d874c898ccb2e,2.5100160000000002,3459,4002,shared_single_query,49152,2644
LLAMA-7B--KVChime-CB-2,F4,2,shared-bbfc553d874c898ccb2e,8155,6.271195,6,7112,7112,72826880,321905561.6,3304,7,a881c067419f78af8e681bbc3c19a71eff623b90075687da1b4a861e6fa8ae8e,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-bbfc553d874c898ccb2e,2.5100160000000002,3459,4002,shared_single_query,49152,2644
LLAMA-7B--KVChime-EPIC-long-4000,F3,2,shared-da665dbca68c592988a1,8821,6.783349,6,7336,7336,75120640,332270848.0,3920,7,45dc2b13292b8bdb5e4257ed7f8e7a01c55fa6b3fc0ab3bb446b5e74f99b0b0a,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-da665dbca68c592988a1,3.1006080000000003,4029,4125,shared_single_query,57344,684
LLAMA-7B--KVChime-EPIC-long-4000,F4,2,shared-da665dbca68c592988a1,8821,6.783349,6,7336,7336,75120640,332270848.0,3920,7,45dc2b13292b8bdb5e4257ed7f8e7a01c55fa6b3fc0ab3bb446b5e74f99b0b0a,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-da665dbca68c592988a1,3.1006080000000003,4029,4125,shared_single_query,57344,684
