model,workload,baseline,variant,metric,reduction_percent
LLAMA-7B,KVChime-CB-3,F0,F1,TTFT_ms,77.91033437612668
LLAMA-7B,KVChime-CB-3,F0,F1,TBT_ms,2.1316282072803006e-11
LLAMA-7B,KVChime-CB-3,F0,F1,E2E_ms,64.65342899791223
LLAMA-7B,KVChime-CB-3,F0,F1,TTFT_energy_mJ,77.91774527683725
LLAMA-7B,KVChime-CB-3,F0,F1,TBT_energy_mJ,2.063904602778166e-11
LLAMA-7B,KVChime-CB-3,F0,F1,E2E_energy_mJ,66.72897830753311
LLAMA-7B,KVChime-CB-3,F0,F1,simultaneous_peak_KV_GiB,-196.99620880723242
LLAMA-7B,KVChime-CB-3,F1,F2,TTFT_ms,-8.127453557680564
LLAMA-7B,KVChime-CB-3,F1,F2,TBT_ms,26.13637764734934
LLAMA-7B,KVChime-CB-3,F1,F2,E2E_ms,8.366916018035464
LLAMA-7B,KVChime-CB-3,F1,F2,TTFT_energy_mJ,-0.32403143167751836
LLAMA-7B,KVChime-CB-3,F1,F2,TBT_energy_mJ,10.441556031345723
LLAMA-7B,KVChime-CB-3,F1,F2,E2E_energy_mJ,4.322377699972824
LLAMA-7B,KVChime-CB-3,F1,F2,simultaneous_peak_KV_GiB,-0.9610663786331575
LLAMA-7B,KVChime-CB-3,F2,F3,TTFT_ms,7.5165494888354
LLAMA-7B,KVChime-CB-3,F2,F3,TBT_ms,-0.5359623331748109
LLAMA-7B,KVChime-CB-3,F2,F3,E2E_ms,4.3918412739696215
LLAMA-7B,KVChime-CB-3,F2,F3,TTFT_energy_mJ,0.25011848335502185
LLAMA-7B,KVChime-CB-3,F2,F3,TBT_energy_mJ,-0.32524624230356736
LLAMA-7B,KVChime-CB-3,F2,F3,E2E_energy_mJ,0.01767407005194288
LLAMA-7B,KVChime-CB-3,F2,F3,simultaneous_peak_KV_GiB,25.75831256458574
LLAMA-7B,KVChime-CB-3,F3,F4,TTFT_ms,0.0
LLAMA-7B,KVChime-CB-3,F3,F4,TBT_ms,0.0
LLAMA-7B,KVChime-CB-3,F3,F4,E2E_ms,0.0
LLAMA-7B,KVChime-CB-3,F3,F4,TTFT_energy_mJ,0.0
LLAMA-7B,KVChime-CB-3,F3,F4,TBT_energy_mJ,0.0
LLAMA-7B,KVChime-CB-3,F3,F4,E2E_energy_mJ,0.0
LLAMA-7B,KVChime-CB-3,F3,F4,simultaneous_peak_KV_GiB,0.0
LLAMA-7B,KVChime-CB-3,F0,F4,TTFT_ms,77.91033437612668
LLAMA-7B,KVChime-CB-3,F0,F4,TBT_ms,25.740496453636474
LLAMA-7B,KVChime-CB-3,F0,F4,E2E_ms,69.03332710265579
LLAMA-7B,KVChime-CB-3,F0,F4,TTFT_energy_mJ,77.9016025997095
LLAMA-7B,KVChime-CB-3,F0,F4,TBT_energy_mJ,10.150270557690666
LLAMA-7B,KVChime-CB-3,F0,F4,E2E_energy_mJ,68.1727037027384
LLAMA-7B,KVChime-CB-3,F0,F4,simultaneous_peak_KV_GiB,-122.61410032079323
LLAMA-7B,KVChime-CB-2,F0,F1,TTFT_ms,77.69935292354198
LLAMA-7B,KVChime-CB-2,F0,F1,TBT_ms,3.111955138024314e-11
LLAMA-7B,KVChime-CB-2,F0,F1,E2E_ms,64.52935864144983
LLAMA-7B,KVChime-CB-2,F0,F1,TTFT_energy_mJ,77.92713751278055
LLAMA-7B,KVChime-CB-2,F0,F1,TBT_energy_mJ,3.5216274341109965e-11
LLAMA-7B,KVChime-CB-2,F0,F1,E2E_energy_mJ,66.85453958952598
LLAMA-7B,KVChime-CB-2,F0,F1,simultaneous_peak_KV_GiB,-194.83703490049032
LLAMA-7B,KVChime-CB-2,F1,F2,TTFT_ms,-8.076672225408599
LLAMA-7B,KVChime-CB-2,F1,F2,TBT_ms,26.349320730882454
LLAMA-7B,KVChime-CB-2,F1,F2,E2E_ms,8.374074602104564
LLAMA-7B,KVChime-CB-2,F1,F2,TTFT_energy_mJ,-0.32331909592440145
LLAMA-7B,KVChime-CB-2,F1,F2,TBT_energy_mJ,10.54257121483576
LLAMA-7B,KVChime-CB-2,F1,F2,E2E_energy_mJ,4.334708602619219
LLAMA-7B,KVChime-CB-2,F1,F2,simultaneous_peak_KV_GiB,-0.9691107415378486
LLAMA-7B,KVChime-CB-2,F2,F3,TTFT_ms,7.4730948493340055
LLAMA-7B,KVChime-CB-2,F2,F3,TBT_ms,-0.5468792050934201
LLAMA-7B,KVChime-CB-2,F2,F3,E2E_ms,4.3925290525993805
LLAMA-7B,KVChime-CB-2,F2,F3,TTFT_energy_mJ,0.24936168278606452
LLAMA-7B,KVChime-CB-2,F2,F3,TBT_energy_mJ,-0.33484303177058194
LLAMA-7B,KVChime-CB-2,F2,F3,E2E_energy_mJ,0.015174123596306544
LLAMA-7B,KVChime-CB-2,F2,F3,simultaneous_peak_KV_GiB,25.92392982796102
LLAMA-7B,KVChime-CB-2,F3,F4,TTFT_ms,0.0
LLAMA-7B,KVChime-CB-2,F3,F4,TBT_ms,0.0
LLAMA-7B,KVChime-CB-2,F3,F4,E2E_ms,0.0
LLAMA-7B,KVChime-CB-2,F3,F4,TTFT_energy_mJ,0.0
LLAMA-7B,KVChime-CB-2,F3,F4,TBT_energy_mJ,0.0
LLAMA-7B,KVChime-CB-2,F3,F4,E2E_energy_mJ,0.0
LLAMA-7B,KVChime-CB-2,F3,F4,simultaneous_peak_KV_GiB,0.0
LLAMA-7B,KVChime-CB-2,F0,F4,TTFT_ms,77.69935292354198
LLAMA-7B,KVChime-CB-2,F0,F4,TBT_ms,25.946540481572644
LLAMA-7B,KVChime-CB-2,F0,F4,E2E_ms,68.92728187921948
LLAMA-7B,KVChime-CB-2,F0,F4,TTFT_energy_mJ,77.91099095358796
LLAMA-7B,KVChime-CB-2,F0,F4,TBT_energy_mJ,10.243029248179115
LLAMA-7B,KVChime-CB-2,F0,F4,E2E_energy_mJ,68.29611023084058
LLAMA-7B,KVChime-CB-2,F0,F4,simultaneous_peak_KV_GiB,-120.52026247476206
LLAMA-7B,KVChime-EPIC-long-4000,F0,F1,TTFT_ms,94.95811149801673
LLAMA-7B,KVChime-EPIC-long-4000,F0,F1,TBT_ms,1.7985612998927536e-11
LLAMA-7B,KVChime-EPIC-long-4000,F0,F1,E2E_ms,73.84687888959598
LLAMA-7B,KVChime-EPIC-long-4000,F0,F1,TTFT_energy_mJ,95.7991630587942
LLAMA-7B,KVChime-EPIC-long-4000,F0,F1,TBT_energy_mJ,8.057998712729386e-11
LLAMA-7B,KVChime-EPIC-long-4000,F0,F1,E2E_energy_mJ,77.64775520026187
LLAMA-7B,KVChime-EPIC-long-4000,F0,F1,simultaneous_peak_KV_GiB,-99.62898837496907
LLAMA-7B,KVChime-EPIC-long-4000,F1,F2,TTFT_ms,-33.386533394727344
LLAMA-7B,KVChime-EPIC-long-4000,F1,F2,TBT_ms,29.35091139349121
LLAMA-7B,KVChime-EPIC-long-4000,F1,F2,E2E_ms,19.945092447283763
LLAMA-7B,KVChime-EPIC-long-4000,F1,F2,TTFT_energy_mJ,-1.6422047725163536
LLAMA-7B,KVChime-EPIC-long-4000,F1,F2,TBT_energy_mJ,12.041750515097016
LLAMA-7B,KVChime-EPIC-long-4000,F1,F2,E2E_energy_mJ,9.957290755316095
LLAMA-7B,KVChime-EPIC-long-4000,F1,F2,simultaneous_peak_KV_GiB,-1.3737455086110684
LLAMA-7B,KVChime-EPIC-long-4000,F2,F3,TTFT_ms,25.029913099193777
LLAMA-7B,KVChime-EPIC-long-4000,F2,F3,TBT_ms,-0.41983080379992543
LLAMA-7B,KVChime-EPIC-long-4000,F2,F3,E2E_ms,5.93753541795291
LLAMA-7B,KVChime-EPIC-long-4000,F2,F3,TTFT_energy_mJ,1.5731544401547781
LLAMA-7B,KVChime-EPIC-long-4000,F2,F3,TBT_energy_mJ,-0.10151250348298113
LLAMA-7B,KVChime-EPIC-long-4000,F2,F3,E2E_energy_mJ,0.18644993340931615
LLAMA-7B,KVChime-EPIC-long-4000,F2,F3,simultaneous_peak_KV_GiB,47.93522267206478
LLAMA-7B,KVChime-EPIC-long-4000,F3,F4,TTFT_ms,28.437925661766094
LLAMA-7B,KVChime-EPIC-long-4000,F3,F4,TBT_ms,2.7755575615628914e-13
LLAMA-7B,KVChime-EPIC-long-4000,F3,F4,E2E_ms,5.661915567721854
LLAMA-7B,KVChime-EPIC-long-4000,F3,F4,TTFT_energy_mJ,7.535175025756158
LLAMA-7B,KVChime-EPIC-long-4000,F3,F4,TBT_energy_mJ,-1.1102230246251565e-13
LLAMA-7B,KVChime-EPIC-long-4000,F3,F4,E2E_energy_mJ,1.2776879566270716
LLAMA-7B,KVChime-EPIC-long-4000,F3,F4,simultaneous_peak_KV_GiB,2.6020423134481607
LLAMA-7B,KVChime-EPIC-long-4000,F0,F4,TTFT_ms,96.39192000215986
LLAMA-7B,KVChime-EPIC-long-4000,F0,F4,TBT_ms,29.054304756930136
LLAMA-7B,KVChime-EPIC-long-4000,F0,F4,E2E_ms,81.42131837253139
LLAMA-7B,KVChime-EPIC-long-4000,F0,F4,TTFT_energy_mJ,96.11402484057345
LLAMA-7B,KVChime-EPIC-long-4000,F0,F4,TBT_energy_mJ,11.952461894095933
LLAMA-7B,KVChime-EPIC-long-4000,F0,F4,E2E_energy_mJ,80.16763443091209
LLAMA-7B,KVChime-EPIC-long-4000,F0,F4,simultaneous_peak_KV_GiB,-2.6225884244373
LLAMA-7B,KVChime-EPIC-long-8000,F0,F1,TTFT_ms,96.33910258860223
LLAMA-7B,KVChime-EPIC-long-8000,F0,F1,TBT_ms,-5.282441151166495e-11
LLAMA-7B,KVChime-EPIC-long-8000,F0,F1,E2E_ms,85.33772728150622
LLAMA-7B,KVChime-EPIC-long-8000,F0,F1,TTFT_energy_mJ,96.93803382644994
