model,GPUs,gqa_size,q,cached,n,fixed_GPU_us,fixed_PIM_us,algorithm_us,oracle_us,algorithm_choice,oracle_choice,estimated_PIM_us,regret_percent
GPT-13B,1,1,8,0,8,0.5461333333333334,1.5013482824184567,0.5461333333333334,0.5461333333333334,GPU,GPU,1.0960852824184566,0.0
GPT-13B,1,1,32,0,32,2.1845333333333334,6.711018518695306,2.1845333333333334,2.1845333333333334,GPU,GPU,4.569449643695309,0.0
GPT-13B,1,1,64,0,64,4.369066666666667,14.034854741447894,4.369066666666667,4.369066666666667,GPU,GPU,9.921089241447897,0.0
GPT-13B,1,1,128,0,128,9.936667134634284,29.935002299124896,9.936667134634284,9.936667134634284,GPU,GPU,22.97093829912491,0.0
GPT-13B,1,1,256,0,256,29.81000140390286,67.48343786316627,29.81000140390286,29.81000140390286,GPU,GPU,58.45691586316628,0.0
GPT-13B,1,1,512,0,512,99.36667134634286,179.69786278599827,99.36667134634286,99.36667134634286,GPU,GPU,166.97398878599842,0.0
GPT-13B,1,1,768,0,768,220.0987057501701,334.2332287684964,220.0987057501701,220.0987057501701,GPU,GPU,325.5512187684965,0.0
GPT-13B,1,1,1024,0,1024,391.28658800030246,534.3870078106596,391.28658800030246,391.28658800030246,GPU,GPU,534.1886058106603,0.0
GPT-13B,1,1,8,1024,1032,92.59249612054846,4.22931576531424,4.22931576531424,4.22931576531424,PIM,PIM,4.177167098647574,0.0
GPT-13B,1,1,32,1024,1056,101.26767231035613,17.84031978361178,17.84031978361178,17.84031978361178,PIM,PIM,16.893776908611777,0.0
GPT-13B,1,1,64,1024,1088,113.37798538069165,37.47925527128083,37.47925527128083,37.47925527128083,PIM,PIM,34.569743771280834,0.0
GPT-13B,1,1,128,1024,1152,139.46173660910665,78.00960135879077,78.00960135879077,78.00960135879077,PIM,PIM,72.26824735879079,0.0
GPT-13B,1,1,256,1024,1280,199.08173941691237,164.81843398249808,164.81843398249808,164.81843398249808,PIM,PIM,157.05153398249806,0.0
GPT-13B,1,1,512,1024,1536,363.37000766689346,397.5039890246618,363.37000766689346,363.37000766689346,GPU,GPU,364.1632250246619,0.0
GPT-13B,1,1,768,1024,1792,583.4687134170636,663.7500371264925,583.4687134170636,583.4687134170636,GPU,GPU,621.3350731264917,0.0
GPT-13B,1,1,1024,1024,2048,852.4782426672716,936.143266287988,852.4782426672716,852.4782426672716,GPU,GPU,928.5670782879873,0.0
GPT-13B,1,1,8,4096,4104,369.3801992793299,13.817073214001592,13.817073214001592,13.817073214001592,PIM,PIM,13.563446547334923,0.0
GPT-13B,1,1,32,4096,4128,400.4128765220647,55.37563624502785,55.37563624502785,55.37563624502785,PIM,PIM,54.43889470336117,0.0
GPT-13B,1,1,64,4096,4160,442.3331909963031,111.27295686077964,111.27295686077964,111.27295686077964,PIM,PIM,109.65997936077963,0.0
GPT-13B,1,1,128,4096,4224,528.0369450325238,228.48075453778844,228.48075453778844,228.48075453778844,PIM,PIM,222.44871853778838,0.0
GPT-13B,1,1,256,4096,4352,706.8969534559409,468.64449034049346,468.64449034049346,468.64449034049346,PIM,PIM,457.41247634049324,0.0
GPT-13B,1,1,512,4096,4608,1160.0150896673472,1008.0398517406529,1008.0398517406529,1008.0398517406529,PIM,PIM,964.8851097406523,0.0
GPT-13B,1,1,768,4096,4864,1673.578736417744,1554.7881862004758,1554.7881862004758,1554.7881862004758,PIM,PIM,1522.4179002004769,0.0
GPT-13B,1,1,1024,4096,5120,2236.053206668179,2190.8095257199693,2190.8095257199693,2190.8095257199693,PIM,PIM,2130.0108477199683,0.0
LLAMA-65B,4,1,8,0,8,0.3299284009546539,0.8436971129673827,0.3299284009546539,0.3299284009546539,GPU,GPU,0.43843411296738266,0.0
LLAMA-65B,4,1,32,0,32,1.5526042397866067,4.052919807478122,1.5526042397866067,1.5526042397866067,GPU,GPU,1.909364349144789,0.0
LLAMA-65B,4,1,64,0,64,3.7262501754878565,8.645339896579156,3.7262501754878565,3.7262501754878565,GPU,GPU,4.527729396579156,0.0
LLAMA-65B,4,1,128,0,128,9.936667134634284,18.86270291964996,9.936667134634284,9.936667134634284,GPU,GPU,11.891461586316627,0.0
LLAMA-65B,4,1,256,0,256,29.810001403902852,44.165760345266506,29.810001403902852,29.810001403902852,GPU,GPU,35.12693434526651,0.0
LLAMA-65B,4,1,512,0,512,99.36667134634283,128.37019271439922,99.36667134634283,99.36667134634283,GPU,GPU,115.62991338106605,0.0
LLAMA-65B,4,1,768,0,768,220.09870575017013,250.20325110739856,220.09870575017013,220.09870575017013,GPU,GPU,241.50893710739854,0.0
LLAMA-65B,4,1,1024,0,1024,391.28658800030246,412.6671115242641,391.28658800030246,391.28658800030246,GPU,GPU,412.7640055242641,0.0
LLAMA-65B,4,1,8,1024,1032,50.64945612054846,3.6037679061256958,3.6037679061256958,3.6037679061256958,PIM,PIM,3.226246239459029,0.0
LLAMA-65B,4,1,32,1024,1056,59.32463231035612,14.507224980111374,14.507224980111374,14.507224980111374,PIM,PIM,13.060612855111376,0.0
LLAMA-65B,4,1,64,1024,1088,71.43494538069166,29.725126908512333,29.725126908512333,29.725126908512333,PIM,PIM,26.830226408512328,0.0
LLAMA-65B,4,1,128,1024,1152,97.51869660910666,62.20807494351632,62.20807494351632,62.20807494351632,PIM,PIM,56.49645561018297,0.0
LLAMA-65B,4,1,256,1024,1280,157.13869941691237,132.0423023929993,132.0423023929993,132.0423023929993,PIM,PIM,124.3369223929992,0.0
LLAMA-65B,4,1,512,1024,1536,321.42696766689346,327.0625468098649,327.0625468098649,321.42696766689346,PIM,GPU,294.04988947653146,1.7533000369812868
LLAMA-65B,4,1,768,1024,1792,541.5256734170637,551.344697250596,551.344697250596,541.5256734170637,PIM,GPU,509.13890125059663,1.8132148327471898
LLAMA-65B,4,1,1024,1024,2048,810.5352026672716,777.1801457151956,777.1801457151956,777.1801457151956,PIM,PIM,769.6039577151951,0.0
LLAMA-65B,4,1,8,4096,4104,201.6080392793299,12.260193285600636,12.260193285600636,12.260193285600636,PIM,PIM,11.734254618933969,0.0
