case_id,time_ms,energy_mJ,shared_pool_GiB
LLAMA-7B--KVChime-CB-3,470.31177078706713,47314.52592692224,3.29833984375
LLAMA-7B--KVChime-CB-2,470.31177078706713,47314.52592692224,3.29833984375
LLAMA-7B--KVChime-EPIC-long-4000,290.7470647262749,28857.590346465284,1.966796875
LLAMA-7B--KVChime-EPIC-long-8000,569.196770926539,56315.217717995525,3.92236328125
LLAMA-7B--KVChime-EPIC-long-16000,1123.8192148482417,111269.38300345342,7.83447265625
LLAMA-7B--KVChime-EPIC-shared-readers-B1,569.2100043998635,56327.33327504384,3.92333984375
LLAMA-7B--KVChime-EPIC-shared-readers-B2,575.246539535328,56817.452989122554,3.92919921875
LLAMA-7B--KVChime-EPIC-shared-readers-B4,587.3196098062574,57797.69241727999,3.94091796875
GPT-13B--KVChime-CB-3,818.3623243358736,90192.40636189759,5.153656005859375
GPT-13B--KVChime-CB-2,818.3623243358736,90192.40636189759,5.153656005859375
GPT-13B--KVChime-EPIC-long-4000,513.7238135156143,55112.42320396801,3.0731201171875
GPT-13B--KVChime-EPIC-long-8000,1003.1296967374506,107507.67875351998,6.128692626953125
GPT-13B--KVChime-EPIC-long-16000,1986.2921079237065,212377.8300658464,12.241363525390625
GPT-13B--KVChime-EPIC-shared-readers-B1,1003.1485869062576,107530.0986218464,6.130218505859375
GPT-13B--KVChime-EPIC-shared-readers-B2,1013.3238028473625,108479.92113945278,6.139373779296875
GPT-13B--KVChime-EPIC-shared-readers-B4,1033.6742347295724,110379.5661746656,6.157684326171875
LLAMA-65B--KVChime-CB-3,1296.6274346662653,460627.9960571733,16.49169921875
LLAMA-65B--KVChime-CB-2,1296.6274346662653,460627.9960571733,16.49169921875
LLAMA-65B--KVChime-EPIC-long-4000,798.914479345029,282733.3495629141,9.833984375
LLAMA-65B--KVChime-EPIC-long-8000,1555.4420243076788,551390.4421260116,19.61181640625
LLAMA-65B--KVChime-EPIC-long-16000,3073.208311204918,1088657.558042948,39.17236328125
LLAMA-65B--KVChime-EPIC-shared-readers-B1,1555.5103153735893,551502.9530691754,19.61669921875
LLAMA-65B--KVChime-EPIC-shared-readers-B2,1573.721697507848,556352.5036976297,19.64599609375
LLAMA-65B--KVChime-EPIC-shared-readers-B4,1610.1444617763655,566051.6049545386,19.70458984375
LLAMA3.1-8B--KVChime-CB-3,600.6458140906589,51000.34410243072,0.8245849609375
LLAMA3.1-8B--KVChime-CB-2,600.6458140906589,51000.34410243072,0.8245849609375
LLAMA3.1-8B--KVChime-EPIC-long-4000,382.587368146247,31092.188973055996,0.49169921875
LLAMA3.1-8B--KVChime-EPIC-long-8000,752.8420341071783,60630.35465645057,0.9805908203125
LLAMA3.1-8B--KVChime-EPIC-long-16000,1494.297020791236,119808.73100104705,1.9586181640625
LLAMA3.1-8B--KVChime-EPIC-shared-readers-B1,752.8574374252189,60644.675948902404,0.9808349609375
LLAMA3.1-8B--KVChime-EPIC-shared-readers-B2,759.2561864644464,61182.818713303044,0.9822998046875
LLAMA3.1-8B--KVChime-EPIC-shared-readers-B4,772.0536845429012,62259.10424210433,0.9852294921875
