case_id,source,workload_id,model,GPUs,batch,variant,gqa_size,Q_heads,KV_heads,prompt_tokens,partial_Q,output_tokens,TTFT_ms,TBT_ms,E2E_ms,TTFT_energy_mJ,TBT_energy_mJ,E2E_energy_mJ,decode_scan_ms_per_token,prefill_scan_ms,GPU_peak_KV_GiB,remote_peak_KV_GiB,simultaneous_peak_KV_GiB,remote_pool_GiB,GPU_weights_GiB,GPU_peak_total_per_device_GiB,warmup_ms,warmup_energy_mJ
LLAMA-7B--KVChime-CB-3,CacheBlend,KVChime-CB-3,LLAMA-7B,1,1,F2,1,32,32,3420,595,10,79.51631541677123,5.6023445694145435,129.93741654150213,5773.606734810879,434.8411056969795,9687.176686083694,0.16982801066666597,0.0,0.05218505859375,4.97265625,5.02044677734375,3.29833984375,12.0,12.052696019411087,470.31177078706713,0.5827461119999999
LLAMA-7B--KVChime-CB-3,CacheBlend,KVChime-CB-3,LLAMA-7B,1,1,F3,1,32,32,3420,595,10,73.53943221677117,5.63237102608127,124.2307714515026,5759.165877210887,436.2554100532503,9685.46456769014,0.19708906066666634,0.0,0.05218505859375,3.679473876953125,3.727264404296875,3.29833984375,12.0,12.052696019411087,470.31177078706713,0.5827461119999999
LLAMA-7B--KVChime-CB-3,CacheBlend,KVChime-CB-3,LLAMA-7B,1,1,F4,1,32,32,3420,595,10,73.53943221677117,5.63237102608127,124.2307714515026,5759.165877210887,436.2554100532503,9685.46456769014,0.19708906066666634,0.0,0.05218505859375,3.679473876953125,3.727264404296875,3.29833984375,12.0,12.052696019411087,470.31177078706713,0.5827461119999999
LLAMA-7B--KVChime-CB-2,CacheBlend,KVChime-CB-2,LLAMA-7B,1,1,F2,1,32,32,3458,604,10,80.86733990633,5.603846281707279,131.30195644169552,5850.578111681283,434.9414138437527,9765.050836275057,0.17127167999999984,0.0,0.052764892578125,4.9912109375,5.039581298828125,3.29833984375,12.0,12.053281515836716,470.31177078706713,0.5892210688
LLAMA-7B--KVChime-CB-2,CacheBlend,KVChime-CB-2,LLAMA-7B,1,1,F3,1,32,32,3458,604,10,74.82404689299663,5.6344925517073365,125.53447985836266,5835.989011649282,436.397784860293,9763.569075391919,0.1991479300000009,0.0,0.052764892578125,3.68475341796875,3.733123779296875,3.29833984375,12.0,12.053281515836716,470.31177078706713,0.5892210688
LLAMA-7B--KVChime-CB-2,CacheBlend,KVChime-CB-2,LLAMA-7B,1,1,F4,1,32,32,3458,604,10,74.82404689299663,5.6344925517073365,125.53447985836266,5835.989011649282,436.397784860293,9763.569075391919,0.1991479300000009,0.0,0.052764892578125,3.68475341796875,3.733123779296875,3.29833984375,12.0,12.053281515836716,470.31177078706713,0.5892210688
LLAMA-7B--KVChime-EPIC-long-4000,EPIC,KVChime-EPIC-long-4000,LLAMA-7B,1,1,F2,1,32,32,4028,106,16,28.12410968202721,5.6308027073708065,112.5861502925893,1359.3756486041582,436.4116279940227,7905.550068514499,0.19735287893333123,0.0,0.06146240234375,3.94091796875,3.99505615234375,1.966796875,12.0,12.062064856290817,290.7470647262749,0.6863454208
LLAMA-7B--KVChime-EPIC-long-4000,EPIC,KVChime-EPIC-long-4000,LLAMA-7B,1,1,F3,1,32,32,4028,106,16,21.084669468693857,5.654442551637549,105.9013077432571,1337.990570229759,436.85464036309025,7890.810175676113,0.2174215232000014,0.0,0.06146240234375,2.02587890625,2.08001708984375,1.966796875,12.0,12.062064856290817,290.7470647262749,0.6863454208
LLAMA-7B--KVChime-EPIC-long-4000,EPIC,KVChime-EPIC-long-4000,LLAMA-7B,1,1,F4,1,32,32,4028,106,16,15.088626839157605,5.654442551637533,99.9052651137206,1237.1706389348337,436.85464036309077,7789.990244381196,0.2174215232000014,6.175500640000004,0.001617431640625,2.02587890625,2.0258941650390625,1.966796875,12.0,12.002219885587692,290.7470647262749,0.6863454208
LLAMA-7B--KVChime-EPIC-long-8000,EPIC,KVChime-EPIC-long-8000,LLAMA-7B,1,1,F2,1,32,32,8033,186,16,58.74886962267787,5.843827474871853,146.40628174575568,2417.899391406076,446.71139553033214,9118.570324361059,0.40426022399999834,0.0,0.1225738525390625,7.85205078125,7.9673004150390625,3.92236328125,12.0,12.123773097991943,569.196770926539,1.3687717888
LLAMA-7B--KVChime-EPIC-long-8000,EPIC,KVChime-EPIC-long-8000,LLAMA-7B,1,1,F3,1,32,32,8033,186,16,44.710184609344566,5.882825021538572,132.95255993242316,2375.1128768716762,447.45852415752466,9086.990739234547,0.435266304000004,0.0,0.1225738525390625,4.0205078125,4.1357574462890625,3.92236328125,12.0,12.123773097991943,569.196770926539,1.3687717888
LLAMA-7B--KVChime-EPIC-long-8000,EPIC,KVChime-EPIC-long-8000,LLAMA-7B,1,1,F4,1,32,32,8033,186,16,35.589925325317076,5.882825021538573,123.83230064839567,2138.1250416607227,447.45852415752313,8850.00290402357,0.435266304000004,19.801270143999997,0.002838134765625,4.0205078125,4.0205230712890625,3.92236328125,12.0,12.004037380218506,569.196770926539,1.3687717888
LLAMA-7B--KVChime-EPIC-long-16000,EPIC,KVChime-EPIC-long-16000,LLAMA-7B,1,1,F2,1,32,32,16045,346,16,142.4116468184766,6.260355128232203,236.31697374195966,5350.090403123189,467.3202103099604,12359.893557772595,0.8085499775999955,0.0,0.2448272705078125,15.67626953125,15.913772583007812,7.83447265625,12.0,12.247220396995544,1123.8192148482417,2.7339653119999996
LLAMA-7B--KVChime-EPIC-long-16000,EPIC,KVChime-EPIC-long-16000,LLAMA-7B,1,1,F3,1,32,32,16045,346,16,114.37097695180991,6.334036529832195,209.38152489929283,5264.49011107839,468.6695197499534,12294.532907327692,0.865399379199998,0.0,0.2448272705078125,8.0107421875,8.248245239257812,7.83447265625,12.0,12.247220396995544,1123.8192148482417,2.7339653119999996
LLAMA-7B--KVChime-EPIC-long-16000,EPIC,KVChime-EPIC-long-16000,LLAMA-7B,1,1,F4,1,32,32,16045,346,16,107.68965826958684,6.334036529832325,202.70020621707172,4643.299934814205,468.6695197499456,11673.342731063389,0.865399379199998,71.61287276799997,0.005279541015625,8.0107421875,8.010757446289062,7.83447265625,12.0,12.007672667503357,1123.8192148482417,2.7339653119999996
LLAMA-7B--KVChime-EPIC-shared-readers-B1,EPIC,KVChime-EPIC-shared-readers-B1,LLAMA-7B,1,1,F2,1,32,32,8035,188,16,59.02932837735283,5.843909275364414,146.68796750781902,2434.122834616319,446.7168637727912,9134.875791208187,0.40433896959999743,0.0,0.1226043701171875,7.85400390625,7.9692840576171875,3.92333984375,12.0,12.123803913593292,569.2100043998635,1.369112576
LLAMA-7B--KVChime-EPIC-shared-readers-B1,EPIC,KVChime-EPIC-shared-readers-B1,LLAMA-7B,1,1,F3,1,32,32,8035,188,16,44.98714811068622,5.883025793764504,133.23253501715377,2391.33632008192,447.46399506239294,9103.296246017813,0.4354631680000036,0.0,0.1226043701171875,4.0224609375,4.1377410888671875,3.92333984375,12.0,12.123803913593292,569.2100043998635,1.369112576
LLAMA-7B--KVChime-EPIC-shared-readers-B1,EPIC,KVChime-EPIC-shared-readers-B1,LLAMA-7B,1,1,F4,1,32,32,8035,188,16,35.827473150760326,5.8830257937645065,124.07286005722793,2148.786266406912,447.4639950623901,8860.746192342764,0.4354631680000036,19.876053856,0.00286865234375,4.0224609375,4.0224761962890625,3.92333984375,12.0,12.004068195819855,569.2100043998635,1.369112576
LLAMA-7B--KVChime-EPIC-shared-readers-B2,EPIC,KVChime-EPIC-shared-readers-B2,LLAMA-7B,1,2,F2,1,32,32,8035,188,16,97.6715331693308,5.942468705333546,186.80856374933398,4414.752126074875,471.2417808618809,11483.37883900309,0.40433896959999743,0.0,0.245208740234375,11.79052734375,12.021087646484375,3.92919921875,12.0,12.247607827186584,575.246539535328,2.738225152
LLAMA-7B--KVChime-EPIC-shared-readers-B2,EPIC,KVChime-EPIC-shared-readers-B2,LLAMA-7B,1,2,F3,1,32,32,8035,188,16,69.58717263599752,6.426079169333288,165.97836017599684,4329.179097006077,475.6452296256088,11463.85754139021,0.8719647936000063,0.0,0.245208740234375,4.12744140625,4.358001708984375,3.92919921875,12.0,12.247607827186584,575.246539535328,2.738225152
LLAMA-7B--KVChime-EPIC-shared-readers-B2,EPIC,KVChime-EPIC-shared-readers-B2,LLAMA-7B,1,2,F4,1,32,32,8035,188,16,71.28535913567377,6.0899552162666115,162.63468737967295,3846.584860606459,455.1775503936164,10674.248116510704,0.5358408405333371,39.75210771199994,0.0057373046875,4.12744140625,4.127471923828125,3.92919921875,12.0,12.00813639163971,575.246539535328,2.738225152
LLAMA-7B--KVChime-EPIC-shared-readers-B4,EPIC,KVChime-EPIC-shared-readers-B4,LLAMA-7B,1,4,F2,1,32,32,8035,188,16,194.9033863386615,6.533650599967166,292.908145338169,8411.943479132175,530.3042187734047,16366.506760733248,0.7983179712000025,0.0,0.49041748046875,19.66357421875,20.12469482421875,3.94091796875,12.0,12.495215654373169,587.3196098062574,5.476450304
LLAMA-7B--KVChime-EPIC-shared-readers-B4,EPIC,KVChime-EPIC-shared-readers-B4,LLAMA-7B,1,4,F3,1,32,32,8035,188,16,138.73466527199483,7.53258467783245,251.72343543948156,8240.79742099458,530.3819865216727,16196.52721881967,1.7652827690666715,0.0,0.49041748046875,4.33740234375,4.79852294921875,3.94091796875,12.0,12.495215654373169,587.3196098062574,5.476450304
LLAMA-7B--KVChime-EPIC-shared-readers-B4,EPIC,KVChime-EPIC-shared-readers-B4,LLAMA-7B,1,4,F4,1,32,32,8035,188,16,142.5357660473475,6.413160195699148,238.7331689828347,7278.114819145739,468.9789488256733,14312.799051530837,0.6458582869333331,79.50421542399987,0.011474609375,4.33740234375,4.33746337890625,3.94091796875,12.0,12.016272783279419,587.3196098062574,5.476450304
GPT-13B--KVChime-CB-3,CacheBlend,KVChime-CB-3,GPT-13B,1,1,F2,1,40,40,3420,595,10,123.99079134321114,10.045664655183675,214.4017732398642,10416.989139592031,839.6348179662735,17973.70250128849,0.21228501333333186,0.0,0.0652313232421875,7.769775390625,7.8281402587890625,5.153656005859375,23.4375,23.50337002426386,818.3623243358736,0.72843264
GPT-13B--KVChime-CB-3,CacheBlend,KVChime-CB-3,GPT-13B,1,1,F3,1,40,40,3420,595,10,114.65191134321088,10.084464298516826,205.41209002986233,10394.124448392029,841.6836502599551,17969.277300731625,0.24681567666666626,0.0,0.0652313232421875,5.722236633300781,5.780601501464844,5.153656005859375,23.4375,23.50337002426386,818.3623243358736,0.72843264
GPT-13B--KVChime-CB-3,CacheBlend,KVChime-CB-3,GPT-13B,1,1,F4,1,40,40,3420,595,10,114.65191134321088,10.084464298516826,205.41209002986233,10394.124448392029,841.6836502599551,17969.277300731625,0.24681567666666626,0.0,0.0652313232421875,5.722236633300781,5.780601501464844,5.153656005859375,23.4375,23.50337002426386,818.3623243358736,0.72843264
GPT-13B--KVChime-CB-2,CacheBlend,KVChime-CB-2,GPT-13B,1,1,F2,1,40,40,3458,604,10,126.16411821763339,10.047559933974572,216.59215762340452,10552.832770159644,839.7783330189208,18110.837767329933,0.21408959999999932,0.0,0.06595611572265625,7.79876708984375,7.857856750488281,5.153656005859375,23.4375,23.504101894795895,818.3623243358736,0.7365263360000001
GPT-13B--KVChime-CB-2,CacheBlend,KVChime-CB-2,GPT-13B,1,1,F3,1,40,40,3458,604,10,116.72147288430017,10.08714440397426,207.50577252006852,10529.733361775647,841.8880583636353,18106.725887048364,0.24939951666666788,0.0,0.06595611572265625,5.7302093505859375,5.789299011230469,5.153656005859375,23.4375,23.504101894795895,818.3623243358736,0.7365263360000001
GPT-13B--KVChime-CB-2,CacheBlend,KVChime-CB-2,GPT-13B,1,1,F4,1,40,40,3458,604,10,116.72147288430017,10.08714440397426,207.50577252006852,10529.733361775647,841.8880583636353,18106.725887048364,0.24939951666666788,0.0,0.06595611572265625,5.7302093505859375,5.789299011230469,5.153656005859375,23.4375,23.504101894795895,818.3623243358736,0.7365263360000001
GPT-13B--KVChime-EPIC-long-4000,EPIC,KVChime-EPIC-long-4000,GPT-13B,1,1,F2,1,40,40,4028,106,16,42.89947180680398,10.081528974406284,194.12240642289825,2534.552153420794,841.8819216367357,15162.78097797183,0.24669109866666275,0.0,0.0768280029296875,6.157684326171875,6.2230682373046875,3.0731201171875,23.4375,23.51508107036352,513.7238135156143,0.857931776
GPT-13B--KVChime-EPIC-long-4000,EPIC,KVChime-EPIC-long-4000,GPT-13B,1,1,F3,1,40,40,4028,106,16,31.90034647347086,10.112171046406216,183.5829121695641,2501.1379684607923,842.5169449114043,15138.892142131857,0.2717769040000018,0.0,0.0768280029296875,3.165435791015625,3.2308197021484375,3.0731201171875,23.4375,23.51508107036352,513.7238135156143,0.857931776
GPT-13B--KVChime-EPIC-long-4000,EPIC,KVChime-EPIC-long-4000,GPT-13B,1,1,F4,1,40,40,4028,106,16,22.736832834505922,10.11217104640613,174.41939853059787,2323.2057746636738,842.5169449114036,14960.959948334728,0.2717769040000018,7.723774479999996,0.00202178955078125,3.165435791015625,3.165454864501953,3.0731201171875,23.4375,23.440274856984615,513.7238135156143,0.857931776
GPT-13B--KVChime-EPIC-long-8000,EPIC,KVChime-EPIC-long-8000,GPT-13B,1,1,F2,1,40,40,8033,186,16,91.41592961198175,10.349721628293887,246.66175403639005,4308.915838380795,856.6188197081996,17158.19813400379,0.5053252799999978,0.0,0.15321731567382812,12.268829345703125,12.410602569580078,6.128692626953125,23.4375,23.59221637248993,1003.1296967374506,1.710964736
GPT-13B--KVChime-EPIC-long-8000,EPIC,KVChime-EPIC-long-8000,GPT-13B,1,1,F3,1,40,40,8033,186,16,69.48048427864838,10.400926161626867,225.4943767030514,4242.061909420794,857.6900919001965,17107.41328792374,0.5440828800000073,0.0,0.15321731567382812,6.28204345703125,6.423816680908203,6.128692626953125,23.4375,23.59221637248993,1003.1296967374506,1.710964736
GPT-13B--KVChime-EPIC-long-8000,EPIC,KVChime-EPIC-long-8000,GPT-13B,1,1,F4,1,40,40,8033,186,16,55.17294366971579,10.400926161626755,211.18683609411713,3802.722625722873,857.6900919002007,16668.07400422588,0.5440828800000073,24.75441760000001,0.00354766845703125,6.28204345703125,6.282062530517578,6.128692626953125,23.4375,23.442546725273132,1003.1296967374506,1.710964736
