model,GPUs,gqa_size,agents,nominal_shared_fraction,shared_document_tokens,mode,scan_us,TBT_ms,TBT_energy_mJ,mac_commands,represented_column_MACs,dram_read_bytes,profile
GPT-13B,1,1,1,1.0,4018,single_query,6.783349,10.111707662628758,842.4818623910401,8384,8384,85852160,shared-16fc51d751a615983444
GPT-13B,1,1,1,1.0,4018,MQ,6.783349,10.111707662628758,842.4818623910401,8384,8384,85852160,shared-16fc51d751a615983444
GPT-13B,1,1,2,1.0,4018,single_query,13.910441,10.422251228885386,869.59102718208,16768,16768,171704320,shared-939defdd0d1d303593db
GPT-13B,1,1,2,1.0,4018,MQ,8.606648000000002,10.210099508885387,854.88474878208,8608,16768,88145920,shared-73d9d216c96af93e8576
GPT-13B,1,1,4,1.0,4018,single_query,28.147707,11.042661641398643,923.80935676416,33536,33536,343408640,shared-69bae33a204ef596b9cf
GPT-13B,1,1,4,1.0,4018,MQ,10.390728000000001,10.332382481398643,879.6905215641601,9056,33536,92733440,shared-0ef31ed7584464460e28
GPT-13B,1,1,8,1.0,4018,single_query,56.32156,12.27145530642515,1032.24601592832,67072,67072,686817280,shared-7e83ff9cd3cf78f75b36
GPT-13B,1,1,8,1.0,4018,MQ,15.027029,10.61967406642515,929.30206712832,9952,67072,101908480,shared-e3e3e8f9870c1f8222c4
GPT-13B,1,1,4,0.0,0,single_query,28.147707,11.042661641398643,923.80935676416,33536,33536,343408640,shared-819e44e1b03025a788b8
GPT-13B,1,1,4,0.0,0,MQ,28.172315,11.043645961398642,923.80935676416,33536,33536,343408640,shared-a84cefa247a7e27f6b77
GPT-13B,1,1,4,0.5,2442,single_query,28.147707,11.042661641398643,923.80935676416,33536,33536,343408640,shared-1f6ba13a87f39a2f103b
GPT-13B,1,1,4,0.5,2442,MQ,18.552125,10.658838361398644,896.8190105241601,18560,33536,190054400,shared-12f8dfabac33877b739d
LLAMA-65B,4,1,1,1.0,4018,single_query,6.783349,17.643570722758874,4307.508035213995,4192,4192,42926080,shared-b10ea2c44333bfd626e0
LLAMA-65B,4,1,1,1.0,4018,MQ,6.783349,17.643570722758874,4307.508035213995,4192,4192,42926080,shared-b10ea2c44333bfd626e0
LLAMA-65B,4,1,2,1.0,4018,single_query,13.910441,18.258444922385912,4440.30785871599,8384,8384,85852160,shared-378d2578ad9d52054a3d
LLAMA-65B,4,1,2,1.0,4018,MQ,8.606648000000002,17.834141482385913,4381.48274511599,4304,8384,44072960,shared-0bdff6dd5ea00265ded0
LLAMA-65B,4,1,4,1.0,4018,single_query,28.147707,20.23610430454623,4645.811518007978,16768,16768,171704320,shared-3360663d7070acb98b9f
LLAMA-65B,4,1,4,1.0,4018,MQ,10.390728000000001,18.815545984546233,4469.336177207978,4528,16768,46366720,shared-f30f6a282551a90f1bbc
LLAMA-65B,4,1,8,1.0,4018,single_query,56.32156,22.669753417347145,5116.914824303955,33536,33536,343408640,shared-d78224f7e3e9d55d9fb9
LLAMA-65B,4,1,8,1.0,4018,MQ,15.009342,19.364775977347147,4705.139029103956,4976,33536,50954240,shared-a8ef56350d59f1aba3cc
LLAMA-65B,4,1,4,0.0,0,single_query,28.147707,20.23610430454623,4645.811518007978,16768,16768,171704320,shared-120f3bfddd613bdca907
LLAMA-65B,4,1,4,0.0,0,MQ,28.172315,20.238072944546232,4645.811518007978,16768,16768,171704320,shared-0dd80dfd48fd31b94bca
LLAMA-65B,4,1,4,0.5,2442,single_query,28.147707,20.23610430454623,4645.811518007978,16768,16768,171704320,shared-005ac00249b7cd332d42
