model,GPUs,gqa_size,q,cached,n,fixed_GPU_us,fixed_PIM_us,algorithm_us,oracle_us,algorithm_choice,oracle_choice,estimated_PIM_us,regret_percent
GPT-13B,1,1,32,0,32,2.1845333333333334,6.711018518695306,2.1845333333333334,2.1845333333333334,GPU,GPU,4.569449643695309,0.0
GPT-13B,1,1,128,0,128,9.936667134634284,29.935002299124896,9.936667134634284,9.936667134634284,GPU,GPU,22.97093829912491,0.0
GPT-13B,1,1,512,0,512,99.36667134634286,179.69786278599827,99.36667134634286,99.36667134634286,GPU,GPU,166.97398878599842,0.0
GPT-13B,1,1,32,1024,1056,101.26767231035613,17.84031978361178,17.84031978361178,17.84031978361178,PIM,PIM,16.893776908611777,0.0
GPT-13B,1,1,128,1024,1152,139.46173660910665,78.00960135879077,78.00960135879077,78.00960135879077,PIM,PIM,72.26824735879079,0.0
GPT-13B,1,1,512,1024,1536,363.37000766689346,397.5039890246618,363.37000766689346,363.37000766689346,GPU,GPU,364.1632250246619,0.0
GPT-13B,1,1,32,4096,4128,400.4128765220647,55.37563624502785,55.37563624502785,55.37563624502785,PIM,PIM,54.43889470336117,0.0
GPT-13B,1,1,128,4096,4224,528.0369450325238,228.48075453778844,228.48075453778844,228.48075453778844,PIM,PIM,222.44871853778838,0.0
GPT-13B,1,1,512,4096,4608,1160.0150896673472,1008.0398517406529,1008.0398517406529,1008.0398517406529,PIM,PIM,964.8851097406523,0.0
LLAMA-65B,4,1,32,0,32,1.5526042397866067,4.052919807478122,1.5526042397866067,1.5526042397866067,GPU,GPU,1.909364349144789,0.0
LLAMA-65B,4,1,128,0,128,9.936667134634284,18.86270291964996,9.936667134634284,9.936667134634284,GPU,GPU,11.891461586316627,0.0
LLAMA-65B,4,1,512,0,512,99.36667134634283,128.37019271439922,99.36667134634283,99.36667134634283,GPU,GPU,115.62991338106605,0.0
LLAMA-65B,4,1,32,1024,1056,59.32463231035612,14.507224980111374,14.507224980111374,14.507224980111374,PIM,PIM,13.060612855111376,0.0
LLAMA-65B,4,1,128,1024,1152,97.51869660910666,62.20807494351632,62.20807494351632,62.20807494351632,PIM,PIM,56.49645561018297,0.0
LLAMA-65B,4,1,512,1024,1536,321.42696766689346,327.0625468098649,327.0625468098649,321.42696766689346,PIM,GPU,294.04988947653146,1.7533000369812868
LLAMA-65B,4,1,32,4096,4128,232.64071652206468,49.089862498011136,49.089862498011136,49.089862498011136,PIM,PIM,47.092646373011135,0.0
LLAMA-65B,4,1,128,4096,4224,360.2647850325237,198.89204768178206,198.89204768178206,198.89204768178206,PIM,PIM,192.62458968178203,0.0
LLAMA-65B,4,1,512,4096,4608,992.2429296673472,880.84768509626,880.84768509626,880.84768509626,PIM,PIM,838.5624257629275,0.0
LLAMA-7B,1,1,32,0,32,1.7476266666666667,5.824985614956245,1.7476266666666667,1.7476266666666667,GPU,GPU,3.670503948289579,0.0
LLAMA-7B,1,1,128,0,128,9.936667134634284,26.244235839299915,9.936667134634284,9.936667134634284,GPU,GPU,19.233519172633258,0.0
LLAMA-7B,1,1,512,0,512,99.36667134634283,162.58863942879861,99.36667134634283,99.36667134634283,GPU,GPU,149.75813076213208,0.0
LLAMA-7B,1,1,32,1024,1056,87.2866589770228,16.56326062688942,16.56326062688942,16.56326062688942,PIM,PIM,15.603804960222755,0.0
LLAMA-7B,1,1,128,1024,1152,125.48072327577331,72.75472988703261,72.75472988703261,72.75472988703261,PIM,PIM,66.96672322036596,0.0
LLAMA-7B,1,1,512,1024,1536,349.38899433356016,374.13834561972936,374.13834561972936,349.38899433356016,PIM,GPU,340.69094695306285,7.083609297246807
LLAMA-7B,1,1,32,4096,4128,344.4888231887313,53.34394899602228,53.34394899602228,53.34394899602228,PIM,PIM,52.015831996022285,0.0
LLAMA-7B,1,1,128,4096,4224,472.1128916991904,218.4597440302307,218.4597440302307,218.4597440302307,PIM,PIM,212.61483136356406,0.0
LLAMA-7B,1,1,512,4096,4608,1104.0910363340138,966.0525961925224,966.0525961925224,966.0525961925224,PIM,PIM,923.2833795258554,0.0
LLAMA3.1-8B,1,4,32,0,32,3.8815105994665173,11.942805614956246,11.942805614956246,3.8815105994665173,PIM,GPU,2.897955781622914,207.68447770302853
LLAMA3.1-8B,1,4,128,0,128,24.841667836585707,56.030843839299955,24.841667836585707,24.841667836585707,GPU,GPU,27.929020505966594,0.0
LLAMA3.1-8B,1,4,512,0,512,272.046582384691,423.8708794287964,272.046582384691,272.046582384691,GPU,GPU,373.11124009546535,0.0
LLAMA3.1-8B,1,4,32,1024,1056,62.57752603865413,54.569857960222755,54.569857960222755,54.569857960222755,PIM,PIM,45.81580479355608,0.0
LLAMA3.1-8B,1,4,128,1024,1152,167.00721592472203,226.31957788703284,167.00721592472203,167.00721592472203,GPU,GPU,199.6004165536993,0.0
LLAMA3.1-8B,1,4,512,1024,1536,830.1207604874064,1192.8410016197258,830.1207604874064,830.1207604874064,GPU,GPU,1059.796824286396,0.0
LLAMA3.1-8B,1,4,32,4096,4128,238.66557235621696,187.9866209960223,187.9866209960223,187.9866209960223,PIM,PIM,176.5133838293556,0.0
LLAMA3.1-8B,1,4,128,4096,4224,617.0201295017584,759.4232633635646,617.0201295017584,617.0201295017584,GPU,GPU,722.3907326968972,0.0
LLAMA3.1-8B,1,4,512,4096,4608,2504.3432947955525,3329.350196192511,2504.3432947955525,2504.3432947955525,GPU,GPU,3150.958088859188,0.0
