profile,cycles,scan_us,nCCDAB,mac_commands,represented_column_MACs,dram_read_bytes_per_attacc,memory_energy_pJ_per_attacc,query_movement_commands,softmax_commands,trace_sha256,path,first_private_k_us,logical_tokens,object_tokens,scan_kind
scan-N1024-H8-Q8,3371,2.592299,8,2048,16384,20971520,94768332.80000001,5632,64,9a51a8e06ffb32656c508cfbd2281108fcf155d9f5a9d12fe5c8430de52d76d6,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/scan-N1024-H8-Q8,,,,
scan-N4096-H8-Q8,13670,10.512229999999999,8,8192,65536,83886080,376979456.0,17920,64,fa6b508ac124533b6a4131b7f52669b56c290c06609852edd932ba34cd006136,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/scan-N4096-H8-Q8,,,,
scan-N1024-H4-Q8,3371,2.592299,8,1024,8192,10485760,47384166.400000006,2816,32,fd2c4371ff4fa5fe35f70170c7d285232f6350a78774222123d16e3167a88004,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/scan-N1024-H4-Q8,,,,
scan-N4096-H4-Q8,13672,10.513768,8,4096,32768,41943040,188489728.0,8960,32,4c534dbd954f84d416009b18a15df7a0940a2979ac83f0713feb0114999878b2,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/scan-N4096-H4-Q8,,,,
scan-N1024-H7-Q8,3371,2.592299,8,1792,14336,18350080,82922291.20000002,4928,56,ea3b79ab1d23d8f5bcc8fd706fd75a649d934bd1594ad241a6a32a13c8c16016,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/scan-N1024-H7-Q8,,,,
scan-N4096-H7-Q8,13683,10.522227,8,7168,57344,73400320,329857024.00000006,15680,56,422de3c72c568673715ff558322f364734e17388832293bb7dfaf36db921c287,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/scan-N4096-H7-Q8,,,,
scan-N1024-H2-Q8,3361,2.584609,8,512,4096,5242880,23692083.200000003,1408,16,56ca74c73288259a6a3a83d212465f8865ba566ea00c3886b0a49a118a63853c,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/scan-N1024-H2-Q8,,,,
scan-N4096-H2-Q8,13602,10.459938,8,2048,16384,20971520,94244864.0,4480,16,839f689611239c8531d385a48537de6821d50ed5ade9e57c2e9207e4c1414945,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/scan-N4096-H2-Q8,,,,
shared-1ac802d10fb2b9634bf2,11668,8.972692,8,5992,47936,61358080,276085555.20000005,13888,56,0e0ab98ce70d3f14c71956d6284573ec4f09976731e9924871bf988873e19776,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-1ac802d10fb2b9634bf2,0.195326,27360,3420,shared_MQ
shared-06e45491dc2a49c72445,8691,6.6833789999999995,7,5992,23968,61358080,273030553.6,6944,28,d8c2da041ab54bbd8e6c1c3b74db03e149af39a0939e69bceea99b5c48f81f34,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-06e45491dc2a49c72445,0.09689400000000001,13680,3420,shared_MQ
shared-4e20f9df6fe027d30100,8340,6.41346,7,5992,17976,61358080,272266803.20000005,5208,21,976fec3e5c07944c4ff0dd83c47fa48070d4592855245bfb8beaf39f4bbfd263,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-4e20f9df6fe027d30100,0.072286,10260,3420,shared_MQ
shared-406646592c9910f19140,16167,12.432423,8,7028,56224,71966720,328391884.8,26432,56,f547ec826d0d156cf7a6211bcef574ff6cdf5beeaff950939de1446e5431207a,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-406646592c9910f19140,5.169218,27360,3957,shared_MQ
shared-e9aa54de2afac603a0da,11028,8.480532,7,7028,21084,71966720,321055436.8,9912,21,d36166b85714755140ca1b7efa24c9080deff1f06fa7c3698046e8c2aa3e1853,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-e9aa54de2afac603a0da,3.288244,10260,3957,shared_MQ
scan-N3421-H7-Q1,6888,5.2968720000000005,6,5992,5992,61358080,270739302.40000004,1736,7,ef2d79e404d68febf861a0cc9327acb357e32f93d0dda3cb7b17b1ebfa21da31,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/scan-N3421-H7-Q1,,,,
shared-b1d0ec75ea31594fcb19,6888,5.2968720000000005,6,5992,5992,61358080,270739302.40000004,1736,7,02793b765db8dd6c5e792f955831bc94f8887edf79e07bc0e2d7b03a3d8020f4,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-b1d0ec75ea31594fcb19,0.02307,3421,3421,shared_single_query
shared-06e214be7079585765c3,8083,6.215827,6,7028,7028,71966720,318120857.6,3304,7,5870dbd195b82c5d0fb3a02d6ee0d699b00cf244dcb4ad6763c1473461c23efb,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-06e214be7079585765c3,2.482332,3421,3958,shared_single_query
scan-N3422-H7-Q1,6888,5.2968720000000005,6,5992,5992,61358080,270739302.40000004,1736,7,ef2d79e404d68febf861a0cc9327acb357e32f93d0dda3cb7b17b1ebfa21da31,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/scan-N3422-H7-Q1,,,,
shared-6dfebe30c79efe6e6081,6888,5.2968720000000005,6,5992,5992,61358080,270739302.40000004,1736,7,02793b765db8dd6c5e792f955831bc94f8887edf79e07bc0e2d7b03a3d8020f4,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-6dfebe30c79efe6e6081,0.02307,3422,3422,shared_single_query
shared-fe87c56985518a7cdf48,8083,6.215827,6,7028,7028,71966720,318120857.6,3304,7,5870dbd195b82c5d0fb3a02d6ee0d699b00cf244dcb4ad6763c1473461c23efb,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-fe87c56985518a7cdf48,2.482332,3422,3959,shared_single_query
scan-N3423-H7-Q1,6888,5.2968720000000005,6,5992,5992,61358080,270739302.40000004,1736,7,ef2d79e404d68febf861a0cc9327acb357e32f93d0dda3cb7b17b1ebfa21da31,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/scan-N3423-H7-Q1,,,,
shared-bffb3b199cd40b40e008,6888,5.2968720000000005,6,5992,5992,61358080,270739302.40000004,1736,7,02793b765db8dd6c5e792f955831bc94f8887edf79e07bc0e2d7b03a3d8020f4,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-bffb3b199cd40b40e008,0.02307,3423,3423,shared_single_query
shared-c54739ee6979a9a99637,8083,6.215827,6,7028,7028,71966720,318120857.6,3304,7,5870dbd195b82c5d0fb3a02d6ee0d699b00cf244dcb4ad6763c1473461c23efb,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-c54739ee6979a9a99637,2.482332,3423,3960,shared_single_query
scan-N3424-H7-Q1,6888,5.2968720000000005,6,5992,5992,61358080,270739302.40000004,1736,7,ef2d79e404d68febf861a0cc9327acb357e32f93d0dda3cb7b17b1ebfa21da31,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/scan-N3424-H7-Q1,,,,
shared-eec876374bf9d16167b0,6888,5.2968720000000005,6,5992,5992,61358080,270739302.40000004,1736,7,02793b765db8dd6c5e792f955831bc94f8887edf79e07bc0e2d7b03a3d8020f4,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-eec876374bf9d16167b0,0.02307,3424,3424,shared_single_query
shared-a4fc8701d8f583817b30,8083,6.215827,6,7028,7028,71966720,318120857.6,3304,7,5870dbd195b82c5d0fb3a02d6ee0d699b00cf244dcb4ad6763c1473461c23efb,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-a4fc8701d8f583817b30,2.482332,3424,3961,shared_single_query
scan-N3425-H7-Q1,6912,5.315328,6,6020,6020,61644800,272000870.40000004,1736,7,9cf054aae4fd680e5eade0b4ba7e191cdf080aaa1dd9c1a74c97fd3e72b81dba,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/scan-N3425-H7-Q1,,,,
shared-58dd2cdaaaa4f25e3332,6912,5.315328,6,6020,6020,61644800,272000870.40000004,1736,7,b61c35eb232de161733138a3b8dfaf574b316482331d836502e5860403150a40,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-58dd2cdaaaa4f25e3332,0.02307,3425,3425,shared_single_query
shared-dbc766ff2bd18b3872fa,8083,6.215827,6,7028,7028,71966720,318120857.6,3304,7,5870dbd195b82c5d0fb3a02d6ee0d699b00cf244dcb4ad6763c1473461c23efb,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-dbc766ff2bd18b3872fa,2.482332,3425,3962,shared_single_query
scan-N3426-H7-Q1,6912,5.315328,6,6020,6020,61644800,272000870.40000004,1736,7,9cf054aae4fd680e5eade0b4ba7e191cdf080aaa1dd9c1a74c97fd3e72b81dba,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/scan-N3426-H7-Q1,,,,
shared-035d42802bdd6968331a,6912,5.315328,6,6020,6020,61644800,272000870.40000004,1736,7,b61c35eb232de161733138a3b8dfaf574b316482331d836502e5860403150a40,/data2/chenyi9/KV-PIM/attacc-fugue/output/KVChime-multi-model-TP4-20260907/kvchime/Fugue-asplos-raw/profiles/shared-035d42802bdd6968331a,0.02307,3426,3426,shared_single_query
