q,cached,total_kv,link_GBps_one_way,pim_mode,gpu_qk_us,gpu_softmax_us,gpu_pv_us,gpu_attention_us,pim_scan_us,pim_softmax_us,q_input_us,output_us,new_kv_transfer_us,cached_kv_readback_us,pim_kv_overlap_window_us,pim_new_kv_hidden_us,pim_new_kv_exposed_us,gpu_new_kv_hidden_us,gpu_new_kv_exposed_us,gpu_service_us,pim_service_us,gpu_over_pim_latency_ratio,signed_faster_side_latency_reduction,winner,shape_data_source,link_pricing
51,0,51,300,plain,1.1869689737470168,0.39436754176610983,1.1869689737470168,2.7683054892601433,6.941762999999997,0.12415274463007162,1.39264,1.39264,2.78528,0.0,0.0,0.0,2.78528,2.7683054892601433,0.016974510739856896,2.78528,12.63647574463007,0.22041588622394326,-0.7795841137760567,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
51,0,51,300,mq,1.1869689737470168,0.39436754176610983,1.1869689737470168,2.7683054892601433,4.223348,0.12415274463007162,1.39264,1.39264,2.78528,0.0,0.0,0.0,2.78528,2.7683054892601433,0.016974510739856896,2.78528,9.918060744630072,0.280829092673992,-0.7191709073260081,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
8,1024,1032,300,plain,10.71782114277692,1.2517871683279518,10.71782114277692,22.68742945388179,12.365520000000002,0.39408114558472557,0.21845333333333336,0.21845333333333336,0.4369066666666667,55.92405333333334,0.736702,0.4369066666666667,0,0.4369066666666667,0,78.61148278721512,13.196507812251395,5.9569913423787515,0.8321300229386133,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
8,1024,1032,300,mq,10.71782114277692,1.2517871683279518,10.71782114277692,22.68742945388179,2.8406860000000003,0.39408114558472557,0.21845333333333336,0.21845333333333336,0.4369066666666667,55.92405333333334,1.0996700000000001,0.4369066666666667,0,0.4369066666666667,0,78.61148278721512,3.6716738122513926,21.410257775325697,0.9532934161515583,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
200,1024,1224,300,plain,32.37665028780008,37.11694510739857,32.37665028780008,101.87024568299873,353.43240000000003,11.684964200477328,5.461333333333333,5.461333333333333,10.922666666666666,55.92405333333334,0.736702,0.736702,10.185964666666667,10.922666666666666,0,157.79429901633208,386.2259955338107,0.40855432011571724,-0.5914456798842828,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
200,1024,1224,300,mq,32.37665028780008,37.11694510739857,32.37665028780008,101.87024568299873,76.88077500000003,11.684964200477328,5.461333333333333,5.461333333333333,10.922666666666666,55.92405333333334,1.0996700000000001,1.0996700000000001,9.822996666666667,10.922666666666666,0,157.79429901633208,109.31140253381069,1.44353009254936,0.30725379043956014,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
512,1024,1536,300,plain,87.1124676923077,119.24000561561141,87.1124676923077,293.4649410002268,1122.1247999999932,37.53852028639618,13.981013333333335,13.981013333333335,27.96202666666667,55.92405333333334,0.736702,0.736702,27.22532466666667,27.96202666666667,0,349.38899433356016,1214.8506716197226,0.28759830528613917,-0.7124016947138608,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
512,1024,1536,300,mq,87.1124676923077,119.24000561561141,87.1124676923077,293.4649410002268,239.5834880000002,37.53852028639618,13.981013333333335,13.981013333333335,27.96202666666667,55.92405333333334,1.0996700000000001,1.0996700000000001,26.86235666666667,27.96202666666667,0,349.38899433356016,331.94639161972975,1.0525464447096995,0.04992316013588577,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
513,1024,1537,300,plain,87.33943384615385,119.55067808507653,87.33943384615385,294.2295457773842,1171.6560900000154,37.6363245823389,14.00832,14.00832,28.01664,55.92405333333334,0.736702,0.736702,27.279937999999998,28.01664,0,350.15359911071755,1264.5889925823542,0.2768912280310825,-0.7231087719689174,GPU,integer-crossing refinement,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
513,1024,1537,300,mq,87.33943384615385,119.55067808507653,87.33943384615385,294.2295457773842,259.14223399999975,37.6363245823389,14.00832,14.00832,28.01664,55.92405333333334,1.0996700000000001,1.0996700000000001,26.91697,28.01664,0,350.15359911071755,351.7121685823386,0.9955686222688761,-0.004431377731123898,GPU,integer-crossing refinement,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged
