q,cached,total_kv,gpu_qk_us,gpu_softmax_us,gpu_pv_us,gpu_attention_us,pim_softmax_us,q_input_bytes,q_input_us,output_us,new_kv_bytes,new_kv_transfer_us,cached_kv_readback_us,gpu_new_kv_hidden_us,gpu_new_kv_exposed_us,gpu_service_us,plain_scan_us,plain_first_tile_queries,plain_tiles,plain_kv_overlap_window_us,plain_new_kv_hidden_us,plain_new_kv_exposed_us,plain_service_us,plain_speedup_over_gpu,plain_winner,mq_scan_us,mq_first_tile_queries,mq_tiles,mq_kv_overlap_window_us,mq_new_kv_hidden_us,mq_new_kv_exposed_us,mq_service_us,mq_speedup_over_gpu,mq_winner,data_source
51,0,51,1.1869689737470168,0.39436754176610983,1.1869689737470168,2.7683054892601433,0.12415274463007162,417792,1.39264,1.39264,835584,2.78528,0.0,2.7683054892601433,0.016974510739856896,2.78528,6.941762999999997,1,51,0.0,0.0,2.78528,12.63647574463007,0.22041588622394326,GPU,4.223348,8,7,0.0,0.0,2.78528,9.918060744630072,0.280829092673992,GPU,original sweep
8,1024,1032,10.71782114277692,1.2517871683279518,10.71782114277692,22.68742945388179,0.39408114558472557,65536,0.21845333333333333,0.21845333333333333,131072,0.43690666666666667,55.92405333333333,0.43690666666666667,0,78.61148278721512,12.365520000000002,1,8,0.736702,0.43690666666666667,0,13.196507812251394,5.956991342378752,PIM,2.8406860000000003,8,1,1.0996700000000001,0.43690666666666667,0,3.671673812251392,21.4102577753257,PIM,original sweep
54,1024,1078,15.397770602274326,8.82619121156816,15.397770602274326,39.621732416116814,2.778615751789976,442368,1.47456,1.47456,884736,2.94912,55.92405333333333,2.94912,0,95.54578574945015,86.45713199999997,1,54,0.736702,0.736702,2.2124180000000004,94.39728575178994,1.012166663358098,PIM,19.854810999999998,8,7,1.0996700000000001,1.0996700000000001,1.84945,27.431996751789974,3.4830051422784476,PIM,integer-crossing refinement
55,1024,1079,15.503071739435631,8.997978379896113,15.503071739435631,40.00412185876738,2.8326968973747015,450560,1.5018666666666665,1.5018666666666665,901120,3.003733333333333,55.92405333333333,3.003733333333333,0,95.92817519210071,88.05818999999997,1,55,0.736702,0.736702,2.2670313333333327,96.16165156404134,0.9975720428243151,GPU,20.008611,8,7,1.0996700000000001,1.0996700000000001,1.9040633333333328,27.749104564041367,3.4569827278826533,PIM,integer-crossing refinement
200,1024,1224,32.37665028780008,37.11694510739857,32.37665028780008,101.87024568299873,11.684964200477328,1638400,5.461333333333333,5.461333333333333,3276800,10.922666666666666,55.92405333333333,10.922666666666666,0,157.79429901633205,353.43240000000003,1,200,0.736702,0.736702,10.185964666666667,386.22599553381076,0.40855432011571713,GPU,76.88077500000003,8,25,1.0996700000000001,1.0996700000000001,9.822996666666667,109.31140253381068,1.4435300925493597,PIM,original sweep
512,1024,1536,87.1124676923077,119.24000561561141,87.1124676923077,293.4649410002268,37.53852028639618,4194304,13.981013333333333,13.981013333333333,8388608,27.962026666666667,55.92405333333333,27.962026666666667,0,349.38899433356016,1122.1247999999932,1,512,0.736702,0.736702,27.225324666666666,1214.8506716197226,0.28759830528613917,GPU,239.5834880000002,8,64,1.0996700000000001,1.0996700000000001,26.862356666666667,331.9463916197297,1.0525464447096997,PIM,original sweep
513,1024,1537,87.33943384615385,119.55067808507653,87.33943384615385,294.2295457773842,37.6363245823389,4202496,14.008320000000001,14.008320000000001,8404992,28.016640000000002,55.92405333333333,28.016640000000002,0,350.15359911071755,1171.6560900000154,1,513,0.736702,0.736702,27.279938,1264.5889925823542,0.2768912280310825,GPU,259.14223399999975,8,65,1.0996700000000001,1.0996700000000001,26.916970000000003,351.7121685823386,0.9955686222688761,GPU,integer-crossing refinement
544,1024,1568,94.4852676923077,129.33193317422436,94.4852676923077,318.3024685588398,40.71560859188544,4456448,14.854826666666666,14.854826666666666,8912896,29.709653333333332,55.92405333333333,29.709653333333332,0,374.22652189217314,1252.4979839999992,1,544,0.736702,0.736702,28.97295133333333,1351.8961972585514,0.276816017865166,GPU,273.64403600000026,8,68,1.0996700000000001,1.0996700000000001,28.609983333333332,372.67928125855235,1.0041516679660745,PIM,supplement
545,1024,1569,94.71932307692309,129.65230942018815,94.71932307692309,319.09095557403435,40.8164677804296,4464640,14.882133333333332,14.882133333333332,8929280,29.764266666666664,55.92405333333333,29.764266666666664,0,375.0150089073677,1264.8588900000052,1,545,0.736702,0.736702,29.027564666666663,1364.467189113768,0.2748435520468197,GPU,301.6925420000001,8,69,1.0996700000000001,1.0996700000000001,28.664596666666665,400.9378731137631,0.9353444362712026,GPU,integer-crossing refinement
1024,1024,2048,232.29991384615388,317.9733483082971,232.29991384615388,782.5731760006049,100.10272076372314,8388608,27.962026666666667,27.962026666666667,16777216,55.92405333333333,55.92405333333333,55.92405333333333,0,838.4972293339382,3000.2073599999235,1,1024,0.736702,0.736702,55.18735133333333,3211.421485430313,0.26109846780874485,GPU,684.102400000002,8,128,1.0996700000000001,1.0996700000000001,54.82438333333333,894.9535574303919,0.9369170303556843,GPU,original sweep
2048,1024,3072,696.8997415384616,953.9200449248913,696.8997415384616,2347.7195280018145,300.3081622911694,16777216,55.92405333333333,55.92405333333333,33554432,111.84810666666667,55.92405333333333,111.84810666666667,0,2403.6435813351477,9714.057215999836,1,2048,0.736702,0.736702,111.11140466666667,10237.324889624337,0.23479215588549623,GPU,1939.1104000000041,8,256,1.0996700000000001,1.0996700000000001,110.74843666666666,2462.015105624507,0.9762911591581998,GPU,supplement
