q,cached,total_kv,link_GBps_one_way,pim_mode,gpu_qk_us,gpu_softmax_us,gpu_pv_us,gpu_attention_us,pim_scan_us,pim_softmax_us,q_input_us,output_us,new_kv_transfer_us,cached_kv_readback_us,pim_kv_overlap_window_us,pim_new_kv_hidden_us,pim_new_kv_exposed_us,gpu_new_kv_hidden_us,gpu_new_kv_exposed_us,gpu_service_us,pim_service_us,gpu_over_pim_latency_ratio,signed_faster_side_latency_reduction,winner,shape_data_source,link_pricing,heatmap
1,1024,1025,32,mq,10.033780710374844,0.15541204548645235,10.033780710374844,20.22297346623614,1.54569,0.04892601431980907,0.256,0.256,0.512,524.288,0.736702,0.512,0,0.512,0,544.5109734662361,2.106616014319809,258.4766135664499,0.9961311780350182,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
2,1024,1026,32,mq,10.131045907623193,0.311127333988488,10.131045907623193,20.573219149234873,1.849445,0.09794749403341288,0.512,0.512,1.024,524.288,0.856666,0.856666,0.16733399999999998,1.024,0,544.8612191492349,3.138726494033413,173.59308629948902,0.9942394019179153,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
4,1024,1028,32,mq,10.326031166643268,0.6234676400393093,10.326031166643268,21.275529973325845,2.0924490000000002,0.19627684964200476,1.024,1.024,2.048,524.288,0.9058820000000001,0.9058820000000001,1.142118,2.048,0,545.5635299733259,5.478843849642005,99.57639694531059,0.9899574594916382,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
8,1024,1032,32,mq,10.71782114277692,1.2517871683279518,10.71782114277692,22.68742945388179,2.8406860000000003,0.39408114558472557,2.048,2.048,4.096,524.288,1.0996700000000001,1.0996700000000001,2.99633,4.096,0,546.9754294538818,10.327097145584725,52.96507060435054,0.9811196324560765,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
16,1024,1040,32,mq,11.508678927418224,2.522981889653236,11.508678927418224,25.540339744489685,5.6813720000000005,0.794272076372315,4.096,4.096,8.192,524.288,1.0996700000000001,1.0996700000000001,7.0923300000000005,8.192,0,549.8283397444897,21.759974076372316,25.267876598323298,0.9604240587407984,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
32,1024,1056,32,mq,13.119505826196828,5.123593991295802,13.119505826196828,31.36260564368946,11.405808,1.612983293556086,8.192,8.192,16.384,524.288,1.0996700000000001,1.0996700000000001,15.28433,16.384,0,555.6506056436895,44.68712129355609,12.434244801618371,0.9195769412654764,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
48,1024,1072,32,mq,14.769147830970098,7.801836304927699,14.769147830970098,37.340131966867894,17.21022,2.456133651551313,12.288,12.288,24.576,524.288,1.0996700000000001,1.0996700000000001,23.47633,24.576,0,561.628131966868,67.71868365155132,8.293547684074069,0.8794243382816403,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
64,1024,1088,32,mq,16.457604941738033,10.557708830548926,16.457604941738033,43.47291871402499,23.033087999999996,3.323723150357995,16.384,16.384,32.768,524.288,1.0996700000000001,1.0996700000000001,31.66833,32.768,0,567.760918714025,90.79314115035798,6.253345919311069,0.8400856097034578,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
96,1024,1120,32,mq,19.9509644812579,16.302344517759373,19.9509644812579,56.20427348027517,34.844928,5.132219570405728,24.576,24.576,49.152,524.288,1.0996700000000001,1.0996700000000001,48.05233,49.152,0,580.4922734802752,137.18147757040572,4.231564521400849,0.7636807863988442,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
128,1024,1152,32,mq,23.599584444756424,22.357501052927137,23.599584444756424,69.55666994243998,47.23505599999999,7.038472553699283,32.768,32.768,65.536,524.288,1.0996700000000001,1.0996700000000001,64.43633,65.536,0,593.84466994244,184.24585855369926,3.22311000423036,0.6897406546200747,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
192,1024,1216,32,mq,31.36260564368946,35.39937666713463,31.36260564368946,98.12458795451356,73.15958400000001,11.144248210023866,49.152,49.152,98.304,524.288,1.0996700000000001,1.0996700000000001,97.20433,98.304,0,622.4125879545136,279.81216221002387,2.224394333107428,0.5504394229403459,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
256,1024,1280,32,mq,39.746668538537136,49.68333567317142,39.746668538537136,129.1766727502457,101.38495999999998,15.64105011933174,65.536,65.536,131.072,524.288,1.0996700000000001,1.0996700000000001,129.97233,131.072,0,653.4646727502457,378.0703401193317,1.7284208873512539,0.4214372162948887,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
384,1024,1408,32,mq,59.88982153846154,81.97750386073284,59.88982153846154,201.75714693765593,169.31534400000004,25.807732696897375,98.304,98.304,196.608,524.288,1.0996700000000001,1.0996700000000001,195.50833,196.608,0,726.045146937656,587.2394066968974,1.236369934745205,0.19118059094013554,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
512,1024,1536,32,mq,87.1124676923077,119.24000561561141,87.1124676923077,293.4649410002268,239.5834880000002,37.53852028639618,131.072,131.072,262.144,524.288,1.0996700000000001,1.0996700000000001,261.04433,262.144,0,817.7529410002269,800.3103382863965,1.02179479869169,0.02132991743508211,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
768,1024,1792,32,mq,152.4468184615385,208.67000982731997,152.4468184615385,513.563646750397,451.8767039999996,65.69241050119332,196.608,196.608,393.216,524.288,1.0996700000000001,1.0996700000000001,392.11633,393.216,0,1037.8516467503969,1302.901444501193,0.7965695725724913,-0.2034304274275087,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
1024,1024,2048,32,mq,232.29991384615388,317.9733483082971,232.29991384615388,782.5731760006049,684.102400000002,100.10272076372314,262.144,262.144,524.288,524.288,1.0996700000000001,1.0996700000000001,523.1883300000001,524.288,0,1306.861176000605,1831.681450763725,0.7134762299720321,-0.28652377002796786,GPU,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
1536,1024,2560,32,mq,435.5623384615385,596.200028078057,435.5623384615385,1467.324705001134,1269.3298559999976,187.6926014319809,393.216,393.216,786.432,524.288,1.0996700000000001,1.0996700000000001,785.3323300000001,786.432,0,1991.612705001134,3028.7867874319786,0.6575612100744025,-0.3424387899255975,GPU,supplement,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
2048,1024,3072,32,mq,696.8997415384616,953.9200449248913,696.8997415384616,2347.7195280018145,1939.1104000000041,300.3081622911694,524.288,524.288,1048.576,524.288,1.0996700000000001,1.0996700000000001,1047.47633,1048.576,0,2872.0075280018145,4335.470892291174,0.662444195648616,-0.33755580435138394,GPU,supplement,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
1,1024,1025,48,mq,10.033780710374844,0.15541204548645235,10.033780710374844,20.22297346623614,1.54569,0.04892601431980907,0.17066666666666666,0.17066666666666666,0.3413333333333333,349.5253333333333,0.736702,0.3413333333333333,0,0.3413333333333333,0,369.7483067995695,1.9359493476531424,190.9906926272619,0.9947641427640057,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
2,1024,1026,48,mq,10.131045907623193,0.311127333988488,10.131045907623193,20.573219149234873,1.849445,0.09794749403341288,0.3413333333333333,0.3413333333333333,0.6826666666666666,349.5253333333333,0.856666,0.6826666666666666,0,0.6826666666666666,0,370.0985524825682,2.6300591607000796,140.71871766719266,0.9928936248384167,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
4,1024,1028,48,mq,10.326031166643268,0.6234676400393093,10.326031166643268,21.275529973325845,2.0924490000000002,0.19627684964200476,0.6826666666666666,0.6826666666666666,1.3653333333333333,349.5253333333333,0.9058820000000001,0.9058820000000001,0.4594513333333332,1.3653333333333333,0,370.80086330665915,4.113510516308671,90.14219407889192,0.9889064160217267,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
8,1024,1032,48,mq,10.71782114277692,1.2517871683279518,10.71782114277692,22.68742945388179,2.8406860000000003,0.39408114558472557,1.3653333333333333,1.3653333333333333,2.7306666666666666,349.5253333333333,1.0996700000000001,1.0996700000000001,1.6309966666666664,2.7306666666666666,0,372.2127627872151,7.596430478918059,48.998376779751496,0.9795911606522187,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
16,1024,1040,48,mq,11.508678927418224,2.522981889653236,11.508678927418224,25.540339744489685,5.6813720000000005,0.794272076372315,2.7306666666666666,2.7306666666666666,5.461333333333333,349.5253333333333,1.0996700000000001,1.0996700000000001,4.361663333333333,5.461333333333333,0,375.065673077823,16.29864074303898,23.012082970048322,0.9565445682904254,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
32,1024,1056,48,mq,13.119505826196828,5.123593991295802,13.119505826196828,31.36260564368946,11.405808,1.612983293556086,5.461333333333333,5.461333333333333,10.922666666666666,349.5253333333333,1.0996700000000001,1.0996700000000001,9.822996666666667,10.922666666666666,0,380.88793897702277,33.76445462688942,11.280737189034598,0.9113533111140958,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
48,1024,1072,48,mq,14.769147830970098,7.801836304927699,14.769147830970098,37.340131966867894,17.21022,2.456133651551313,8.192,8.192,16.384,349.5253333333333,1.0996700000000001,1.0996700000000001,15.28433,16.384,0,386.8654653002012,51.334683651551316,7.536141995656581,0.8673061096013922,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
64,1024,1088,48,mq,16.457604941738033,10.557708830548926,16.457604941738033,43.47291871402499,23.033087999999996,3.323723150357995,10.922666666666666,10.922666666666666,21.845333333333333,349.5253333333333,1.0996700000000001,1.0996700000000001,20.745663333333333,21.845333333333333,0,392.99825204735833,68.94780781702465,5.699938322771719,0.8245595051432543,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
96,1024,1120,48,mq,19.9509644812579,16.302344517759373,19.9509644812579,56.20427348027517,34.844928,5.132219570405728,16.384,16.384,32.768,349.5253333333333,1.0996700000000001,1.0996700000000001,31.66833,32.768,0,405.7296068136085,104.41347757040573,3.8857972768891456,0.7426525552561583,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
128,1024,1152,48,mq,23.599584444756424,22.357501052927137,23.599584444756424,69.55666994243998,47.23505599999999,7.038472553699283,21.845333333333333,21.845333333333333,43.690666666666665,349.5253333333333,1.0996700000000001,1.0996700000000001,42.59099666666666,43.690666666666665,0,419.08200327577333,140.5551918870326,2.981618805035669,0.6646117208842741,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
192,1024,1216,48,mq,31.36260564368946,35.39937666713463,31.36260564368946,98.12458795451356,73.15958400000001,11.144248210023866,32.768,32.768,65.536,349.5253333333333,1.0996700000000001,1.0996700000000001,64.43633,65.536,0,447.6499212878469,214.27616221002387,2.089126091632538,0.5213309507715953,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
256,1024,1280,48,mq,39.746668538537136,49.68333567317142,39.746668538537136,129.1766727502457,101.38495999999998,15.64105011933174,43.690666666666665,43.690666666666665,87.38133333333333,349.5253333333333,1.0996700000000001,1.0996700000000001,86.28166333333333,87.38133333333333,0,478.702006083579,290.68900678599834,1.646784002519894,0.3927558207574224,PIM,original sweep,Analytical transfer and overlap terms; native scan and GPU operator costs unchanged,link_Q
