case_id,variant,phase,layer,step,remote_immutable_bytes,remote_private_bytes,GPU_live_KV_bytes,combined_live_KV_bytes
Fugue-asplos-EPIC-long-4000,F1,decode,all,15,2111832064,0,2119696384,4231528448
Fugue-asplos-EPIC-long-4000,F2,prefill,31,0,2111832064,2111832064,65994752,4289658880
Fugue-asplos-EPIC-long-4000,F3,prefill,31,0,2111832064,55574528,65994752,2233401344
Fugue-asplos-EPIC-long-4000,F4,decode,all,15,2111832064,63438848,16384,2175287296
Fugue-asplos-EPIC-long-8000,F1,decode,all,15,4211605504,0,4219469824,8431075328
Fugue-asplos-EPIC-long-8000,F2,prefill,31,0,4211605504,4211605504,131612672,8554823680
Fugue-asplos-EPIC-long-8000,F3,prefill,31,0,4211605504,97517568,131612672,4440735744
Fugue-asplos-EPIC-long-8000,F4,decode,all,15,4211605504,105381888,16384,4317003776
Fugue-asplos-EPIC-long-16000,F1,decode,all,15,8412200960,0,8420065280,16832266240
Fugue-asplos-EPIC-long-16000,F2,prefill,31,0,8412200960,8412200960,262881280,17087283200
Fugue-asplos-EPIC-long-16000,F3,prefill,31,0,8412200960,181403648,262881280,8856485888
Fugue-asplos-EPIC-long-16000,F4,decode,all,15,8412200960,189267968,16384,8601485312
