n,resident_queries,nCCDAB,cycles,scan_us,trace_commands,mac_commands,represented_mac_operations,key_event_count,softmax_commands,path,batch,profile_heads_per_HBM
4028,1,6,7992,6.145848,9343,7056,7056,3528,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N04028-Q1,1,7
4028,2,7,9289,7.143241,11310,7056,14112,3528,14,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N04028-Q2,1,7
4028,8,8,13546,10.416874,23112,7056,56448,3528,56,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N04028-Q8,1,7
4029,1,6,7992,6.145848,9343,7056,7056,3528,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N04029-Q1,1,7
4030,1,6,7992,6.145848,9343,7056,7056,3528,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N04030-Q1,1,7
4031,1,6,7992,6.145848,9343,7056,7056,3528,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N04031-Q1,1,7
4032,1,6,7992,6.145848,9343,7056,7056,3528,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N04032-Q1,1,7
4033,1,6,8030,6.17507,9371,7084,7084,3542,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N04033-Q1,1,7
4034,1,6,8030,6.17507,9371,7084,7084,3542,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N04034-Q1,1,7
4035,1,6,8030,6.17507,9371,7084,7084,3542,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N04035-Q1,1,7
4036,1,6,8030,6.17507,9371,7084,7084,3542,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N04036-Q1,1,7
4037,1,6,8030,6.17507,9371,7084,7084,3542,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N04037-Q1,1,7
4038,1,6,8030,6.17507,9371,7084,7084,3542,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N04038-Q1,1,7
4039,1,6,8030,6.17507,9371,7084,7084,3542,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N04039-Q1,1,7
4040,1,6,8030,6.17507,9371,7084,7084,3542,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N04040-Q1,1,7
4041,1,6,8030,6.17507,9371,7084,7084,3542,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N04041-Q1,1,7
4042,1,6,8030,6.17507,9371,7084,7084,3542,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N04042-Q1,1,7
4043,1,6,8030,6.17507,9371,7084,7084,3542,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N04043-Q1,1,7
8033,1,6,16428,12.633132,18419,14084,14084,7042,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N08033-Q1,1,7
8033,2,7,19087,14.677903,22178,14084,28168,7042,14,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N08033-Q2,1,7
8033,8,8,27837,21.406653000000002,44732,14084,112672,7042,56,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N08033-Q8,1,7
8034,1,6,16428,12.633132,18419,14084,14084,7042,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N08034-Q1,1,7
8035,1,6,16428,12.633132,18419,14084,14084,7042,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N08035-Q1,1,7
8035,4,7,21307,16.385082999999998,29696,14084,56336,7042,28,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N08035-Q4,1,7
8035,8,8,27837,21.406653000000002,44732,14084,112672,7042,56,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N08035-Q8,1,7
