case_id,variant,phase,layer,step,remote_immutable_bytes,remote_private_bytes,GPU_live_KV_bytes,combined_live_KV_bytes
Fugue-asplos-EPIC-shared-readers-B1,F1,decode,all,15,4212654080,0,4220518400,8433172480
Fugue-asplos-EPIC-shared-readers-B1,F2,prefill,31,0,4212654080,4212654080,131645440,8556953600
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,31,0,4212654080,98566144,131645440,4442865664
Fugue-asplos-EPIC-shared-readers-B1,F4,decode,all,15,4212654080,106430464,16384,4319100928
Fugue-asplos-EPIC-shared-readers-B2,F1,decode,all,15,4218945536,0,8441036800,12659982336
Fugue-asplos-EPIC-shared-readers-B2,F2,prefill,31,0,4218945536,8425308160,263290880,12907544576
Fugue-asplos-EPIC-shared-readers-B2,F3,prefill,31,0,4218945536,197132288,263290880,4679368704
Fugue-asplos-EPIC-shared-readers-B2,F4,decode,all,15,4218945536,212860928,32768,4431839232
Fugue-asplos-EPIC-shared-readers-B4,F1,decode,all,15,4231528448,0,16882073600,21113602048
Fugue-asplos-EPIC-shared-readers-B4,F2,prefill,31,0,4231528448,16850616320,526581760,21608726528
Fugue-asplos-EPIC-shared-readers-B4,F3,prefill,31,0,4231528448,394264576,526581760,5152374784
Fugue-asplos-EPIC-shared-readers-B4,F4,decode,all,15,4231528448,425721856,65536,4657315840
