device,name,kind,m,n,k,numOp,time_us,energy_J,energy_offchip_pJ,energy_L2_pJ,energy_L1_pJ,energy_reg_pJ,energy_alu_pJ,energy_link_pJ
GPU,qkv,FC,771,12288,4096,1,349.8110030769231,0.03817883172864,3616635617.2799997,1739449958.3999999,12546767585.28,7858154373.120001,12417824194.56,0
GPU,proj,FC,771,4096,4096,1,116.6036676923077,0.013009213194240001,1326476165.12,741821644.8,4182255861.76,2619384791.04,4139274731.52,0
GPU,comm_g2g,G2G,771,4096,1,1,0.0,6.568673280000001e-05,0,0,0,0,0,65686732.800000004
GPU,norm1,NORM,771,4096,1,1,20.934099894988062,0.00061772371968,544189317.12,45475430.4,24253562.88,1278996.48,2526412.8000000003,0
GPU,ff1,FC,771,10922.666666666666,4096,1,277.6794318998211,0.03417939050496,3234942375.253333,1765978931.1999998,11155377138.346664,6985026109.440001,11038065950.72,0
GPU,ff2,FC,771,10922.666666666666,4096,1,277.6794318998211,0.03417939050496,3234942375.253333,1765978931.1999998,11155377138.346664,6985026109.440001,11038065950.72,0
GPU,glu,ACT,771,10922.666666666666,1,1,32.79478153846154,0.00165265293312,1451171512.32,121267814.39999999,64676167.68,3410657.2800000003,12126781.44,0
GPU,ff3,FC,771,4096,10922.666666666666,1,310.94311384615384,0.034350169456639996,3234942375.253333,1952926924.8,11139208096.426664,6985026109.440001,11038065950.72,0
GPU,norm2,NORM,771,4096,1,1,20.934099894988062,0.00061772371968,544189317.12,45475430.4,24253562.88,1278996.48,2526412.8000000003,0
GPU,score,MATMUL,771,771,128,32,65.84577230769231,0.0033035302223999997,1455422991.36,212573952.0,840979660.8000001,15407910.72,779145707.52,0
GPU,softmax,SOFTMAX,771,771,1,32,90.13004071318265,0.0024856193750399996,2185260226.56,182612275.2,97393213.44,5135970.24,15217689.6,0
GPU,context,MATMUL,771,128,771,32,65.84577230769231,0.0031805570793599996,1455422991.36,136781568.0,793798901.76,15407910.72,779145707.52,0
GPU,comm_x2g,X2G,771,8192,1,1,42.10688,0.00013137346560000002,0,0,0,0,0,131373465.60000001
GPU,qkv,FC,10,12288,4096,1,39.876052225186015,0.0036341940223999997,2900460830.72,261056102.39999998,209694228.48000002,101921587.2,161061273.6,0
GPU,proj,FC,10,4096,4096,1,12.48148252140952,0.0013073383424,968388771.8399999,181390540.79999998,69898076.16,33973862.400000006,53687091.2,0
GPU,comm_g2g,G2G,10,4096,1,1,0.0,8.51968e-07,0,0,0,0,0,851968.0
GPU,norm1,NORM,10,4096,1,1,7.052413747016707,8.011980799999999e-06,7058227.199999999,589824.0,314572.8,16588.800000000003,32768.0,0
GPU,ff1,FC,10,10922.666666666666,4096,1,39.570947438530276,0.003230822126933333,2578448820.9066663,232180940.79999998,186429822.29333332,90596966.4,143165576.53333333,0
GPU,ff2,FC,10,10922.666666666666,4096,1,39.570947438530276,0.003230822126933333,2578448820.9066663,232180940.79999998,186429822.29333332,90596966.4,143165576.53333333,0
GPU,glu,ACT,10,10922.666666666666,1,1,8.425898241527445,2.14351872e-05,18821939.2,1572864.0,838860.8,44236.8,157286.4,0
GPU,ff3,FC,10,4096,10922.666666666666,1,33.23341288782816,0.0034818118997333326,2578448820.9066663,483380428.79999995,186220107.09333333,90596966.4,143165576.53333333,0
GPU,norm2,NORM,10,4096,1,1,7.052413747016707,8.011980799999999e-06,7058227.199999999,589824.0,314572.8,16588.800000000003,32768.0,0
GPU,score,MATMUL,10,10,128,32,0.2016566053629089,5.64944e-06,4889292.8,408576.0,217907.2,2592.0,131072.0,0
