q,cached,total_kv,gpu_qk_us,gpu_softmax_us,gpu_pv_us,gpu_attention_us,pim_softmax_us,q_input_bytes,q_input_us,output_us,new_kv_bytes,new_kv_transfer_us,cached_kv_readback_us,gpu_new_kv_hidden_us,gpu_new_kv_exposed_us,gpu_service_us,plain_scan_us,plain_first_tile_queries,plain_tiles,plain_kv_overlap_window_us,plain_new_kv_hidden_us,plain_new_kv_exposed_us,plain_service_us,plain_speedup_over_gpu,plain_winner,mq_scan_us,mq_first_tile_queries,mq_tiles,mq_kv_overlap_window_us,mq_new_kv_hidden_us,mq_new_kv_exposed_us,mq_service_us,mq_speedup_over_gpu,mq_winner,data_source
1,0,1,0.019483363751228416,0.00015162150779166083,0.019483363751228416,0.03911834901024849,4.77326968973747e-05,8192,0.027306666666666667,0.027306666666666667,16384,0.05461333333333333,0.0,0.03911834901024849,0.01549498432308484,0.05461333333333333,0.088435,1,1,0.0,0.0,0.05461333333333333,0.19770939936356405,0.27623033355589693,GPU,0.088435,1,1,0.0,0.0,0.05461333333333333,0.19770939936356405,0.27623033355589693,GPU,original sweep
2,0,2,0.03911834901024849,0.0006064860311666433,0.03911834901024849,0.07884318405166363,0.0001909307875894988,16384,0.05461333333333333,0.05461333333333333,32768,0.10922666666666667,0.0,0.07884318405166363,0.030383482615003038,0.10922666666666667,0.17687,1,2,0.0,0.0,0.10922666666666667,0.39551426412092283,0.2761636597593663,GPU,0.153031,2,1,0.0,0.0,0.10922666666666667,0.37167526412092283,0.2938766100698331,GPU,original sweep
4,0,4,0.07884318405166363,0.0024259441246665733,0.07884318405166363,0.16011231222799382,0.0007637231503579952,32768,0.10922666666666667,0.10922666666666667,65536,0.21845333333333333,0.0,0.16011231222799382,0.05834102110533951,0.21845333333333333,0.35374,1,4,0.0,0.0,0.21845333333333333,0.7914103898170247,0.2760304086781576,GPU,0.30221699999999996,4,1,0.0,0.0,0.21845333333333333,0.7398873898170247,0.29525213747372714,GPU,original sweep
8,0,8,0.16011231222799382,0.009703776498666293,0.16011231222799382,0.3299284009546539,0.0030548926014319806,65536,0.21845333333333333,0.21845333333333333,131072,0.43690666666666667,0.0,0.3299284009546539,0.10697826571201274,0.43690666666666667,0.7074800000000001,1,8,0.0,0.0,0.43690666666666667,1.5843482259347657,0.2757642919118312,GPU,0.6021270000000001,8,1,0.0,0.0,0.43690666666666667,1.4789952259347656,0.2954077599476561,GPU,original sweep
16,0,16,0.3299284009546539,0.03881510599466517,0.3299284009546539,0.698671907903973,0.012219570405727923,131072,0.43690666666666667,0.43690666666666667,262144,0.8738133333333333,0.0,0.698671907903973,0.1751414254293603,0.8738133333333333,1.4149600000000004,1,16,0.0,0.0,0.8738133333333333,3.1748062370723953,0.27523359477178944,GPU,1.2042540000000002,8,2,0.0,0.0,0.8738133333333333,2.9641002370723952,0.2947988473549018,GPU,original sweep
32,0,32,0.698671907903973,0.1552604239786607,0.698671907903973,1.5526042397866067,0.04887828162291169,262144,0.8738133333333333,0.8738133333333333,524288,1.7476266666666667,0.0,1.5526042397866067,0.19502242688006,1.7476266666666667,3.223647999999998,1,32,0.0,0.0,1.7476266666666667,6.767779614956244,0.2582274787442182,GPU,2.482332,8,4,0.0,0.0,1.7476266666666667,6.026463614956245,0.28999207135831273,GPU,original sweep
48,0,48,1.1062305208479573,0.3493359539519865,1.1062305208479573,2.561796995647901,0.1099761336515513,393216,1.3107199999999999,1.3107199999999999,786432,2.6214399999999998,0.0,2.561796995647901,0.05964300435209857,2.6214399999999998,5.647536000000002,1,48,0.0,0.0,2.6214399999999998,11.000392133651554,0.23830423208102666,GPU,3.834234,8,6,0.0,0.0,2.6214399999999998,9.187090133651552,0.28533953208947865,GPU,original sweep
64,0,64,1.5526042397866069,0.6210416959146428,1.5526042397866069,3.7262501754878565,0.19551312649164676,524288,1.7476266666666667,1.7476266666666667,1048576,3.4952533333333333,0.0,3.4952533333333333,0,3.7262501754878565,8.711231999999997,1,64,0.0,0.0,3.4952533333333333,15.897251793158313,0.23439587068071221,GPU,5.25996,8,8,0.0,0.0,3.4952533333333333,12.445979793158314,0.2993938795832061,GPU,original sweep
96,0,96,2.561796995647901,1.397343815807946,2.561796995647901,6.520937807103748,0.4399045346062052,786432,2.6214399999999998,2.6214399999999998,1572864,5.2428799999999995,0.0,5.2428799999999995,0,6.520937807103748,16.610400000000038,1,96,0.0,0.0,5.2428799999999995,27.536064534606243,0.23681444379637076,GPU,8.332884,8,12,0.0,0.0,5.2428799999999995,19.258548534606206,0.3385996507154264,GPU,original sweep
128,0,128,3.7262501754878565,2.484166783658571,3.7262501754878565,9.936667134634284,0.782052505966587,1048576,3.4952533333333333,3.4952533333333333,2097152,6.990506666666667,0.0,6.990506666666667,0,9.936667134634284,26.871936,1,128,0.0,0.0,6.990506666666667,41.63500183929992,0.23866138334729006,GPU,11.701103999999996,8,16,0.0,0.0,6.990506666666667,26.464169839299917,0.3754762456171249,GPU,original sweep
192,0,192,6.520937807103749,5.589375263231784,6.520937807103749,18.63125087743928,1.7596181384248208,1572864,5.2428799999999995,5.2428799999999995,3145728,10.485759999999999,0.0,10.485759999999999,0,18.63125087743928,54.48211199999979,1,192,0.0,0.0,10.485759999999999,77.21325013842461,0.24129603201572233,GPU,19.47108,8,24,0.0,0.0,10.485759999999999,42.20221813842482,0.44147563088575337,GPU,original sweep
256,0,256,9.936667134634284,9.936667134634284,9.936667134634284,29.810001403902852,3.128210023866348,2097152,6.990506666666667,6.990506666666667,4194304,13.981013333333333,0.0,13.981013333333333,0,29.810001403902852,91.54176000000005,1,256,0.0,0.0,13.981013333333333,122.63199669053306,0.24308502029147933,GPU,28.865184000000003,8,32,0.0,0.0,13.981013333333333,59.955420690533025,0.49720277266955876,GPU,original sweep
384,0,384,18.63125087743928,22.357501052927137,18.63125087743928,59.620002807805704,7.038472553699283,3145728,10.485759999999999,10.485759999999999,6291456,20.971519999999998,0.0,20.971519999999998,0,59.620002807805704,217.92844799999895,1,384,0.0,0.0,20.971519999999998,266.9099605536983,0.22337121733533452,GPU,59.46523199999997,8,48,0.0,0.0,20.971519999999998,108.44674455369925,0.5497629555701771,GPU,original sweep
512,0,512,29.810001403902852,39.746668538537136,29.810001403902852,99.36667134634283,12.512840095465393,4194304,13.981013333333333,13.981013333333333,8388608,27.962026666666667,0.0,27.962026666666667,0,99.36667134634283,366.1670400000002,1,512,0.0,0.0,27.962026666666667,434.60393342879894,0.22863730330830528,GPU,94.44550400000001,8,64,0.0,0.0,27.962026666666667,162.88239742879873,0.6100516256815245,GPU,original sweep
768,0,768,65.33435076923078,89.43000421170855,65.33435076923078,220.09870575017013,28.153890214797133,6291456,20.971519999999998,20.971519999999998,12582912,41.943039999999996,0.0,41.943039999999996,0,220.09870575017013,832.7347200000063,1,768,0.0,0.0,41.943039999999996,944.7746902148035,0.23296422737587158,GPU,194.5262400000002,8,96,0.0,0.0,41.943039999999996,306.5662102147973,0.7179483531337545,GPU,original sweep
1024,0,1024,116.14995692307694,158.98667415414855,116.14995692307694,391.28658800030246,50.05136038186157,8388608,27.962026666666667,27.962026666666667,16777216,55.92405333333333,0.0,55.92405333333333,0,391.28658800030246,1488.291840000014,1,1024,0.0,0.0,55.92405333333333,1650.191307048542,0.23711589458081683,GPU,331.8142720000005,8,128,0.0,0.0,55.92405333333333,493.71373904852874,0.7925373694367489,GPU,original sweep
1536,0,1536,261.3374030769231,357.7200168468342,261.3374030769231,880.3948230006805,112.61556085918853,12582912,41.943039999999996,41.943039999999996,25165824,83.88607999999999,0.0,83.88607999999999,0,880.3948230006805,3366.374400000111,1,1536,0.0,0.0,83.88607999999999,3646.762120859299,0.24141822082796835,GPU,718.7504639999975,8,192,0.0,0.0,83.88607999999999,999.138184859186,0.881154215044598,GPU,supplement
2048,0,2048,464.59982769230777,635.9466966165942,464.59982769230777,1565.1463520012098,200.20544152744628,16777216,55.92405333333333,55.92405333333333,33554432,111.84810666666667,0.0,111.84810666666667,0,1565.1463520012098,6000.4147200001025,1,2048,0.0,0.0,111.84810666666667,6424.316374860881,0.24362846732234653,GPU,1368.2048000000054,8,256,0.0,0.0,111.84810666666667,1792.1064548607849,0.8733556802700061,GPU,supplement
1,128,129,1.2712705320791802,0.019559174505124247,1.2712705320791802,2.5621002386634846,0.006157517899761337,8192,0.027306666666666667,0.027306666666666667,16384,0.05461333333333333,6.990506666666667,0.05461333333333333,0,9.552606905330151,0.228393,1,1,0.09689400000000001,0.05461333333333333,0,0.2891638512330946,33.03527347763053,PIM,0.228393,1,1,0.09689400000000001,0.05461333333333333,0,0.2891638512330946,33.03527347763053,PIM,original sweep
2,128,130,1.3006092938368667,0.039421592025831814,1.3006092938368667,2.6406401796995653,0.012410501193317422,16384,0.05461333333333333,0.05461333333333333,32768,0.10922666666666667,6.990506666666667,0.10922666666666667,0,9.631146846366232,0.456786,1,2,0.09689400000000001,0.09689400000000001,0.012332666666666658,0.5907558345266507,16.303092214202657,PIM,0.309907,2,1,0.133806,0.10922666666666667,0,0.4315441678599841,22.317870483864557,PIM,original sweep
4,128,132,1.3597416818756143,0.08005615611399691,1.3597416818756143,2.7995395198652258,0.025202863961813843,32768,0.10922666666666667,0.10922666666666667,65536,0.21845333333333333,6.990506666666667,0.21845333333333333,0,9.790046186531892,0.913572,1,4,0.09689400000000001,0.09689400000000001,0.12155933333333332,1.2787875306284804,7.655725405549129,PIM,0.440637,4,1,0.183022,0.183022,0.03543133333333334,0.7197245306284805,13.60249063344137,PIM,original sweep
8,128,136,1.4798259160466096,0.16496420047732696,1.4798259160466096,3.1246160325705463,0.051933174224343674,65536,0.21845333333333333,0.21845333333333333,131072,0.43690666666666667,6.990506666666667,0.43690666666666667,0,10.115122699237213,1.8271440000000003,1,8,0.09689400000000001,0.09689400000000001,0.34001266666666663,2.6559965075576772,3.80840963851213,PIM,0.749775,8,1,0.29375799999999996,0.29375799999999996,0.1431486666666667,1.3817635075576769,7.320444232252235,PIM,original sweep
16,128,144,1.7272722167626002,0.3493359539519865,1.7272722167626002,3.8038803874771867,0.1099761336515513,131072,0.43690666666666667,0.43690666666666667,262144,0.8738133333333333,6.990506666666667,0.8738133333333333,0,10.794387054143854,3.6542880000000006,1,16,0.09689400000000001,0.09689400000000001,0.7769193333333333,5.414996800318218,1.9934244565960797,PIM,1.49955,8,2,0.29375799999999996,0.29375799999999996,0.5800553333333334,3.063394800318218,3.5236682692751713,PIM,original sweep
32,128,160,2.25127614769058,0.7763021198933034,2.25127614769058,5.278854415274464,0.24439140811455845,262144,0.8738133333333333,0.8738133333333333,524288,1.7476266666666667,6.990506666666667,1.7476266666666667,0,12.269361081941131,7.899168000000002,1,32,0.09689400000000001,0.09689400000000001,1.6507326666666666,11.541918741447894,1.063026118688649,PIM,3.072924,8,4,0.29375799999999996,0.29375799999999996,1.4538686666666667,6.518810741447892,1.8821471536104124,PIM,original sweep
