model,workload_id,variant,TTFT_ms,TBT_ms,E2E_ms,simultaneous_peak_KV_GiB,output_tokens,batch,source_sha256
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F0,1219.5555580934156,10.491819968898742,1376.9328576268967,3.92626953125,16,1,8b0fcf912073df419e4ea8220e9f04742063fb562c0a7edfee98b48b7f325ea9
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F1,30.51262276811888,10.491819968898742,187.88992230160002,7.84521484375,16,1,8b0fcf912073df419e4ea8220e9f04742063fb562c0a7edfee98b48b7f325ea9
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F2,35.00138773467042,5.843580545947591,122.65509592388429,7.960357666015625,16,1,8b0fcf912073df419e4ea8220e9f04742063fb562c0a7edfee98b48b7f325ea9
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F4,13.71492382855746,5.85554857794759,101.54815249777131,3.9546051025390625,16,1,8b0fcf912073df419e4ea8220e9f04742063fb562c0a7edfee98b48b7f325ea9
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F0,3298.6347622456196,15.81079392906538,3535.7966711816007,15.708984375,16,4,c11c87f0813dfc44bb348b02aa7f0094abd18531800a05a122b6345d513f9f6c
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F1,91.22954625000298,15.81079392906538,328.39145518598366,19.646484375,16,4,c11c87f0813dfc44bb348b02aa7f0094abd18531800a05a122b6345d513f9f6c
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F2,127.95513316913257,6.533243633070398,225.95378766518854,20.107177734375,16,4,c11c87f0813dfc44bb348b02aa7f0094abd18531800a05a122b6345d513f9f6c
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F4,43.25355266031475,6.283744618670398,137.50972194037072,4.08404541015625,16,4,c11c87f0813dfc44bb348b02aa7f0094abd18531800a05a122b6345d513f9f6c
LLAMA-7B,KVChime-CB-musique-0075,F0,1230.9322482059163,10.532187679133196,1557.4300662590454,3.96142578125,32,1,bc619c066232cf2bee14f1415efb01b5391971ccdc1c7db53a2fa4d5c3a09cb9
LLAMA-7B,KVChime-CB-musique-0075,F1,253.3356514695107,10.532187679133196,579.8334695226398,7.90771484375,32,1,bc619c066232cf2bee14f1415efb01b5391971ccdc1c7db53a2fa4d5c3a09cb9
