workload,rung,main_context,diff_tokens,diff_K_rows_sum,diff_K_rows_max,diff_QK_commands_sum,full_QK_commands_max,full_K_rows_max,full_token_load_max
W1_S1_rounds_12_turns,A3b,4176,160,10,3,20,176,11,1408
W1_S1_rounds_12_turns,A4c,4176,160,3,1,40,178,12,1408
W1_S1_rounds_12_turns,A4e,4176,160,1,1,40,96,6,768
W1_S1_rounds_48_turns,A3b,18576,736,46,12,92,752,47,6016
W1_S1_rounds_48_turns,A4c,18576,736,12,2,184,770,49,6080
W1_S1_rounds_48_turns,A4e,18576,736,3,2,184,418,25,3088
W1_S2_workers_1_turns,A3b,6160,176,22,11,44,370,35,2960
W1_S2_workers_1_turns,A4c,6160,176,3,1,44,386,25,3024
W1_S2_workers_1_turns,A4e,6160,176,1,1,44,144,9,1152
W1_S2_workers_4_turns,A3b,14608,704,22,6,88,544,34,4352
W1_S2_workers_4_turns,A4c,14608,704,12,2,176,562,36,4416
W1_S2_workers_4_turns,A4e,14608,704,3,3,176,448,20,2880
W1_S3_sessions_1_turns,A3b,8976,352,22,3,44,278,20,2224
W1_S3_sessions_1_turns,A4c,8976,352,3,1,88,306,19,2320
W1_S3_sessions_1_turns,A4e,8976,352,2,2,88,224,14,1792
W1_S3_sessions_4_turns,A3b,8976,352,22,11,44,370,35,2960
W1_S3_sessions_4_turns,A4c,8976,352,12,2,88,386,26,3024
W1_S3_sessions_4_turns,A4e,8976,352,2,1,88,240,12,1664
W1_S4_worker_lout_256_turns,A3b,14608,352,22,6,44,544,23,4352
W1_S4_worker_lout_256_turns,A4c,14608,352,6,1,88,552,24,4384
W1_S4_worker_lout_256_turns,A4e,14608,352,2,1,88,384,12,3072
W1_S4_worker_lout_32_turns,A3b,4752,352,22,6,44,236,23,1888
W1_S4_worker_lout_32_turns,A4c,4752,352,6,1,88,248,24,1936
W1_S4_worker_lout_32_turns,A4e,4752,352,2,1,88,176,12,1408
W1_S5_main_lout_32_turns,A3b,6768,352,22,6,44,224,23,1792
W1_S5_main_lout_32_turns,A4c,6768,352,6,1,88,238,24,1840
W1_S5_main_lout_32_turns,A4e,6768,352,2,1,88,192,12,1536
W1_S5_main_lout_512_turns,A3b,17808,352,22,11,44,370,23,2960
W1_S5_main_lout_512_turns,A4c,17808,352,6,1,88,386,19,3024
W1_S5_main_lout_512_turns,A4e,17808,352,2,1,88,356,18,2848
W1_S6_doc_tokens_1024_turns,A3b,8976,352,22,6,44,368,23,2944
W1_S6_doc_tokens_1024_turns,A4c,8976,352,6,1,88,380,24,2992
W1_S6_doc_tokens_1024_turns,A4e,8976,352,2,1,88,192,12,1536
W1_S6_doc_tokens_512_turns,A3b,8976,352,22,6,44,368,23,2944
W1_S6_doc_tokens_512_turns,A4c,8976,352,6,1,88,380,24,2992
W1_S6_doc_tokens_512_turns,A4e,8976,352,2,2,88,192,13,1536
W1_turns,A3b,8976,352,22,6,44,368,23,2944
W1_turns,A4c,8976,352,6,1,88,380,24,2992
W1_turns,A4e,8976,352,2,1,88,192,12,1536
