case,rung,channel,QK_column_requests
E2_hot,A4c,0,68
E2_hot,A4c,1,2
E2_hot,A4c,2,2
E2_hot,A4c,3,2
E2_hot,A4c,4,0
E2_hot,A4c,5,0
E2_hot,A4c,6,0
E2_hot,A4c,7,0
E2_hot,A4e,0,32
E2_hot,A4e,1,32
E2_hot,A4e,2,2
E2_hot,A4e,3,2
E2_hot,A4e,4,2
E2_hot,A4e,5,2
E2_hot,A4e,6,0
E2_hot,A4e,7,2
E2_balanced,A4c,0,36
E2_balanced,A4c,1,34
E2_balanced,A4c,2,2
E2_balanced,A4c,3,2
E2_balanced,A4c,4,0
E2_balanced,A4c,5,0
E2_balanced,A4c,6,0
E2_balanced,A4c,7,0
E2_balanced,A4e,0,32
E2_balanced,A4e,1,32
E2_balanced,A4e,2,2
E2_balanced,A4e,3,2
E2_balanced,A4e,4,2
E2_balanced,A4e,5,2
E2_balanced,A4e,6,0
E2_balanced,A4e,7,2
