rung,scan,request,channel,K_row,tokens,key_extent_start,value_extent_start
A3b,1,g00_s_t000,7,1,16,7516193792,7524582400
A3b,2,g00_s_t001,7,1,16,7516193792,7524582400
A3b,2,g00_s_t001,7,3,16,7516195840,7524584448
A3b,3,g00_s_t002,7,1,16,7516193792,7524582400
A3b,3,g00_s_t002,7,3,16,7516195840,7524584448
A3b,3,g00_s_t002,7,5,16,7516197888,7524586496
A3b,4,g00_s_t003,7,1,16,7516193792,7524582400
A3b,4,g00_s_t003,7,3,16,7516195840,7524584448
A3b,4,g00_s_t003,7,5,16,7516197888,7524586496
A3b,4,g00_s_t003,7,7,16,7516199936,7524588544
A4c,1,g00_s_t000,0,4096,16,4194304,12582912
A4c,2,g00_s_t001,0,4096,32,4194304,12582912
A4c,3,g00_s_t002,0,4096,48,4194304,12582912
A4c,4,g00_s_t003,0,4096,64,4194304,12582912
