run_length,n_ground_truth_runs,mean_ratio,aggregate_ratio
8,1,0.965217,0.965217
42,1,0.965217,0.965217
53,1,0.965217,0.965217
57,1,0.965217,0.965217
93,1,0.965217,0.965217
128,1,0.859978,0.859978
192,1,0.859978,0.859978
256,78,1.016105,1.009594
384,1,0.910965,0.910965
512,49,1.047256,1.041463
768,20,1.009147,1.033756
1024,16,1.058730,1.058730
1280,4,1.059494,1.059494
1536,28,1.034813,1.041328
1792,6,1.060661,1.060661
2048,28,1.035183,1.043072
2090,1,1.020202,1.020202
2304,18,1.061072,1.061072
2560,28,1.035283,1.044011
2816,12,1.000632,1.000340
3072,8,0.986057,0.986057
3328,8,0.991727,0.991727
4096,16,0.989860,0.989860
4352,8,0.993763,0.993763
4608,8,1.010500,1.010500
4864,20,1.013119,1.013119
5120,24,1.015588,1.015588
5376,20,0.986051,0.986051
5632,20,1.009113,1.009113
5888,8,0.983847,0.983847
6144,16,0.986900,0.986900
6656,16,0.992421,0.992421
7680,2,1.001246,1.001246
8192,9,0.985049,0.985746
8448,10,0.983704,0.984297
8464,74,1.030414,1.030350
8720,22,1.024394,1.024346
8976,21,1.023441,1.023396
9216,16,0.986542,0.986542
9232,53,1.028273,1.028221
9488,53,1.028275,1.028220
9728,16,0.989869,0.989869
10240,24,0.996154,0.986694
16384,17,0.978180,0.978343
16896,16,0.978976,0.978976
17408,16,0.978455,0.978455
17920,16,0.967690,0.967690
18432,7,0.969764,0.969764
18688,8,0.970521,0.970521
18944,5,0.971258,0.971258
19200,10,0.971976,0.971976
20480,16,0.979802,0.979802
25088,16,0.967689,0.967689
25344,2,0.978345,0.978345
25600,16,0.969125,0.969125
26112,15,0.970219,0.970219
26880,2,0.964138,0.964138
30720,2,0.977130,0.977130
38400,2,0.960975,0.960975
39168,2,0.962209,0.962209
