shape,run_length,ramulator_cycles,analytic_cycles,ratio,inside_calibrated_domain
decode ch=1 q=1,8192,16644,16285,0.978400,yes
prefill ch=16 q=8,8192,7505,7275,0.969400,yes
decode ch=1 q=1,16384,33442,32610,0.975100,yes
prefill ch=16 q=8,16384,14085,14505,1.029800,yes
decode ch=1 q=1,32768,68259,65260,0.956100,yes
prefill ch=16 q=8,32768,29218,28966,0.991400,yes
decode ch=1 q=1,39168,81078,78014,0.962200,yes
prefill ch=16 q=8,39168,35128,34853,0.992200,yes
decode ch=1 q=1,49152,102612,97910,0.954200,no
prefill ch=16 q=8,49152,43726,43427,0.993200,no
decode ch=1 q=1,65536,136546,130560,0.956200,no
prefill ch=16 q=8,65536,58672,57888,0.986600,no
decode ch=1 q=1,98304,206172,195860,0.950000,no
prefill ch=16 q=8,98304,87688,86810,0.990000,no
decode ch=1 q=1,131072,275361,261160,0.948400,no
prefill ch=16 q=8,131072,117580,115731,0.984300,no
decode ch=1 q=1,196608,413298,391759,0.947900,no
prefill ch=16 q=8,196608,176926,173574,0.981100,no
decode ch=1 q=1,262144,551668,522359,0.946900,no
prefill ch=16 q=8,262144,236710,231418,0.977600,no
