tag,top,cell_area_um2,period_ps,slack_ps,tns_ps,violations,area_report_sha256,area_source_path,qor_report_sha256,qor_source_path
gemv_flop_p1501,gemv_unit,6205.088,1502.0,11.8,0.0,0,4d8a06f0d0b475cc944aad7e8c667a6217a6b9856f174994808caa3aa59144e3,fig/plots/overhead/raw/gemv_flop_p1501/gemv_unit_area.rpt,b0311e933e009063f316e0e3c4bf6702f6e2ffb7e5f994ca957f8b29778a89b3,fig/plots/overhead/raw/gemv_flop_p1501/gemv_unit_qor.rpt
gemv_flop_p769,gemv_unit,7343.144,769.0,0.5,0.0,0,058203bae90684375f3c6026a5d527fbe7e9e040a63e442fa596d993d057044b,fig/plots/overhead/raw/gemv_flop_p769/gemv_unit_area.rpt,2b0e1de6dad1fd0f6364d874a71577f5c19aaa12c035422ad5b2450e7effe0f3,fig/plots/overhead/raw/gemv_flop_p769/gemv_unit_qor.rpt
accbg_attacc_p1501,accumulator_bg,1003.25,1502.0,201.2,0.0,0,7dc417e26baf638f000e9e7dea4f114832fc3472cc4b935105b25ba37ca44879,fig/plots/overhead/raw/accbg_attacc_p1501/accumulator_bg_area.rpt,ce443604ad55b758eae8a2fb15709779d0a30a5246520acac823c35950d44d5f,fig/plots/overhead/raw/accbg_attacc_p1501/accumulator_bg_qor.rpt
accbuf_attacc_p1501,accum_buffer_bg_attacc,62.023,1502.0,960.1,0.0,0,9fc7851eb0f4a01a85bee7cdec132734529ab14356cf4e72850cc8db764b77a6,fig/plots/overhead/raw/accbuf_attacc_p1501/accum_buffer_bg_attacc_area.rpt,fc33bbe89d3e89c2bf66aaa8d53a98d4b92cde762b84375f63e5aabc57a95a02,fig/plots/overhead/raw/accbuf_attacc_p1501/accum_buffer_bg_attacc_qor.rpt
accbg_fugue_p769,accumulator_bg,1393.6,769.0,3.7,0.0,0,d4c43d433630a578e7c69c2fab1f6ee17cc19aacb44b0f402e9be316275f6502,fig/plots/overhead/raw/accbg_fugue_p769/accumulator_bg_area.rpt,bbf7fc1122c7624bb44aa3f03dcff0c7fdf991e630968ae47e3b2a3ed0a0bb37,fig/plots/overhead/raw/accbg_fugue_p769/accumulator_bg_qor.rpt
accbuf_fugue_p769,accum_buffer_bg_fugue,250.718,769.0,182.5,0.0,0,8ac1e0793f2172498dd4004271ecc13e74e41e2712278a7c24fabdcccd6e16ba,fig/plots/overhead/raw/accbuf_fugue_p769/accum_buffer_bg_fugue_area.rpt,99ac690b68adebb822854ea36a193625343a046c2fc7f56c67520c9217ab9b78,fig/plots/overhead/raw/accbuf_fugue_p769/accum_buffer_bg_fugue_qor.rpt
sfmarray_attacc_p769,sfm_array_attacc,573089.586,769.0,0.0,0.0,0,b6d4ad4bda633338d8ad36287d8fb5d47d0347a263114634914d3b9a802690bd,fig/plots/overhead/raw/sfmarray_attacc_p769/sfm_array_attacc_area.rpt,bba1fb8be0c9a5116066271c6db1dc54f400ce64fa2b9d677857bc644586f5ff,fig/plots/overhead/raw/sfmarray_attacc_p769/sfm_array_attacc_qor.rpt
sfmarray_fugue_p769,sfm_array_fugue,1578384.728,769.0,0.0,0.0,0,e0bf0f054e9490a42bbc28b261c5066521bdadd412af2643fd66e11007538c9d,fig/plots/overhead/raw/sfmarray_fugue_p769/sfm_array_fugue_area.rpt,501e9d286c08b38a73cb9b53f9efe74e8ad1fc4f8679df268c3c0d0df46aa70f,fig/plots/overhead/raw/sfmarray_fugue_p769/sfm_array_fugue_qor.rpt
acclogic_p1501,accumulator_logic,1003.25,1502.0,201.2,0.0,0,6c62a95ca5e4e492d0fbfe2c7c01922837b8398be6735ef9c6d95d475cef502e,fig/plots/overhead/raw/acclogic_p1501/accumulator_logic_area.rpt,e96f681933dfc152cd50af60de7fe320288a905c0ec7bd5bd7865720b400edcc,fig/plots/overhead/raw/acclogic_p1501/accumulator_logic_qor.rpt
diffdec_p1501,diff_decoder_channel_dc_top,1543.278,1502.0,0.2,0.0,0,4a02267a0263d5b9ed82eb69727ff0235648c74e336a3961e7857dd6b202d29f,fig/plots/overhead/raw/diffdec_p1501/diff_decoder_channel_dc_top_area.rpt,a7616a5da4e6d90c79ee16f0b2f9bf88dfa8ce08129f013e6eb24669af64eb9d,fig/plots/overhead/raw/diffdec_p1501/diff_decoder_channel_dc_top_qor.rpt
