q,gpu_service_us,gpu_throughput_tokens_per_second,source_panels,source_kind
1,76.14702679956949,13132.489107318024,"b,e",original-published
2,76.4972724825682,26144.72300899028,"b,e",original-published
4,77.19958330665918,51813.75117156834,"b,e",original-published
8,78.61148278721512,101766.30329762804,"b,e",original-published
12,80.03308604426974,149937.9893130984,"b,e",original-published
16,81.46439307782302,196404.82664266808,"b,e",original-published
24,84.35611847442559,284508.1119667227,"b,e",original-published
32,87.2866589770228,366608.1435013297,"b,e",original-published
48,93.26418530020123,514667.01655620884,"b,e",integer-refinement
49,93.6429358266648,523264.24377275095,b,integer-refinement
50,94.02229283915955,531788.77572719,b,integer-refinement
51,94.40225633768543,540241.3245036049,b,integer-refinement
52,94.78282632224251,548622.5935404213,b,integer-refinement
53,95.16400279283074,556933.2777581819,b,integer-refinement
54,95.54578574945015,565174.0636850721,b,integer-refinement
55,95.92817519210072,573345.6295802551,b,integer-refinement
56,96.31117112078246,581448.6455550541,b,integer-refinement
57,96.69477353549536,589483.7736920296,b,integer-refinement
58,97.07898243623941,597451.6681619923,b,integer-refinement
59,97.46379782301466,605352.9753389931,b,integer-refinement
60,97.84921969582106,613188.3339133309,b,integer-refinement
61,98.23524805465863,620958.3750026189,b,integer-refinement
62,98.62188289952735,628663.7222609461,b,integer-refinement
63,99.00912423042726,636304.9919861727,b,integer-refinement
64,99.39697204735833,643882.7932253991,"b,e",integer-refinement
96,112.12832681360851,856161.8881514329,"b,e",original-published
128,125.48072327577333,1020077.0019367036,"b,e",original-published
192,154.0486412878469,1246359.580940667,"b,e",original-published
256,185.10072608357905,1383030.771496853,"b,e",original-published
384,257.6812002709893,1490213.4870381237,"b,e",original-published
512,349.38899433356016,1465415.3631158622,"b,e",original-published
513,350.15359911071755,1465071.3324177226,e,integer-refinement
514,350.9189502078137,1464725.6857904368,e,integer-refinement
515,351.68504762484844,1464378.4359844718,e,integer-refinement
516,352.4518913618218,1464029.5956598574,e,integer-refinement
517,353.2194814187339,1463679.1773869004,e,integer-refinement
518,353.9878177955846,1463327.1936468917,e,integer-refinement
519,354.756900492374,1462973.6568328054,e,integer-refinement
520,355.52672950910204,1462618.5792499948,e,integer-refinement
521,356.2973048457687,1462261.9731168796,e,integer-refinement
522,357.06862650237406,1461903.850565626,e,integer-refinement
523,357.8406944789181,1461544.2236428258,e,integer-refinement
524,358.6135087754008,1461183.1043101628,e,integer-refinement
525,359.38706939182214,1460820.5044450783,e,integer-refinement
526,360.16137632818214,1460456.4358414277,e,integer-refinement
527,360.93642958448083,1460090.9102101326,e,integer-refinement
528,361.7122291607181,1459723.9391798277,e,integer-refinement
529,362.4887750568941,1459355.5342975,e,integer-refinement
530,363.26606727300873,1458985.707029124,e,integer-refinement
531,364.04410580906205,1458614.4687602904,e,integer-refinement
