panel,source_panel,sample,model,q,cached_tokens,link_GBps,mode,gpu_service_us,pim_service_us,gpu_throughput_tokens_per_us,pim_throughput_tokens_per_us,gpu_throughput_tokens_per_second,pim_throughput_tokens_per_second,pim_over_gpu_throughput,displayed,original_marker,source_kind
A,b,0,LLAMA-7B,1,1024,300,plain,76.14702679956949,1.6492293476531426,0.013132489107318025,0.60634380622865,13132.489107318024,606343.80622865,46.17127806264598,false,true,original-published
A,b,1,LLAMA-7B,2,1024,300,plain,76.4972724825682,3.2985541607000797,0.02614472300899028,0.6063262576763401,26144.72300899028,606326.25767634,23.191152473401424,false,true,original-published
A,b,2,LLAMA-7B,4,1024,300,plain,77.19958330665918,6.5974901829753385,0.05181375117156834,0.6062911636188413,51813.75117156834,606291.1636188413,11.701356298471017,false,true,original-published
A,b,3,LLAMA-7B,8,1024,300,plain,78.61148278721512,13.196507812251395,0.10176630329762804,0.6062209876898604,101766.30329762804,606220.9876898604,5.9569913423787515,false,true,original-published
A,b,4,LLAMA-7B,12,1024,300,plain,80.03308604426974,19.797052887828166,0.1499379893130984,0.606150828004201,149937.9893130984,606150.828004201,4.04267678112213,false,true,original-published
A,b,5,LLAMA-7B,16,1024,300,plain,81.46439307782302,26.536236743038987,0.1964048266426681,0.6029490976785598,196404.82664266808,602949.0976785597,3.069930143700306,true,true,original-published
A,b,6,LLAMA-7B,24,1024,300,plain,84.35611847442559,40.62481479236279,0.2845081119667227,0.5907719240731615,284508.1119667227,590771.9240731614,2.0764677674366654,true,true,original-published
A,b,7,LLAMA-7B,32,1024,300,plain,87.2866589770228,54.42420662688944,0.3666081435013297,0.5879736606796895,366608.1435013297,587973.6606796895,1.6038205127256178,true,true,original-published
A,b,8,LLAMA-7B,48,1024,300,plain,93.26418530020123,82.92720765155131,0.5146670165562088,0.578820888334856,514667.01655620884,578820.888334856,1.1246512205268562,true,false,integer-refinement
A,b,9,LLAMA-7B,49,1024,300,plain,93.6429358266648,85.57688867143993,0.5232642437727509,0.5725844998657103,523264.24377275095,572584.4998657103,1.094254970944238,true,false,integer-refinement
A,b,10,LLAMA-7B,50,1024,300,plain,94.02229283915955,87.34077715672235,0.53178877572719,0.5724702896824596,531788.77572719,572470.2896824596,1.0764993843648543,true,false,integer-refinement
A,b,11,LLAMA-7B,51,1024,300,plain,94.40225633768543,89.10476110739856,0.5402413245036048,0.5723599880204983,540241.3245036049,572359.9880204983,1.059452437383248,true,false,integer-refinement
A,b,12,LLAMA-7B,52,1024,300,plain,94.78282632224251,90.86884052346856,0.5486225935404213,0.572253367605918,548622.5935404213,572253.3676059181,1.043072914502118,true,false,integer-refinement
A,b,13,LLAMA-7B,53,1024,300,plain,95.16400279283074,92.63301540493237,0.5569332777581819,0.5721502184541641,556933.2777581819,572150.2184541641,1.027322735601713,true,false,integer-refinement
A,b,14,LLAMA-7B,54,1024,300,plain,95.54578574945015,94.39728575178994,0.5651740636850722,0.5720503462566567,565174.0636850721,572050.3462566567,1.012166663358098,true,false,integer-refinement
A,b,15,LLAMA-7B,55,1024,300,plain,95.92817519210072,96.16165156404134,0.5733456295802551,0.5719535709447683,573345.6295802551,571953.5709447683,0.9975720428243152,true,false,integer-refinement
A,b,16,LLAMA-7B,56,1024,300,plain,96.31117112078246,97.92611284168652,0.581448645555054,0.5718597254088202,581448.6455550541,571859.7254088202,0.9835085691237957,true,false,integer-refinement
A,b,17,LLAMA-7B,57,1024,300,plain,96.69477353549536,99.6906695847255,0.5894837736920296,0.5717686543529193,589483.7736920296,571768.6543529193,0.9699480797780782,true,false,integer-refinement
A,b,18,LLAMA-7B,58,1024,300,plain,97.07898243623941,101.45532179315826,0.5974516681619924,0.5716802132691209,597451.6681619923,571680.2132691209,0.9568643686741135,true,false,integer-refinement
A,b,19,LLAMA-7B,59,1024,300,plain,97.46379782301466,103.22006946698484,0.6053529753389931,0.5715942675166604,605352.9753389931,571594.2675166604,0.9442330190853888,true,false,integer-refinement
A,b,20,LLAMA-7B,60,1024,300,plain,97.84921969582106,104.98491260620519,0.6131883339133309,0.5715106914939097,613188.3339133309,571510.6914939097,0.9320312535083031,true,false,integer-refinement
A,b,21,LLAMA-7B,61,1024,300,plain,98.23524805465863,106.74985121081934,0.6209583750026189,0.5714293678923414,620958.3750026189,571429.3678923415,0.9202377983708352,true,false,integer-refinement
A,b,22,LLAMA-7B,62,1024,300,plain,98.62188289952735,108.5148852808273,0.628663722260946,0.5713501870231836,628663.7222609461,571350.1870231837,0.9088327619229593,true,false,integer-refinement
A,b,23,LLAMA-7B,63,1024,300,plain,99.00912423042726,110.28001481622904,0.6363049919861727,0.5712730462086298,636304.9919861727,571273.0462086299,0.8977975238343626,true,false,integer-refinement
A,b,24,LLAMA-7B,64,1024,300,plain,99.39697204735833,112.04523981702458,0.6438827932253991,0.5711978492304998,643882.7932253991,571197.8492304998,0.8871146352105498,true,false,integer-refinement
A,b,25,LLAMA-7B,96,1024,300,plain,112.12832681360851,172.12639757040557,0.8561618881514329,0.5577296763021646,856161.8881514329,557729.6763021647,0.6514301606047626,true,true,original-published
A,b,26,LLAMA-7B,128,1024,300,plain,125.48072327577333,234.66767988703228,1.0200770019367036,0.5454521903553932,1020077.0019367036,545452.1903553932,0.5347166824855432,true,true,original-published
A,b,27,LLAMA-7B,192,1024,300,plain,154.0486412878469,367.1306182100249,1.2463595809406671,0.5229746321244236,1246359.580940667,522974.63212442363,0.4196017265978074,true,true,original-published
A,b,28,LLAMA-7B,256,1024,300,plain,185.10072608357905,509.4340547859952,1.383030771496853,0.5025184272526526,1383030.771496853,502518.4272526526,0.36334580372986014,true,true,original-published
A,b,29,LLAMA-7B,384,1024,300,plain,257.6812002709893,851.9108386968923,1.4902134870381236,0.4507513962228461,1490213.4870381237,450751.3962228461,0.3024743770899147,true,true,original-published
A,b,30,LLAMA-7B,512,1024,300,plain,349.38899433356016,1214.8506716197226,1.4654153631158622,0.4214509749723942,1465415.3631158622,421450.9749723942,0.28759830528613917,true,true,original-published
A,b,31,LLAMA-7B,768,1024,300,plain,569.4877000837303,2115.5131485012193,1.3485804871414835,0.36303248719777803,1348580.4871414835,363032.487197778,0.2691960106639829,true,true,original-published
A,b,32,LLAMA-7B,1024,1024,300,plain,838.4972293339382,3211.421485430313,1.221232419352675,0.31886191353134996,1221232.4193526749,318861.91353135,0.26109846780874485,true,true,original-published
A,b,33,LLAMA-7B,1536,1024,300,plain,1523.2487583344673,5988.975739432009,1.0083710829211343,0.2564712342858269,1008371.0829211343,256471.2342858269,0.2543421153479128,true,true,original-published
A,b,34,LLAMA-7B,2048,1024,300,plain,2403.6435813351477,10237.324889624337,0.8520398015343028,0.2000522619024893,852039.8015343028,200052.2619024893,0.23479215588549623,false,true,original-published
B,e,0,LLAMA-7B,1,1024,300,mq,76.14702679956949,1.6492293476531426,0.013132489107318025,0.60634380622865,13132.489107318024,606343.80622865,46.17127806264598,false,true,original-published
B,e,1,LLAMA-7B,2,1024,300,mq,76.4972724825682,2.0566191607000794,0.02614472300899028,0.9724697883876536,26144.72300899028,972469.7883876537,37.19564319167789,false,true,original-published
