model,config,k,workload,agents,rung,makespan_s,energy_nj,link_bytes,event_count,policy,kv_mapping,decode_attn,pim_prefill_mode,energy_gpu_nj,energy_pim_nj,energy_link_nj,energy_die_nj,energy_tlb_nj,gpu_time_s_unoverlapped,pim_time_s_unoverlapped,pim_pool_time_s_unoverlapped,die_time_s_unoverlapped,prefill_rows_gpu,prefill_rows_pim,prefill_requests_gpu,prefill_requests_pim,energy_prefill_nj,energy_decode_nj,prefill_time_s,decode_time_s,power_prefill_w,power_decode_w,power_overall_w,requests,tiers,history_rows,cacheblend_batch_size,gemv_buffer_bytes,pim_sweep_query_capacity,pim_pe_freq_ghz,pim_batch_command,engine,workload_kind_reported,overlap_passed,overlap_events_checked
GPT-13B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A1,52.393738686013386,71540571108984.23,280625152000.0,8702720.0,no-reuse-physical,private,pim,gpu,4889659631947.446,66645074370515.125,5837003161.539519,104191.75424062418,,25.687462462756542,25.047876094044973,10.05732503556206,0.0045710968973859106,13291520.0,0.0,32,0,57824514446196.83,13716056661641.496,45.47397589901171,6.919762787001673,1271.5957490634448,1982.1570599798915,1365.4412321616235,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,8702720.0
GPT-13B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A2,198.52977144018766,4428908771442.866,35844731699200.0,35288.0,recompute,none,gpu,gpu,3683338352098.9224,,745570419343.4127,,,79.04733244286032,,0.0,0.0,724800.0,0.0,32,0,1126039292103.4688,3302869479338.8,198.52977144018766,0.0,5.671891343725835,,22.308537099067742,32,2,4096.0,,,,,,dag,supervisor,,
GPT-13B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A3,17.152017751847897,14266046873125.805,148175282208.0,4597032.0,recompute,naive,pim,gpu,1306538397885.869,12956426361145.7,3082045869.904839,40376.25555196369,27637.260199993623,10.219384808693349,5.5612622646827586e-05,10.0917819087502,0.00177138563243776,724800.0,0.0,32,0,373889889203.31714,13892156983676.371,4.534846980908308,12.617170770939587,82.44818199542176,1101.0516728261607,831.7416107844706,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,4597032.0
GPT-13B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A3a,15.830002181712954,14386736243835.93,148175282208.0,4597032.0,recompute,naive-mask,pim,gpu,1306538397885.869,13077115759058.512,3082045869.904839,40376.25555196369,497.21540000090624,10.219384808693349,5.5612622646827586e-05,10.161755248943594,0.00177138563243776,724800.0,0.0,32,0,373889889203.31714,14012846354365.742,4.534846980908308,11.295155200804647,82.44818199542176,1240.6068004596777,908.8271801033417,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,4597032.0
GPT-13B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A3b,12.898179124492524,14278087615058.207,148175282208.0,7483432.0,recompute,naive,pim,gpu,1306538397885.869,12968466980948.355,3082045869.904839,162376.74195280223,27637.260199993623,10.219384808693349,5.5612622646827586e-05,9.628837510647502,0.007123786587118426,724800.0,0.0,32,0,373889889203.31714,13904197725618.045,4.534846980905934,8.36333214358659,82.44818199546492,1662.5188964042832,1106.9847516650902,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,7483432.0
GPT-13B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A4,11.647593269281224,14397347551560.652,148175282208.0,7209512.0,recompute,master-diff,pim,gpu,1306538397885.869,13087726959610.719,3082045869.904839,147893.2859529248,200.3993000001259,10.219384808693349,5.5612622646827586e-05,9.770288556324319,0.006488368926071017,724800.0,0.0,32,0,373889889203.31714,14023457662820.672,4.518052837812932,7.129540431468292,82.75465175487129,1966.9511376812004,1236.0791812272062,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,7209512.0
GPT-13B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A4b,11.647974519763986,14398205211257.426,148175282208.0,7414312.0,recompute,master-diff,pim,gpu,1306538397885.869,13088584610728.22,3082045869.904839,156583.3595527554,200.3993000001259,10.219384808693349,5.5612622646827586e-05,9.788526037265205,0.006869619522681122,724800.0,0.0,32,0,373889889203.31714,14024315322745.412,4.518052837812932,7.129921681951054,82.75465175487129,1966.9662512909613,1236.1123547125655,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,7414312.0
GPT-13B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A5,9.079139119922969,7033016519469.469,19791896608.0,9001392.0,recompute,master-diff,pim,pim,1215306438113.7646,5817298137222.677,411671449.4459931,272396.8686803959,236.1405000001862,8.330729395890183,5.5612622646827586e-05,6.6317493745474705,0.011950585632759383,338560.0,386240.0,1,31,2665505664849.027,4367510854414.36,2.4292191171512822,6.649920002771687,1097.268519759895,656.7764503323319,774.6347342598204,32,2,4096.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,9001392.0
GPT-13B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A6,9.079139119922969,7033016519469.469,19791896608.0,9001392.0,recompute,master-diff,pim,dynamic,1215306438113.7646,5817298137222.677,411671449.4459931,272396.8686803959,236.1405000001862,8.330729395890183,5.5612622646827586e-05,6.6317493745474705,0.011950585632759383,338560.0,386240.0,1,31,2665505664849.027,4367510854414.36,2.4292191171512822,6.649920002771687,1097.268519759895,656.7764503323319,774.6347342598204,32,2,4096.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,9001392.0
GPT-175B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A1,137.58093394176868,399783755353510.94,404100218880.0,20886528.0,no-reuse-physical,private,pim,gpu,67498540691168.48,332251593386950.06,33621138211.971924,150036.12610665223,,104.31984404991634,30.9139745553643,11.92848428474385,0.0016455948830218677,31899648.0,0.0,32,0,313470643032070.3,86313112265746.14,108.0066548902677,29.57427905150098,2902.327114477801,2918.519572884246,2905.8078317939026,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,20886528.0
GPT-175B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A2,377.3705625694912,34796303809101.953,51616413646848.0,60320.0,recompute,none,gpu,gpu,30501818193689.21,,4294485615417.974,,,205.31585041336362,,0.0,0.0,1739520.0,0.0,32,0,8414504617900.802,26381799191205.65,377.3705625694912,0.0,22.297723915206838,,92.20725530941318,32,2,4096.0,,,,,,dag,supervisor,,
GPT-175B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A3,56.289040554880884,91354781441572.25,213372395552.0,10148096.0,recompute,naive,pim,gpu,16809496387181.504,74527532360607.33,17752583310.70256,41459.008561794566,66329.75220005782,40.12877609121871,2.0020544152973957e-05,12.132060786356837,0.00045472203342510097,1739520.0,0.0,32,0,4081456226943.5713,87273325213005.84,12.309718013820252,43.97932254106063,331.56374681867425,1984.4172254250714,1622.9585820085679,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,10148096.0
GPT-175B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A3a,53.116202163727415,92049008361148.62,213372395552.0,10148096.0,recompute,naive-mask,pim,gpu,16809496387181.504,75221759345293.66,17752583310.70256,41459.008561794566,1193.624200003332,40.12877609121871,2.0020544152973957e-05,12.216028794572534,0.00045472203342510097,1739520.0,0.0,32,0,4081456226943.5713,87967552131595.94,12.309718013820252,40.80648414990716,331.56374681867425,2155.7248551097255,1732.9742077080969,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,10148096.0
GPT-175B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A3b,45.35524930240001,91503176728882.83,213372395552.0,17543936.0,recompute,naive,pim,gpu,16809496387181.504,74675927461660.52,17752583310.70256,229409.00663998185,66329.75220005782,40.12877609121871,2.0020544152973957e-05,12.048470756224212,0.002516155923601833,1739520.0,0.0,32,0,4081456226943.5713,87421720514690.47,12.309718013820252,33.04553128857976,331.56374681867425,2645.4929639730935,2017.4770977180112,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,17543936.0
GPT-175B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A4,42.07700169685154,92174542928285.61,213372395552.0,15435008.0,recompute,master-diff,pim,gpu,16809496387181.504,75347293754572.1,17752583310.70256,200454.76766306834,480.75360000176914,40.12877609121871,2.0020544152973957e-05,11.760078375289593,0.002198586090650817,1739520.0,0.0,32,0,4081456226943.5713,88093086708727.53,12.269412070382716,29.807589626468825,332.65295871803414,2955.391154154303,2190.6157570914247,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,15435008.0
GPT-175B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A4b,42.07700169685154,92174542928285.61,213372395552.0,15435008.0,recompute,master-diff,pim,gpu,16809496387181.504,75347293754572.1,17752583310.70256,200454.76766306834,480.75360000176914,40.12877609121871,2.0020544152973957e-05,11.760078375289593,0.002198586090650817,1739520.0,0.0,32,0,4081456226943.5713,88093086708727.53,12.269412070382716,29.807589626468825,332.65295871803414,2955.391154154303,2190.6157570914247,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,15435008.0
