model,config,k,rung,tier,start_s,end_s,duration_s,requests,prefill_end_s,first_token_s,prefill_s,decode_s
GPT-13B,baseline,8,A1,0,0.0,19.628076215404608,19.628076215404608,16,16.22867144261446,16.24195036750817,16.22867144261446,3.399404772790149
GPT-13B,baseline,8,A1,1,19.628076215404608,52.393738686013386,32.765662470608774,16,48.87338067180186,48.887132070294875,29.245304456397253,3.5203580142115243
GPT-13B,baseline,8,A2,0,0.0,80.85760113292208,80.85760113292208,16,80.85760113292208,2.2686072601850413,80.85760113292208,0.0
GPT-13B,baseline,8,A2,1,80.85760113292208,198.52977144018766,117.67217030726557,16,198.52977144018766,0.0,117.67217030726557,0.0
GPT-13B,baseline,8,A3,0,0.0,6.946228919419512,6.946228919419512,16,1.8722822523303029,1.8920857307237624,1.8722822523303029,5.073946667089209
GPT-13B,baseline,8,A3,1,6.946228919419512,17.152017751847897,10.205788832428386,16,9.608793647997517,9.638197048270008,2.6625647285780056,7.543224103850379
GPT-13B,baseline,8,A3a,0,0.0,6.946228919419512,6.946228919419512,16,1.8722822523303029,1.8920857307237624,1.8722822523303029,5.073946667089209
GPT-13B,baseline,8,A3a,1,6.946228919419512,15.830002181712954,8.883773262293442,16,9.608793647997517,9.633081371949519,2.6625647285780056,6.221208533715437
GPT-13B,baseline,8,A3b,0,0.0,5.322297430142474,5.322297430142474,16,1.8722822523303029,1.885755628444363,1.8722822523303029,3.4500151778121717
GPT-13B,baseline,8,A3b,1,5.322297430142474,12.898179124492524,7.575881694350049,16,7.984862158718106,8.004054773232774,2.6625647285756315,4.913316965774418
GPT-13B,baseline,8,A4,0,0.0,5.313661521710167,5.313661521710167,16,1.8654178009413453,1.87888504421532,1.8654178009413453,3.448243720768822
GPT-13B,baseline,8,A4,1,5.313661521710167,11.647593269281224,6.333931747571056,16,7.966296558581754,7.9806765989565,2.6526350368715867,3.6812967106994696
