model,config,rung,makespan_s,energy_nj,kv_mapping,pim_prefill_mode,link_bytes,event_count
GPT-13B,C-hi_k8,A5,11.235850783797318,2315869455529.8813,master-diff,pim,27662774784,11341232
GPT-13B,C-hi_k8,A6,11.235850783797318,2315869455529.8813,master-diff,dynamic,27662774784,11341232
GPT-175B,C-hi_k8,A5,42.58154712982143,19544972916859.617,master-diff,pim,39834382848,26434016
GPT-175B,C-hi_k8,A6,42.58154712982143,19544972916859.617,master-diff,dynamic,39834382848,26434016
LLAMA-33B,C-hi_k8,A5,25.47846269849713,5514729180398.337,master-diff,pim,53942383104,18056312
LLAMA-65B,C-hi_k8,A5,23.79774996245985,7682046319602.224,master-diff,pim,22130225664,21458752
LLAMA-7B,C-hi_k8,A5,20.503951559533878,1918756003454.6382,master-diff,pim,35408343552,10026336
LLAMA3-8B,C-hi_k8,A5,21.127263283961632,1973447217951.9292,master-diff,pim,35408343552,15246016
LLAMA3-8B,C-hi_k8,A6,18.70527949137319,1463078473168.1765,master-diff,dynamic,230269415936,9223104
GPT-13B,C-lo_k8,A5,8.025545592367578,1575592480459.8228,master-diff,pim,20951872000,10665392
GPT-13B,C-lo_k8,A6,8.025545592367578,1575592480459.8228,master-diff,dynamic,20951872000,10665392
GPT-175B,C-lo_k8,A5,34.467216897595016,16412265540521.363,master-diff,pim,30170690048,24812000
GPT-175B,C-lo_k8,A6,34.467216897595016,16412265540521.363,master-diff,dynamic,30170690048,24812000
LLAMA-33B,C-lo_k8,A5,19.024253727120858,3830531515129.8364,master-diff,pim,40856138240,17042552
LLAMA-33B,C-lo_k8,A6,19.024253727120858,3830531515129.8364,master-diff,dynamic,40856138240,17042552
LLAMA-65B,C-lo_k8,A5,18.713479513879438,6300574767671.767,master-diff,pim,16761500160,20107072
LLAMA-65B,C-lo_k8,A6,18.713479513879438,6300574767671.767,master-diff,dynamic,16761500160,20107072
LLAMA-7B,C-lo_k8,A5,11.530270077839642,1121590050094.9197,master-diff,pim,26818392576,9485664
LLAMA3-8B,C-lo_k8,A5,12.232672604809022,1223211521402.6157,master-diff,pim,26818392576,13869760
LLAMA3-8B,C-lo_k8,A6,11.492830708035871,1068349521842.1047,master-diff,dynamic,91756704256,9223104
