workload,model,ablation,policy,engine,kv_mapping,decode_attn,pim_prefill_mode,pim_prefill_share,prefill_side_census,pim_attn_rows,gpu_attn_rows,makespan_s,link_bytes,event_count,gpu_time_s_unoverlapped,pim_pool_time_s_unoverlapped,die_time_s_unoverlapped,energy_total_nj,energy_gpu_nj,energy_link_nj,energy_pim_nj,energy_die_nj,energy_tlb_nj
wl_baseline_alltoall_N16_C16_D2.json,LLAMA-7B,A1,no-reuse-physical,dag,private,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,6684672,91.13685439636387,229814304768,6995968,17.65742142416965,90.95291299693824,0.05851004028603574,17350022705457.24,1744518216408.9004,2390068769.626623,15603114286917.209,133365.44542707287,0.0
wl_baseline_alltoall_N16_C16_D2.json,LLAMA-7B,A2,recompute,dag,none,gpu,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,628992,141.5061668435473,29255169736704,32736,43.988934387854805,0.0,0.0,1941227656571.895,1636973891310.0664,304253765261.77057,0.0,0.0,0.0
wl_baseline_alltoall_N16_C16_D2.json,LLAMA-7B,A4,recompute,dag,master-diff,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,628992,17.297898673351533,126384882176,7653824,8.907125020882848,84.58243826541721,0.10888675971368525,1733037379772.2246,669160425251.4852,1314402774.638477,1062562303393.7719,248192.1246242593,159.34660000006411
wl_baseline_alltoall_N16_C16_D2.json,LLAMA-7B,A4b,recompute,dag,master-diff,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,628992,15.215122044767124,126384882176,7653824,8.907125020882848,84.45213752466046,0.10888675971368525,1733037379750.7234,669160425251.4852,1314402774.638477,1062562303381.6016,248192.1246242593,159.34660000006411
wl_baseline_alltoall_N16_C16_D2.json,LLAMA-7B,A5,recompute,dag,master-diff,pim,pim,0.7656,"pim=31,gpu=1,mixed=0,none=0/32",481536,147456,13.25258807830187,28965880320,9620832,7.525199127358292,80.27024874845321,0.2088635700277931,1298634307758.0972,615018431878.0312,301245155.32240856,683314154435.9224,476075.266962034,199.7992000000896
wl_baseline_alltoall_N16_C16_D2.json,LLAMA-7B,A6,recompute,dag,master-diff,pim,dynamic,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,628992,12.077544560411143,126384882176,7653824,8.907125020882848,38.256138379278525,0.10888675971368525,1038805737965.9442,669160425251.4852,1314402774.638477,368330661607.0062,248192.1246242593,159.34660000006411
wl_baseline_alltoall_N16_C16_D2.json,LLAMA3-8B,A1,no-reuse-physical,dag,private,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,6684672,159.5044971518423,229814304768,6995968,20.771127218109473,79.43148677624032,0.05851004028603574,31357481853044.016,2114397818960.0767,2390068769.626623,29240693832149.117,133365.44542707287,0.0
wl_baseline_alltoall_N16_C16_D2.json,LLAMA3-8B,A2,recompute,dag,none,gpu,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,628992,69.3022386682603,7313792434176,32736,44.922930554339835,0.0,0.0,1847804398054.5955,1771740956739.512,76063441315.44264,0.0,0.0,0.0
wl_baseline_alltoall_N16_C16_D2.json,LLAMA3-8B,A3b,recompute,dag,naive,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,628992,15.552988050310786,126384882176,9507264,9.841121187363324,79.781183141996,0.11371593393824134,1854448473182.5334,803927490677.6685,1314402774.638477,1049206320013.661,259199.55118107045,593.9710000007568
wl_baseline_alltoall_N16_C16_D2.json,LLAMA3-8B,A4,recompute,dag,master-diff,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,628992,20.2750912286949,126384882176,6474176,9.841121187363324,80.56781630423657,0.06334002176583273,1853814956377.96,803927490677.6685,1314402774.638477,1048572918375.4066,144374.71201352176,221.2474000002784
wl_baseline_alltoall_N16_C16_D2.json,LLAMA3-8B,A4b,recompute,dag,master-diff,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,628992,16.16933846269102,126384882176,9223104,9.841121187363324,80.10082575923734,0.10884228047740815,1854070961813.2585,803927490677.6685,1314402774.638477,1048828820008.6552,248090.7404322568,221.2474000002784
wl_baseline_alltoall_N16_C16_D2.json,LLAMA3-8B,A5,recompute,dag,master-diff,pim,pim,0.7656,"pim=31,gpu=1,mixed=0,none=0/32",481536,147456,14.118328253443194,28965880320,14213824,8.459195293837316,75.38889052319861,0.20881909079151595,1390587229728.9692,749785497304.6326,301245155.32240856,640500010977.5681,475973.88277003326,383.0578000007347
wl_baseline_alltoall_N16_C16_D2.json,LLAMA3-8B,A6,recompute,dag,master-diff,pim,dynamic,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,628992,12.887272251853567,126384882176,9223104,9.841121187363324,33.73975063696207,0.10884228047740815,1159839320004.2642,803927490677.6685,1314402774.638477,354597178278.9836,248090.7404322568,221.2474000002784
wl_baseline_alltoall_N16_C16_D2.json,GPT-13B,A1,no-reuse-physical,dag,private,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,8355840,30.245327130903963,179542425600,8702720,18.327508672355474,12.944138731073283,0.0045710968973859106,26614408525908.316,3421271669808.705,3734482452.458491,23189402269509.742,104191.75424062418,0.0
wl_baseline_alltoall_N16_C16_D2.json,GPT-13B,A2,recompute,dag,none,gpu,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,786240,129.40311947451636,22855601356800,35288,53.21778161852074,0.0,0.0,3276780260917.628,2801383752695.801,475396508221.393,0.0,0.0,0.0
wl_baseline_alltoall_N16_C16_D2.json,GPT-13B,A3b,recompute,dag,naive,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,786240,10.618790070233736,98738192896,8444712,9.365519909781918,12.589773385581546,0.007869397995275723,2122246421838.228,1289072400227.518,2053754412.2933667,831120087172.8268,179371.9101453251,496.83150000092576
wl_baseline_alltoall_N16_C16_D2.json,GPT-13B,A4,recompute,dag,master-diff,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,786240,10.834474118830288,98738192896,7761192,9.365519909781918,12.741078199440542,0.006471479140880958,2121818230856.4507,1289072400227.518,2053754412.2933667,830691928438.4446,147508.306944702,199.34970000011742
wl_baseline_alltoall_N16_C16_D2.json,GPT-13B,A4b,recompute,dag,master-diff,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,786240,10.657274835651563,98738192896,8375592,9.365519909781918,12.57142867885358,0.007615230930793465,2121946904698.7896,1289072400227.518,2053754412.2933667,830820576118.2201,173578.5277454258,199.34970000011742
wl_baseline_alltoall_N16_C16_D2.json,GPT-13B,A5,recompute,dag,master-diff,pim,pim,0.7656,"pim=31,gpu=1,mixed=0,none=0/32",601920,184320,8.609482139919821,22629597696,10834352,7.6381125428743815,11.636586734168986,0.015425919236512521,1740032977960.6665,1204296300098.2415,470695632.0755916,535265630273.50006,351612.2327243825,249.85720000023986
