model,config,rung,makespan_s,energy_nj,kv_mapping,pim_prefill_mode,link_bytes,event_count
GPT-13B,C-hi_k8,A3b,15.496472106722956,3137605783633.948,naive,gpu,179897987584,8444712
GPT-13B,C-hi_k8,A4b,15.666524996662805,3137297072566.0127,master-diff,gpu,179897987584,8375592
GPT-13B,C-hi_k8,A5,11.235850783797318,2315869455529.8813,master-diff,pim,27662774784,11341232
GPT-13B,C-hi_k8,A6,11.235850783797318,2315869455529.8813,master-diff,dynamic,27662774784,11341232
GPT-175B,C-hi_k8,A5,42.58154712982143,19544972916859.617,master-diff,pim,39834382848,26434016
GPT-175B,C-hi_k8,A6,42.58154712982143,19544972916859.617,master-diff,dynamic,39834382848,26434016
LLAMA-33B,C-hi_k8,A3b,32.981282811189594,7307263562310.313,naive,gpu,350801048064,12482732
LLAMA-33B,C-hi_k8,A4b,32.399519074807884,7306843890409.256,master-diff,gpu,350801048064,13607852
LLAMA-33B,C-hi_k8,A5,25.47846269849713,5514729180398.337,master-diff,pim,53942383104,18056312
LLAMA-33B,C-hi_k8,A6,25.47846269849713,5514729180398.337,master-diff,dynamic,53942383104,18056312
LLAMA-65B,C-hi_k8,A4b,31.980154464738977,8794431177491.928,master-diff,gpu,143918395904,15527472
LLAMA-65B,C-hi_k8,A5,23.79774996245985,7682046319602.224,master-diff,pim,22130225664,21458752
LLAMA-7B,C-hi_k8,A4b,24.686165888356985,2850799775556.1533,master-diff,gpu,230269415936,7653824
LLAMA-7B,C-hi_k8,A5,20.503951559533878,1918756003454.6382,master-diff,pim,35408343552,10026336
LLAMA-7B,C-hi_k8,A6,17.956188933941913,1343809138512.8418,master-diff,dynamic,230269415936,7653824
LLAMA3-8B,C-hi_k8,A3b,23.860602753619965,2970458389966.585,naive,gpu,230269415936,9507264
LLAMA3-8B,C-hi_k8,A4b,25.480979291056574,2970069110308.9556,master-diff,gpu,230269415936,9223104
LLAMA3-8B,C-hi_k8,A5,21.127263283961632,1973447217951.9292,master-diff,pim,35408343552,15246016
LLAMA3-8B,C-hi_k8,A6,18.70527949137319,1463078473168.1765,master-diff,dynamic,230269415936,9223104
