model,config,k,rung,tier,start_s,end_s,duration_s,requests,prefill_end_s,first_token_s,prefill_s,decode_s
GPT-13B,C-hi,8,A1,0,0.0,57.595471347535295,57.595471347535295,16,46.56325556315505,46.60632247206263,46.56325556315505,11.032215784380242
GPT-13B,C-hi,8,A1,1,57.595471347535295,138.39207757854058,80.79660623100528,16,125.42460991640984,125.47523640289033,67.82913856887454,12.967467662130744
GPT-13B,C-hi,8,A2,0,0.0,156.96345198164602,156.96345198164602,16,156.96345198164602,6.388389347859051,156.96345198164602,0.0
GPT-13B,C-hi,8,A2,1,156.96345198164602,349.7082197557013,192.74476777405528,16,349.7082197557013,0.0,192.74476777405528,0.0
GPT-13B,C-hi,8,A3,0,0.0,16.199699510281125,16.199699510281125,16,5.429431380339691,5.471472676173036,5.429431380339691,10.770268129941433
GPT-13B,C-hi,8,A3,1,16.199699510281125,37.3830400906651,21.183340580383973,16,21.676409333146655,21.737542800382275,5.47670982286553,15.706630757518443
GPT-13B,C-hi,8,A3a,0,0.0,16.199699510281125,16.199699510281125,16,5.429431380339691,5.471472676173036,5.429431380339691,10.770268129941433
GPT-13B,C-hi,8,A3a,1,16.199699510281125,34.87147223751039,18.671772727229264,16,21.676409333146655,21.727924334579715,5.47670982286553,13.195062904363734
GPT-13B,C-hi,8,A3b,0,0.0,16.068682227872113,16.068682227872113,16,5.429431380339691,5.47096088941386,5.429431380339691,10.639250847532422
GPT-13B,C-hi,8,A3b,1,16.068682227872113,36.760680799507035,20.691998571634922,16,21.545392050737643,21.604606213260947,5.47670982286553,15.215288748769392
GPT-13B,C-hi,8,A4,0,0.0,15.967606379112699,15.967606379112699,16,5.41592307430235,5.457111309576737,5.41592307430235,10.551683304810348
GPT-13B,C-hi,8,A4,1,15.967606379112699,34.29179231255214,18.32418593343944,16,21.427950276081035,21.47817275758175,5.460343896968336,12.863842036471105
GPT-13B,C-hi,8,A4b,0,0.0,15.968867399116974,15.968867399116974,16,5.41592307430235,5.457116235436706,5.41592307430235,10.552944324814623
GPT-13B,C-hi,8,A4b,1,15.968867399116974,34.24508369477527,18.276216295658294,16,21.42921129608531,21.47924639618887,5.460343896968336,12.815872398689958
GPT-13B,C-hi,8,A5,0,0.0,9.895639148403706,9.895639148403706,16,4.935049844487052,4.954397868820772,4.935049844487052,4.960589303916654
GPT-13B,C-hi,8,A5,1,9.895639148403706,24.45853004909816,14.562890900694455,16,17.88970359014904,17.91533616705218,7.9940644417453335,6.568826458949122
GPT-13B,C-hi,8,A6,0,0.0,9.895639148403706,9.895639148403706,16,4.935049844487052,4.954397868820772,4.935049844487052,4.960589303916654
GPT-13B,C-hi,8,A6,1,9.895639148403706,24.45853004909816,14.562890900694455,16,17.88970359014904,17.91533616705218,7.9940644417453335,6.568826458949122
GPT-13B,C-lo,8,A1,0,0.0,11.636069463279368,11.636069463279368,16,6.409609279144019,6.429997455232294,6.409609279144019,5.226460184135349
GPT-13B,C-lo,8,A1,1,11.636069463279368,34.48691787638211,22.85084841310274,16,27.325205826989272,27.35315358068166,15.689136363709904,7.161712049392836
GPT-13B,C-lo,8,A2,0,0.0,43.54524083273608,43.54524083273608,16,43.54524083273608,0.9492813405236102,43.54524083273608,0.0
GPT-13B,C-lo,8,A2,1,43.54524083273608,124.04036065588237,80.4951198231463,16,124.04036065588237,0.0,80.4951198231463,0.0
GPT-13B,C-lo,8,A3,0,0.0,5.939995740568676,5.939995740568676,16,0.7639666273986141,0.7841554270720537,0.7639666273986141,5.176029113170062
GPT-13B,C-lo,8,A3,1,5.939995740568676,15.610280546662048,9.670284806093372,16,7.554736171272722,7.586064847065879,1.614740430704046,8.055544375389326
GPT-13B,C-lo,8,A3a,0,0.0,5.939995740568676,5.939995740568676,16,0.7639666273986141,0.7841554270720537,0.7639666273986141,5.176029113170062
GPT-13B,C-lo,8,A3a,1,5.939995740568676,14.768342346780168,8.828346606211491,16,7.554736171272722,7.582861364786093,1.614740430704046,7.213606175507445
GPT-13B,C-lo,8,A3b,0,0.0,5.96958798373211,5.96958798373211,16,0.7639666273986141,0.7842710212727007,0.7639666273986141,5.205621356333496
GPT-13B,C-lo,8,A3b,1,5.96958798373211,15.430424528132884,9.460836544400774,16,7.584328414436156,7.6148437305476975,1.614740430704046,7.846096113696728
GPT-13B,C-lo,8,A4,0,0.0,5.911281162965304,5.911281162965304,16,0.7604241033358693,0.7805153610898686,0.7604241033358693,5.150857059629435
GPT-13B,C-lo,8,A4,1,5.911281162965304,14.562162373232015,8.65088121026671,16,7.51931001906337,7.546794254635603,1.6080288560980662,7.0428523541686445
GPT-13B,C-lo,8,A4b,0,0.0,5.937898266328976,5.937898266328976,16,0.7604241033358693,0.7806193341499147,0.7604241033358693,5.177474162993107
GPT-13B,C-lo,8,A4b,1,5.937898266328976,14.579584171470692,8.641685905141717,16,7.5459271224270426,7.5733754388391485,1.6080288560980662,7.03365704904365
GPT-13B,C-lo,8,A5,0,0.0,4.3493158003642325,4.3493158003642325,16,0.6373602498144147,0.6518307985484385,0.6373602498144147,3.711955550549818
GPT-13B,C-lo,8,A5,1,4.3493158003642325,11.514194469051814,7.164878668687582,16,6.462753161598857,6.482458447770515,2.1134373612346247,5.051441307452957
GPT-13B,C-lo,8,A6,0,0.0,4.3493158003642325,4.3493158003642325,16,0.6373602498144147,0.6518307985484385,0.6373602498144147,3.711955550549818
GPT-13B,C-lo,8,A6,1,4.3493158003642325,11.514194469051814,7.164878668687582,16,6.462753161598857,6.482458447770515,2.1134373612346247,5.051441307452957
GPT-13B,D-hi,8,A1,0,0.0,23.38968786219644,23.38968786219644,16,16.227975812904475,16.255923566596863,16.227975812904475,7.161712049291964
GPT-13B,D-hi,8,A1,1,23.38968786219644,61.72785809453155,38.33817023233511,16,52.63089418686315,52.66640151812732,29.241206324666713,9.096963907668396
GPT-13B,D-hi,8,A1,2,61.72785809453155,100.47995365498448,38.752095560452936,16,91.26203648581307,91.29801629075499,29.53417839128152,9.217917169171415
GPT-13B,D-hi,8,A1,3,100.47995365498448,139.64191894793035,39.161965292945865,16,130.30304855914724,130.33950083760433,29.823094904162758,9.338870388783107
GPT-13B,D-hi,8,A2,0,0.0,80.85760113292208,80.85760113292208,16,80.85760113292208,2.2686072601850413,80.85760113292208,0.0
GPT-13B,D-hi,8,A2,1,80.85760113292208,198.52977144018766,117.67217030726557,16,198.52977144018766,0.0,117.67217030726557,0.0
GPT-13B,D-hi,8,A2,2,198.52977144018766,318.5019006482685,119.97212920808082,16,318.5019006482685,0.0,119.97212920808082,0.0
GPT-13B,D-hi,8,A2,3,318.5019006482685,440.7739887571546,122.27208810888612,16,440.7739887571546,0.0,122.27208810888612,0.0
