model,config,k,rung,tier,start_s,end_s,duration_s,requests
GPT-13B,C-hi,8,A1,0,0.0,57.595471347535295,57.595471347535295,16
GPT-13B,C-hi,8,A1,1,57.595471347535295,138.39207757854058,80.79660623100528,16
GPT-13B,C-hi,8,A2,0,0.0,156.96345198164602,156.96345198164602,16
GPT-13B,C-hi,8,A2,1,156.96345198164602,349.7082197557013,192.74476777405528,16
GPT-13B,C-hi,8,A3,0,0.0,16.199699510281125,16.199699510281125,16
GPT-13B,C-hi,8,A3,1,16.199699510281125,37.3830400906651,21.183340580383973,16
GPT-13B,C-hi,8,A3a,0,0.0,16.199699510281125,16.199699510281125,16
GPT-13B,C-hi,8,A3a,1,16.199699510281125,34.87147223751039,18.671772727229264,16
GPT-13B,C-hi,8,A3b,0,0.0,16.068682227872113,16.068682227872113,16
GPT-13B,C-hi,8,A3b,1,16.068682227872113,36.760680799507035,20.691998571634922,16
GPT-13B,C-hi,8,A4,0,0.0,15.967606379112699,15.967606379112699,16
GPT-13B,C-hi,8,A4,1,15.967606379112699,34.29179231255214,18.32418593343944,16
GPT-13B,C-hi,8,A4b,0,0.0,15.968867399116974,15.968867399116974,16
GPT-13B,C-hi,8,A4b,1,15.968867399116974,34.24508369477527,18.276216295658294,16
GPT-13B,C-hi,8,A5,0,0.0,9.895639148403706,9.895639148403706,16
GPT-13B,C-hi,8,A5,1,9.895639148403706,24.45853004909816,14.562890900694455,16
GPT-13B,C-hi,8,A6,0,0.0,9.895639148403706,9.895639148403706,16
GPT-13B,C-hi,8,A6,1,9.895639148403706,24.45853004909816,14.562890900694455,16
GPT-13B,C-lo,8,A1,0,0.0,11.636069463279368,11.636069463279368,16
GPT-13B,C-lo,8,A1,1,11.636069463279368,34.48691787638211,22.85084841310274,16
GPT-13B,C-lo,8,A2,0,0.0,43.54524083273608,43.54524083273608,16
GPT-13B,C-lo,8,A2,1,43.54524083273608,124.04036065588237,80.4951198231463,16
GPT-13B,C-lo,8,A3,0,0.0,5.939995740568676,5.939995740568676,16
GPT-13B,C-lo,8,A3,1,5.939995740568676,15.610280546662048,9.670284806093372,16
GPT-13B,C-lo,8,A3a,0,0.0,5.939995740568676,5.939995740568676,16
GPT-13B,C-lo,8,A3a,1,5.939995740568676,14.768342346780168,8.828346606211491,16
GPT-13B,C-lo,8,A3b,0,0.0,5.96958798373211,5.96958798373211,16
GPT-13B,C-lo,8,A3b,1,5.96958798373211,15.430424528132884,9.460836544400774,16
GPT-13B,C-lo,8,A4,0,0.0,5.911281162965304,5.911281162965304,16
GPT-13B,C-lo,8,A4,1,5.911281162965304,14.562162373232015,8.65088121026671,16
GPT-13B,C-lo,8,A4b,0,0.0,5.937898266328976,5.937898266328976,16
GPT-13B,C-lo,8,A4b,1,5.937898266328976,14.579584171470692,8.641685905141717,16
GPT-13B,C-lo,8,A5,0,0.0,4.3493158003642325,4.3493158003642325,16
GPT-13B,C-lo,8,A5,1,4.3493158003642325,11.514194469051814,7.164878668687582,16
GPT-13B,C-lo,8,A6,0,0.0,4.3493158003642325,4.3493158003642325,16
GPT-13B,C-lo,8,A6,1,4.3493158003642325,11.514194469051814,7.164878668687582,16
GPT-13B,D-hi,8,A1,0,0.0,23.38968786219644,23.38968786219644,16
GPT-13B,D-hi,8,A1,1,23.38968786219644,61.72785809453155,38.33817023233511,16
GPT-13B,D-hi,8,A1,2,61.72785809453155,100.47995365498448,38.752095560452936,16
GPT-13B,D-hi,8,A1,3,100.47995365498448,139.64191894793035,39.161965292945865,16
GPT-13B,D-hi,8,A2,0,0.0,80.85760113292208,80.85760113292208,16
GPT-13B,D-hi,8,A2,1,80.85760113292208,198.52977144018766,117.67217030726557,16
GPT-13B,D-hi,8,A2,2,198.52977144018766,318.5019006482685,119.97212920808082,16
GPT-13B,D-hi,8,A2,3,318.5019006482685,440.7739887571546,122.27208810888612,16
GPT-13B,D-hi,8,A3,0,0.0,8.91762639648283,8.91762639648283,16
GPT-13B,D-hi,8,A3,1,8.91762639648283,22.188801208222756,13.271174811739925,16
GPT-13B,D-hi,8,A3,2,22.188801208222756,35.654543984662276,13.46574277643952,16
GPT-13B,D-hi,8,A3,3,35.654543984662276,49.282145730324814,13.627601745662538,16
GPT-13B,D-hi,8,A3a,0,0.0,8.91762639648283,8.91762639648283,16
GPT-13B,D-hi,8,A3a,1,8.91762639648283,20.90177486823854,11.98414847175571,16
GPT-13B,D-hi,8,A3a,2,20.90177486823854,33.04895796024467,12.14718309200613,16
GPT-13B,D-hi,8,A3a,3,33.04895796024467,45.36089383739243,12.31193587714776,16
GPT-13B,D-hi,8,A3b,0,0.0,8.771363965683813,8.771363965683813,16
GPT-13B,D-hi,8,A3b,1,8.771363965683813,21.731209211497536,12.959845245813723,16
GPT-13B,D-hi,8,A3b,2,21.731209211497536,34.86329804296319,13.132088831465651,16
GPT-13B,D-hi,8,A3b,3,34.86329804296319,48.14313364444821,13.279835601485026,16
GPT-13B,D-hi,8,A4,0,0.0,8.847505969383384,8.847505969383384,16
GPT-13B,D-hi,8,A4,1,8.847505969383384,20.500974199809836,11.653468230426451,16
GPT-13B,D-hi,8,A4,2,20.500974199809836,32.312673358669905,11.811699158860069,16
GPT-13B,D-hi,8,A4,3,32.312673358669905,44.28259638648617,11.969923027816264,16
GPT-13B,D-hi,8,A4b,0,0.0,8.80523642183576,8.80523642183576,16
GPT-13B,D-hi,8,A4b,1,8.80523642183576,20.51959293159004,11.71435650975428,16
GPT-13B,D-hi,8,A4b,2,20.51959293159004,32.39218037037587,11.872587438785828,16
GPT-13B,D-hi,8,A4b,3,32.39218037037587,44.4229916771596,12.030811306783733,16
GPT-13B,D-hi,8,A5,0,0.0,5.69757369080832,5.69757369080832,16
GPT-13B,D-hi,8,A5,1,5.69757369080832,15.053386087828706,9.355812397020387,16
GPT-13B,D-hi,8,A5,2,15.053386087828706,24.61492019646777,9.561534108639066,16
GPT-13B,D-hi,8,A5,3,24.61492019646777,34.38176565102123,9.766845454553462,16
GPT-13B,D-hi,8,A6,0,0.0,5.69757369080832,5.69757369080832,16
GPT-13B,D-hi,8,A6,1,5.69757369080832,15.053386087828706,9.355812397020387,16
GPT-13B,D-hi,8,A6,2,15.053386087828706,24.61492019646777,9.561534108639066,16
GPT-13B,D-hi,8,A6,3,24.61492019646777,34.38176565102123,9.766845454553462,16
GPT-13B,D-lo,8,A1,0,0.0,23.392380071214436,23.392380071214436,16
GPT-13B,D-lo,8,A2,0,0.0,80.85760113292208,80.85760113292208,16
GPT-13B,D-lo,8,A3,0,0.0,8.917605916483495,8.917605916483495,16
GPT-13B,D-lo,8,A3a,0,0.0,8.917605916483495,8.917605916483495,16
GPT-13B,D-lo,8,A3b,0,0.0,8.771343485684527,8.771343485684527,16
GPT-13B,D-lo,8,A4,0,0.0,8.846852789409345,8.846852789409345,16
GPT-13B,D-lo,8,A4b,0,0.0,8.80458324186206,8.80458324186206,16
GPT-13B,D-lo,8,A5,0,0.0,5.696915210830747,5.696915210830747,16
GPT-13B,D-lo,8,A6,0,0.0,5.696915210830747,5.696915210830747,16
GPT-13B,N-hi,8,A2,0,0.0,318.77722764744607,318.77722764744607,64
GPT-13B,N-hi,8,A2,1,318.77722764744607,1236.2047411898563,917.4275135424102,64
GPT-13B,N-lo,8,A1,0,0.0,6.57970343461076,6.57970343461076,4
