model,group,workload_id,displayed,eligible,slot_marker,raw_numerator,raw_denominator,plotted_value
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B1-N8026,KVChime-EPIC-chunk2048-target8000-B1-N8026,true,true,,7.960357666015625,3.9546051025390625,2.01293364561348
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B4-N8028,KVChime-EPIC-chunk2048-target8000-B4-N8028,true,true,,20.107177734375,4.08404541015625,4.923348228296445
LLAMA-7B,KVChime-CB-musique-0075,KVChime-CB-musique-0075,true,true,,8.015899658203125,4.93011474609375,1.6259052924791086
LLAMA-7B,KVChime-EPIC-chunk2048-target32000-B2-N32034,KVChime-EPIC-chunk2048-target32000-B2-N32034,true,true,,47.90826416015625,15.845733642578125,3.023417232725963
LLAMA-7B,KVChime-LongMemEval-oracle-d851d5ba,KVChime-LongMemEval-oracle-d851d5ba,true,true,,15.6634521484375,7.7690582275390625,2.0161326752469297
GPT-13B,KVChime-EPIC-chunk2048-target8000-B1-N8026,KVChime-EPIC-chunk2048-target8000-B1-N8026,true,true,,12.399787902832031,6.179065704345703,2.006741552223879
GPT-13B,KVChime-EPIC-chunk2048-target8000-B4-N8028,KVChime-EPIC-chunk2048-target8000-B4-N8028,true,true,,31.26434326171875,6.3813018798828125,4.8993675350605566
GPT-13B,KVChime-CB-musique-0075,KVChime-CB-musique-0075,true,true,,12.486305236816406,7.6004791259765625,1.6428313307435178
GPT-13B,KVChime-EPIC-chunk2048-target32000-B2-N32034,KVChime-EPIC-chunk2048-target32000-B2-N32034,true,true,,74.55116271972656,24.758949279785156,3.011079423333811
GPT-13B,KVChime-LongMemEval-oracle-d851d5ba,KVChime-LongMemEval-oracle-d851d5ba,true,true,,24.398651123046875,12.139148712158203,2.009914508964696
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B1-N8026,KVChime-EPIC-chunk2048-target8000-B1-N8026,true,true,,39.43438720703125,19.772979736328125,1.9943573367740821
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B4-N8028,KVChime-EPIC-chunk2048-target8000-B4-N8028,true,true,,99.06591796875,20.4200439453125,4.85140571852153
LLAMA-65B,KVChime-CB-musique-0075,KVChime-CB-musique-0075,true,true,,39.70953369140625,23.6634521484375,1.6780955476113097
LLAMA-65B,KVChime-EPIC-chunk2048-target32000-B2-N32034,KVChime-EPIC-chunk2048-target32000-B2-N32034,true,true,,236.6085205078125,81.1104736328125,2.917114275265367
LLAMA-65B,KVChime-LongMemEval-oracle-d851d5ba,KVChime-LongMemEval-oracle-d851d5ba,true,true,,77.592529296875,38.845245361328125,1.997478161744892
OPT-66B,KVChime-EPIC-chunk2048-target8000-B1-N8026,KVChime-EPIC-chunk2048-target8000-B1-N8026,true,true,,35.546058654785156,17.79568862915039,1.9974533942203625
OPT-66B,KVChime-EPIC-chunk2048-target8000-B4-N8028,KVChime-EPIC-chunk2048-target8000-B4-N8028,true,true,,89.37982177734375,18.378067016601562,4.8633962264150945
OPT-66B,KVChime-CB-musique-0075,KVChime-CB-musique-0075,true,true,,35.79407501220703,21.445175170898438,1.6690968820240908
OPT-66B,KVChime-EPIC-chunk2048-target32000-B2-N32034,KVChime-EPIC-chunk2048-target32000-B2-N32034,true,true,,213.38758850097656,71.30573272705078,2.9925726914243618
OPT-66B,KVChime-LongMemEval-oracle-d851d5ba,KVChime-LongMemEval-oracle-d851d5ba,true,true,,69.94198608398438,34.96072769165039,2.000587250381762
MT-76B,KVChime-EPIC-chunk2048-target8000-B1-N8026,KVChime-EPIC-chunk2048-target8000-B1-N8026,true,true,,37.04627990722656,18.53717803955078,1.9984854128381841
MT-76B,KVChime-EPIC-chunk2048-target8000-B4-N8028,KVChime-EPIC-chunk2048-target8000-B4-N8028,true,true,,93.1805419921875,19.143829345703125,4.8673930544153166
MT-76B,KVChime-CB-musique-0075,KVChime-CB-musique-0075,true,true,,37.30476379394531,22.39013671875,1.6661248773307165
MT-76B,KVChime-EPIC-chunk2048-target32000-B2-N32034,KVChime-EPIC-chunk2048-target32000-B2-N32034,true,true,,222.43148803710938,76.65206909179688,2.9018327968515787
MT-76B,KVChime-LongMemEval-oracle-d851d5ba,KVChime-LongMemEval-oracle-d851d5ba,true,true,,72.89398193359375,36.41742706298828,2.001623612989323
