model,workload_id,variant,TTFT_ms,TBT_ms,E2E_ms,F0_E2E_ms,decode_steps,decode_total_ms,output_tokens,batch,valid,displayed
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F0,1219.5555580934156,10.491819968898742,1376.9328576268967,1376.9328576268967,15,157.37729953348114,16,1,true,true
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F1,30.51262276811888,10.491819968898742,187.88992230160002,1376.9328576268967,15,157.37729953348114,16,1,true,true
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F2,35.00138773467042,5.843580545947591,122.65509592388429,1376.9328576268967,15,87.65370818921387,16,1,true,true
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F4,13.71492382855746,5.85554857794759,101.54815249777131,1376.9328576268967,15,87.83322866921385,16,1,true,true
GPT-13B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F0,1815.4202368533342,16.154781793002662,2057.741963748374,2057.741963748374,15,242.32172689503994,16,1,true,true
GPT-13B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F1,45.79341814787274,16.154781793002662,288.1151450429127,2057.741963748374,15,242.32172689503994,16,1,true,true
GPT-13B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F2,55.78764048939551,10.349409625849127,211.0287848771324,2057.741963748374,15,155.2411443877369,16,1,true,true
GPT-13B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F4,20.746092929427327,10.364642732515788,176.21573391716416,2057.741963748374,15,155.46964098773682,16,1,true,true
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F0,3202.3414015047993,29.754365085654655,3648.656877789619,3648.656877789619,15,446.31547628481985,16,1,true,true
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F1,61.408254417454806,29.754365085654655,507.7237307022747,3648.656877789619,15,446.31547628481985,16,1,true,true
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F2,61.408254417454806,18.114058082135163,333.11912564948227,3648.656877789619,15,271.71087123202744,16,1,true,true
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F4,35.6148132445258,18.142885895468496,307.7581016765532,3648.656877789619,15,272.1432884320274,16,1,true,true
OPT-66B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F0,3150.6597639312495,28.979761055951307,3585.3561797705192,3585.3561797705192,15,434.6964158392696,16,1,true,true
OPT-66B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F1,61.474543560514526,28.979761055951307,496.1709593997841,3585.3561797705192,15,434.6964158392696,16,1,true,true
