model,workload_id,panel,reference_variant,method_variant,reference_ms,method_ms,speedup,valid
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B1-N8026,prefill,F2,F4,35.00138773467042,13.71492382855746,2.5520657768284436,true
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B1-N8026,decode,F1,F4,10.491819968898742,5.85554857794759,1.791774046314239,true
GPT-13B,KVChime-EPIC-chunk2048-target8000-B1-N8026,prefill,F2,F4,55.78764048939551,20.746092929427327,2.689067318804084,true
GPT-13B,KVChime-EPIC-chunk2048-target8000-B1-N8026,decode,F1,F4,16.154781793002662,10.364642732515788,1.5586433811483096,true
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B1-N8026,prefill,F2,F4,61.408254417454806,35.6148132445258,1.7242335091254088,true
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B1-N8026,decode,F1,F4,29.754365085654655,18.142885895468496,1.6400017757421013,true
OPT-66B,KVChime-EPIC-chunk2048-target8000-B1-N8026,prefill,F2,F4,63.43884768028429,34.359468151781506,1.8463279873846081,true
OPT-66B,KVChime-EPIC-chunk2048-target8000-B1-N8026,decode,F1,F4,28.979761055951307,19.69889798892569,1.47113615554754,true
MT-76B,KVChime-EPIC-chunk2048-target8000-B1-N8026,prefill,F2,F4,53.612722461102344,31.229990423410364,1.7167063368970368,true
MT-76B,KVChime-EPIC-chunk2048-target8000-B1-N8026,decode,F1,F4,26.446084715415417,17.74137545642735,1.4906445546100273,true
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B4-N8028,prefill,F2,F4,127.95513316913257,43.25355266031475,2.9582571904326307,true
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B4-N8028,decode,F1,F4,15.81079392906538,6.283744618670398,2.5161420281288973,true
GPT-13B,KVChime-EPIC-chunk2048-target8000-B4-N8028,prefill,F2,F4,201.41641034438572,61.97443604602457,3.249991822350852,true
GPT-13B,KVChime-EPIC-chunk2048-target8000-B4-N8028,decode,F1,F4,22.50746403259523,10.619549206025534,2.1194368608249863,true
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B4-N8028,prefill,F2,F4,186.05126898530807,108.7851678826191,1.7102631967812036,true
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B4-N8028,decode,F1,F4,30.59106435050814,19.36320601384774,1.5798553363854475,true
OPT-66B,KVChime-EPIC-chunk2048-target8000-B4-N8028,prefill,F2,F4,222.54701434746525,106.84785118957187,2.082840336700991,true
OPT-66B,KVChime-EPIC-chunk2048-target8000-B4-N8028,decode,F1,F4,30.36557553926217,21.4165761202123,1.4178538795752735,true
MT-76B,KVChime-EPIC-chunk2048-target8000-B4-N8028,prefill,F2,F4,179.4324683189719,96.21056265520103,1.8649975986734548,true
MT-76B,KVChime-EPIC-chunk2048-target8000-B4-N8028,decode,F1,F4,26.525332572176893,18.120042218249615,1.46386704030203,true
LLAMA-7B,KVChime-CB-musique-0075,prefill,F2,F4,253.3356514695107,253.3356514695107,1.0,true
LLAMA-7B,KVChime-CB-musique-0075,decode,F1,F4,10.532187679133196,5.915825629181804,1.7803411289169224,true
GPT-13B,KVChime-CB-musique-0075,prefill,F2,F4,364.9439985576333,364.9439985576333,1.0,true
GPT-13B,KVChime-CB-musique-0075,decode,F1,F4,16.205241430795734,10.44293516589855,1.551789910916427,true
LLAMA-65B,KVChime-CB-musique-0075,prefill,F2,F4,592.823287268562,592.1936808106245,1.001063176589584,true
LLAMA-65B,KVChime-CB-musique-0075,decode,F1,F4,29.855284361240805,18.29270889700051,1.6320865613368085,true
OPT-66B,KVChime-CB-musique-0075,prefill,F2,F4,586.5661797713655,586.9068987193207,0.9994194667864721,true
OPT-66B,KVChime-CB-musique-0075,decode,F1,F4,29.06049647642019,19.8209074147684,1.4661536865243339,true
MT-76B,KVChime-CB-musique-0075,prefill,F2,F4,540.1263428041302,539.9265970062833,1.000369949913478,true
MT-76B,KVChime-CB-musique-0075,decode,F1,F4,26.521774172105026,17.854085888856886,1.48547365220517,true
LLAMA-7B,KVChime-EPIC-chunk2048-target32000-B2-N32034,prefill,F2,F4,245.67154609380268,180.8200090228593,1.3586524379762908,true
LLAMA-7B,KVChime-EPIC-chunk2048-target32000-B2-N32034,decode,F1,F4,25.717536196636885,7.565887851542142,3.399143193933931,true
GPT-13B,KVChime-EPIC-chunk2048-target32000-B2-N32034,prefill,F2,F4,395.5316994152786,251.78034799526273,1.5709395215496347,true
GPT-13B,KVChime-EPIC-chunk2048-target32000-B2-N32034,decode,F1,F4,35.08828368792606,12.436412011370669,2.821415345185145,true
LLAMA-65B,KVChime-EPIC-chunk2048-target32000-B2-N32034,prefill,F2,F4,400.8834372419852,400.8834372419852,1.0,true
LLAMA-65B,KVChime-EPIC-chunk2048-target32000-B2-N32034,decode,F1,F4,67.6398020447632,22.109926162774144,3.0592504717924576,true
OPT-66B,KVChime-EPIC-chunk2048-target32000-B2-N32034,prefill,F2,F4,413.657716998311,383.87447249056265,1.077585894978939,true
OPT-66B,KVChime-EPIC-chunk2048-target32000-B2-N32034,decode,F1,F4,227.63410958401266,23.283392806122304,9.776672647302368,true
MT-76B,KVChime-EPIC-chunk2048-target32000-B2-N32034,prefill,F2,F4,349.34614335498225,349.34614335498225,1.0,true
MT-76B,KVChime-EPIC-chunk2048-target32000-B2-N32034,decode,F1,F4,54.864719676513836,20.745579331131825,2.644646302751409,true
LLAMA-7B,KVChime-LongMemEval-oracle-d851d5ba,prefill,F2,F4,69.19195377610379,39.02314208624277,1.7731005264308723,true
LLAMA-7B,KVChime-LongMemEval-oracle-d851d5ba,decode,F1,F4,15.415419126557035,6.259516647237646,2.4627171705597957,true
GPT-13B,KVChime-LongMemEval-oracle-d851d5ba,prefill,F2,F4,104.44733790463377,56.316449117044264,1.8546506312490965,true
GPT-13B,KVChime-LongMemEval-oracle-d851d5ba,decode,F1,F4,22.309280740075526,10.873601900114835,2.051691881403155,true
LLAMA-65B,KVChime-LongMemEval-oracle-d851d5ba,prefill,F2,F4,145.25058856488275,98.8029445036351,1.4701038445219492,true
LLAMA-65B,KVChime-LongMemEval-oracle-d851d5ba,decode,F1,F4,42.063362979800374,19.13680974474773,2.1980342356355944,true
OPT-66B,KVChime-LongMemEval-oracle-d851d5ba,prefill,F2,F4,139.28876000408664,90.54089068972655,1.5384072206823496,true
OPT-66B,KVChime-LongMemEval-oracle-d851d5ba,decode,F1,F4,38.82695937126788,20.50043559792743,1.8939577740091162,true
MT-76B,KVChime-LongMemEval-oracle-d851d5ba,prefill,F2,F4,122.64978096476516,82.381350700691,1.4888051715779453,true
MT-76B,KVChime-LongMemEval-oracle-d851d5ba,decode,F1,F4,35.6778331360247,18.48981765412663,1.9295935635180257,true
