rung,scan,channel,theory_rows,theory_extents,theory_acts,measured_rows,measured_time_s,agree,makespan_s,energy_nj
A3b,common,0,1024,4,4,1024,2.862218e-06,yes,0.0266580056,455190945
A3b,common,1,1024,4,4,1024,2.862218e-06,yes,0.0266580056,455190945
A3b,common,2,904,4,4,904,2.603834e-06,yes,0.0266580056,455190945
A3b,common,3,768,3,3,768,2.154738e-06,yes,0.0266580056,455190945
A3b,common,4,1024,4,4,1024,2.862218e-06,yes,0.0266580056,455190945
A3b,common,5,1024,4,4,1024,2.862218e-06,yes,0.0266580056,455190945
A3b,common,6,904,4,4,904,2.603834e-06,yes,0.0266580056,455190945
A3b,common,7,768,3,3,768,2.154738e-06,yes,0.0266580056,455190945
A3b,common,8,1024,4,4,1024,2.862218e-06,yes,0.0266580056,455190945
A3b,common,9,1024,4,4,1024,2.862218e-06,yes,0.0266580056,455190945
A3b,common,10,904,4,4,904,2.603834e-06,yes,0.0266580056,455190945
A3b,common,11,768,3,3,768,2.154738e-06,yes,0.0266580056,455190945
A3b,common,12,1024,4,4,1024,2.862218e-06,yes,0.0266580056,455190945
A3b,common,13,1024,4,4,1024,2.862218e-06,yes,0.0266580056,455190945
A3b,common,14,904,4,4,904,2.603834e-06,yes,0.0266580056,455190945
A3b,common,15,768,3,3,768,2.154738e-06,yes,0.0266580056,455190945
A3b,private,0,65,9,9,65,6.66723e-07,yes,0.0266580056,455190945
A3b,private,1,64,8,8,64,5.19075e-07,yes,0.0266580056,455190945
A3b,private,2,64,8,8,64,5.19075e-07,yes,0.0266580056,455190945
A3b,private,3,48,6,6,48,3.71427e-07,yes,0.0266580056,455190945
A3b,private,4,65,9,9,65,6.66723e-07,yes,0.0266580056,455190945
A3b,private,5,64,8,8,64,5.19075e-07,yes,0.0266580056,455190945
A3b,private,6,64,8,8,64,5.19075e-07,yes,0.0266580056,455190945
A3b,private,7,48,6,6,48,3.71427e-07,yes,0.0266580056,455190945
A3b,private,8,65,9,9,65,6.66723e-07,yes,0.0266580056,455190945
A3b,private,9,64,8,8,64,5.19075e-07,yes,0.0266580056,455190945
A3b,private,10,64,8,8,64,5.19075e-07,yes,0.0266580056,455190945
A3b,private,11,48,6,6,48,3.71427e-07,yes,0.0266580056,455190945
A3b,private,12,65,9,9,65,6.66723e-07,yes,0.0266580056,455190945
A3b,private,13,64,8,8,64,5.19075e-07,yes,0.0266580056,455190945
A3b,private,14,64,8,8,64,5.19075e-07,yes,0.0266580056,455190945
A3b,private,15,48,6,6,48,3.71427e-07,yes,0.0266580056,455190945
A4,common,0,1280,5,5,1280,3.569698e-06,yes,0.0266141509,455138680
A4,common,1,1280,5,5,1280,3.569698e-06,yes,0.0266141509,455138680
A4,common,2,1280,5,5,1280,3.569698e-06,yes,0.0266141509,455138680
A4,common,3,1280,5,5,1280,3.569698e-06,yes,0.0266141509,455138680
A4,common,4,1280,5,5,1280,3.569698e-06,yes,0.0266141509,455138680
A4,common,5,1280,5,5,1280,3.569698e-06,yes,0.0266141509,455138680
A4,common,6,1280,5,5,1280,3.569698e-06,yes,0.0266141509,455138680
A4,common,7,1280,5,5,1280,3.569698e-06,yes,0.0266141509,455138680
A4,common,8,1280,5,5,1280,3.569698e-06,yes,0.0266141509,455138680
A4,common,9,1280,5,5,1280,3.569698e-06,yes,0.0266141509,455138680
A4,common,10,1280,5,5,1280,3.569698e-06,yes,0.0266141509,455138680
A4,common,11,1280,5,5,1280,3.569698e-06,yes,0.0266141509,455138680
A4,private,0,1,1,1,1,8.8435e-08,yes,0.0266141509,455138680
A4,private,3,1,1,1,1,8.8435e-08,yes,0.0266141509,455138680
A4,private,6,1,1,1,1,8.8435e-08,yes,0.0266141509,455138680
A4,private,9,1,1,1,1,8.8435e-08,yes,0.0266141509,455138680
A4,private,15,960,2,4,960,6.79027e-07,yes,0.0266141509,455138680
A4b,common,0,1024,4,4,1024,2.862218e-06,yes,0.0266085655,455142031
A4b,common,1,1024,4,4,1024,2.862218e-06,yes,0.0266085655,455142031
A4b,common,2,1024,4,4,1024,2.862218e-06,yes,0.0266085655,455142031
A4b,common,3,1024,4,4,1024,2.862218e-06,yes,0.0266085655,455142031
A4b,common,4,1024,4,4,1024,2.862218e-06,yes,0.0266085655,455142031
A4b,common,5,1024,4,4,1024,2.862218e-06,yes,0.0266085655,455142031
