file,axis,value,form,agents,rounds,chunks,own,chatty_share,retrieval,lout_chatty,shared,corpus,lout,fresh_share,requests,prefill_tokens,decode_tokens
C1_turns.json,baseline,-,turns,6,6,1,16/256,0.5,scattered,32,8,64,128,0.1,41,172560,3520
C2_turns.json,baseline,-,turns,8,8,1,16/256,1.0,scattered,32,8,16,128,0.0,65,237312,2176
C1_S1_agents_4_turns.json,S1_agents,4,turns,4,6,1,16/256,0.5,scattered,32,8,64,128,0.1,28,124000,2432
C1_S1_agents_12_turns.json,S1_agents,12,turns,12,6,1,16/256,0.5,scattered,32,8,64,128,0.1,81,330528,6912
C1_S1_agents_16_turns.json,S1_agents,16,turns,16,6,1,16/256,0.5,scattered,32,8,64,128,0.1,108,437888,9216
C1_S2_rounds_3_turns.json,S2_rounds,3,turns,6,3,1,16/256,0.5,scattered,32,8,64,128,0.1,21,79808,1824
C1_S2_rounds_12_turns.json,S2_rounds,12,turns,6,12,1,16/256,0.5,scattered,32,8,64,128,0.1,81,432480,6912
C1_S3_chatty_share_0p0_turns.json,S3_chatty_share,0.0,turns,6,6,1,16/256,0.0,scattered,32,8,64,128,0.1,41,192000,5248
C1_S3_chatty_share_0p25_turns.json,S3_chatty_share,0.25,turns,6,6,1,16/256,0.25,scattered,32,8,64,128,0.1,41,179040,4096
C1_S3_chatty_share_0p75_turns.json,S3_chatty_share,0.75,turns,6,6,1,16/256,0.75,scattered,32,8,64,128,0.1,41,166080,2944
C1_S3_chatty_share_1p0_turns.json,S3_chatty_share,1.0,turns,6,6,1,16/256,1.0,scattered,32,8,64,128,0.1,41,153120,1792
C1_S4_shared_0_turns.json,S4_shared,0,turns,6,6,1,16/256,0.5,scattered,32,0,64,128,0.1,41,98832,3520
C1_S4_shared_16_turns.json,S4_shared,16,turns,6,6,1,16/256,0.5,scattered,32,16,64,128,0.1,41,246288,3520
C1_S4_shared_32_turns.json,S4_shared,32,turns,6,6,1,16/256,0.5,scattered,32,32,64,128,0.1,41,393744,3520
C1_S5_lout_chatty_8_turns.json,S5_lout_chatty,8,turns,6,6,1,16/256,0.5,scattered,8,8,64,128,0.1,41,171480,3088
C1_S5_lout_chatty_128_turns.json,S5_lout_chatty,128,turns,6,6,1,16/256,0.5,scattered,128,8,64,128,0.1,41,176880,5248
C1_S6_lout_32_turns.json,S6_lout,32,turns,6,6,1,16/256,0.5,scattered,32,8,64,32,0.1,41,168240,1696
C1_S6_lout_512_turns.json,S6_lout,512,turns,6,6,1,16/256,0.5,scattered,32,8,64,512,0.1,41,189840,10816
C1_S7_chunks_2_turns.json,S7_chunks,2,turns,6,6,2,16/256,0.5,scattered,32,8,64,128,0.1,41,204816,3520
C1_S7_chunks_4_turns.json,S7_chunks,4,turns,6,6,4,16/256,0.5,scattered,32,8,64,128,0.1,41,269328,3520
C1_S8_fresh_share_0p0_turns.json,S8_fresh_share,0.0,turns,6,6,1,16/256,0.5,scattered,32,8,64,128,0.0,37,156176,3008
C1_S8_fresh_share_0p25_turns.json,S8_fresh_share,0.25,turns,6,6,1,16/256,0.5,scattered,32,8,64,128,0.25,49,213520,4544
C1_S9_corpus_32_turns.json,S9_corpus,32,turns,6,6,1,16/256,0.5,scattered,32,8,32,128,0.1,41,164368,3520
C1_S9_corpus_128_turns.json,S9_corpus,128,turns,6,6,1,16/256,0.5,scattered,32,8,128,128,0.1,41,188944,3520
C1_S10_retrieval_consecutive_turns.json,S10_retrieval,consecutive,turns,6,6,1,16/256,0.5,consecutive,32,8,64,128,0.1,41,172560,3520
