rung,cohort,requests,tbt_intervals,tbt_weighted_us,ttft_mean_us,full_workload_e2e_s,corrected_rows_sha,run_git_rev,run_git_dirty
A3b,all_requests,41,3479,204.831020171936,30994.51844561516,0.34623784709673683,c852197b95bd509a,167fe08e608b89e32f57402953314ced0b1194c6,True
A3b,all_summary_turns,36,2844,198.07988510089274,15983.603154869948,0.34623784709673683,c852197b95bd509a,167fe08e608b89e32f57402953314ced0b1194c6,True
A3b,last_quarter_summary_turns,12,948,191.73441283001665,12976.12001005352,0.34623784709673683,c852197b95bd509a,167fe08e608b89e32f57402953314ced0b1194c6,True
A3b,last_summary_turn,6,474,194.48521380484675,13128.498212343353,0.34623784709673683,c852197b95bd509a,167fe08e608b89e32f57402953314ced0b1194c6,True
A4c,all_requests,41,3479,204.6948172084281,30993.672603688312,0.3460997175757092,c852197b95bd509a,167fe08e608b89e32f57402953314ced0b1194c6,True
A4c,all_summary_turns,36,2844,197.7260477590936,15982.58881003662,0.3460997175757092,c852197b95bd509a,167fe08e608b89e32f57402953314ced0b1194c6,True
A4c,last_quarter_summary_turns,12,948,191.5034110704372,12974.25903005356,0.3460997175757092,c852197b95bd509a,167fe08e608b89e32f57402953314ced0b1194c6,True
A4c,last_summary_turn,6,474,193.36823643760124,13126.380386343339,0.3460997175757092,c852197b95bd509a,167fe08e608b89e32f57402953314ced0b1194c6,True
A4e,all_requests,41,3479,201.71124213750653,30988.254608249415,0.3436487652014547,c852197b95bd509a,167fe08e608b89e32f57402953314ced0b1194c6,True
A4e,all_summary_turns,36,2844,194.041460420229,15976.469340092295,0.3436487652014547,c852197b95bd509a,167fe08e608b89e32f57402953314ced0b1194c6,True
A4e,last_quarter_summary_turns,12,948,186.2909830579051,12966.782043053543,0.3436487652014547,c852197b95bd509a,167fe08e608b89e32f57402953314ced0b1194c6,True
A4e,last_summary_turn,6,474,187.5974657543296,13118.004438343489,0.3436487652014547,c852197b95bd509a,167fe08e608b89e32f57402953314ced0b1194c6,True
A6,all_requests,41,3479,181.10382905950192,22061.076257110046,0.2731200554867393,c852197b95bd509a,167fe08e608b89e32f57402953314ced0b1194c6,True
A6,all_summary_turns,36,2844,168.83494284218315,6980.522796309174,0.2731200554867393,c852197b95bd509a,167fe08e608b89e32f57402953314ced0b1194c6,True
A6,last_quarter_summary_turns,12,948,156.205756222449,3551.789310843767,0.2731200554867393,c852197b95bd509a,167fe08e608b89e32f57402953314ced0b1194c6,True
A6,last_summary_turn,6,474,157.51223891890396,3671.977651337033,0.2731200554867393,c852197b95bd509a,167fe08e608b89e32f57402953314ced0b1194c6,True
